BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1831.22201,0.13201,-0.96516,1.55056,-0.03502,0.05626,20.09510,0.00000,
1831.46160,0.37160,1.60029,1.31574,0.05807,0.04774,19.85767,0.07477,0.00000
1831.71161,0.62161,4.41187,1.31841,0.16008,0.04784,19.78320,0.17930,0.00000
1831.96161,0.87161,1.03933,1.30216,0.03771,0.04725,20.00275,0.15461,0.00000
1832.21161,1.12162,1.54759,1.30750,0.05614,0.04744,19.94483,0.11947,0.00000
1832.46162,1.37162,3.17018,1.31997,0.11502,0.04789,19.84483,0.16472,0.00000
1832.71162,1.62162,1.98406,1.31342,0.07200,0.04766,19.94197,0.16872,0.00000
1832.96163,1.87163,5.01508,1.29094,0.18196,0.04684,19.64927,0.13591,0.00000
1833.21163,2.12163,0.47159,1.28021,0.01710,0.04645,19.99949,0.12571,0.00000
1833.46163,2.37163,1.73253,1.31090,0.06287,0.04756,20.07739,0.08171,0.00000
1833.71164,2.62164,6.66212,1.29994,0.24173,0.04716,19.60171,0.14167,0.00000
1833.96164,2.87164,3.08372,1.30591,0.11191,0.04738,19.84487,0.16168,0.00000
1834.20331,3.11331,5.50417,1.43185,0.19971,0.05195,19.61687,0.15418,0.00000
1834.46165,3.37165,4.43680,1.31750,0.16098,0.04780,19.73367,0.14004,0.00000
1834.71165,3.62165,6.49075,1.32565,0.23552,0.04810,19.56514,0.18682,0.00000
1834.96165,3.87165,7.54353,1.32141,0.27371,0.04795,19.49683,0.21183,0.00000
1835.21166,4.12166,6.24045,1.31614,0.22642,0.04775,19.59184,0.15602,0.00000
1835.46166,4.37166,7.13203,1.31708,0.25878,0.04779,19.55474,0.17765,0.00000
1835.71166,4.62166,8.24728,1.32885,0.29925,0.04822,19.42542,0.17687,0.00000
1835.96167,4.87167,7.60082,1.32632,0.27578,0.04812,19.49952,0.20695,0.00000
1836.21167,5.12167,9.56115,1.32330,0.34692,0.04801,19.31848,0.11221,0.00000
1836.46167,5.37167,11.18253,1.34777,0.40574,0.04891,19.05188,0.14817,0.00000
1836.71168,5.62167,10.20804,1.28737,0.37038,0.04671,19.18265,0.14286,0.00000
1836.96168,5.87168,9.66877,1.28313,0.35081,0.04656,19.22099,0.16728,0.00000
1837.21168,6.12168,10.85065,1.28447,0.39370,0.04661,19.10283,0.15166,0.00000
1837.46168,6.37168,11.56103,1.30482,0.41948,0.04734,19.05805,0.12979,0.00000
1837.71169,6.62169,13.72555,1.30253,0.49801,0.04726,18.86448,0.13247,0.00000
1837.96169,6.87169,14.18499,1.29953,0.51469,0.04715,18.77476,0.10525,0.00000
1838.21169,7.12169,13.37939,1.28391,0.48546,0.04659,18.82896,0.10775,0.00000
1838.45696,7.36696,16.84077,1.32798,0.61104,0.04819,18.60020,0.09523,0.00000
1838.71980,7.62980,14.16100,1.49915,0.51381,0.05440,18.86928,0.17174,0.00000
1838.95886,7.86886,15.08372,1.38353,0.54730,0.05020,18.71702,0.10839,0.00000
1839.21170,8.12170,16.94959,1.33063,0.61499,0.04828,18.63523,0.10527,0.00000
1839.45337,8.36337,19.25376,1.44398,0.69860,0.05239,18.44649,0.08709,0.00000
1839.70507,8.61507,15.97908,1.40541,0.57977,0.05099,18.66235,0.10698,0.00000
1839.96170,8.87170,19.95323,1.36868,0.72398,0.04966,18.41638,0.06625,0.00000
1840.17450,9.08450,28.89964,1.87858,1.04857,0.06816,18.04261,0.08348,0.00000
1840.39400,9.30400,25.99908,2.60434,0.94335,0.09448,18.09850,0.10985,0.00000
1842.54506,11.45506,21.87542,2.22776,0.79372,0.08084,18.28753,0.11203,23.20000
1842.72735,11.63735,25.71774,1.56720,0.93312,0.05686,18.10974,0.06663,23.20000
1842.96173,11.87173,23.09158,1.28156,0.83784,0.04650,18.25000,0.06578,23.20000
1843.21173,12.12173,26.31997,1.28366,0.95498,0.04658,18.08812,0.05383,23.20000
1843.46173,12.37173,24.87538,1.28346,0.90257,0.04657,18.15421,0.05787,23.20000
1843.70510,12.61510,25.62749,1.34820,0.92986,0.04891,18.11973,0.05846,23.20000
1843.95321,12.86321,25.00809,1.34317,0.90740,0.04873,18.15064,0.06061,23.20000
1844.21174,13.12173,24.36530,1.29718,0.88406,0.04707,18.18908,0.06176,23.20000
1844.45757,13.36757,26.59979,1.42223,0.96512,0.05160,18.08213,0.05994,23.20000
1844.71079,13.62079,25.29240,1.37608,0.91770,0.04993,18.13117,0.06007,23.20000
1844.96174,13.87174,26.23587,1.31184,0.95193,0.04760,18.09873,0.05624,23.20000
1845.09716,14.00716,25.52890,4.53750,0.92630,0.16460,18.11520,0.19300,23.20000
