BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1858.87248,0.91248,4.82089,1.44416,0.29059,0.08706,19.78306,0.20134,0.00000
1859.13706,1.17706,3.14650,1.35904,0.18965,0.08192,20.05610,0.20045,0.00000
1859.37664,1.41664,0.84285,1.28751,0.05080,0.07761,20.21192,0.17820,0.00000
1859.62664,1.66664,1.16339,1.28459,0.07012,0.07743,20.13932,0.14803,0.00000
1859.87664,1.91664,1.79463,1.28106,0.10817,0.07723,20.09342,0.08292,0.00000
1860.13705,2.17705,1.20722,1.22740,0.07277,0.07398,20.22462,0.22002,0.00000
1860.39747,2.43747,2.22964,1.27543,0.13439,0.07688,20.19225,0.20926,0.00000
1860.64747,2.68747,-0.10758,1.27342,-0.00649,0.07677,20.16191,0.10187,0.00000
1860.89747,2.93747,2.89718,1.27249,0.17465,0.07671,20.13467,0.24397,0.00000
1861.14747,3.18747,1.89666,1.27133,0.11432,0.07664,20.14735,0.17638,0.00000
1861.39747,3.43747,4.16218,1.27141,0.25089,0.07664,19.88207,0.21104,0.00000
1861.64746,3.68746,4.87602,1.27075,0.29392,0.07660,19.74607,0.21218,0.00000
1861.88913,3.92913,3.69742,1.39214,0.22289,0.08392,20.10296,0.26522,0.00000
1862.14746,4.18746,5.25217,1.27184,0.31659,0.07666,19.79129,0.14125,0.00000
1862.39746,4.43746,3.34130,1.27249,0.20141,0.07670,20.01496,0.10693,0.00000
1862.64746,4.68746,3.57953,1.27313,0.21576,0.07674,19.91761,0.19639,0.00000
1862.89746,4.93746,3.60990,1.27407,0.21762,0.07680,20.06140,0.22572,0.00000
1863.14746,5.18746,6.83971,1.27364,0.41229,0.07677,19.61308,0.15585,0.00000
1863.39745,5.43745,6.78222,1.27265,0.40882,0.07671,19.53952,0.17731,0.00000
1863.64745,5.68745,6.03740,1.27215,0.36394,0.07668,19.76896,0.21508,0.00000
1863.89745,5.93745,7.39976,1.27188,0.44606,0.07666,19.54492,0.17510,0.00000
1864.14745,6.18745,6.36597,1.27197,0.38374,0.07667,19.65739,0.16046,0.00000
1864.39745,6.43745,6.96078,1.27192,0.41960,0.07667,19.59799,0.13185,0.00000
1864.64082,6.68082,6.86225,1.32908,0.41365,0.08012,19.60711,0.20288,0.00000
1864.89745,6.93745,8.10037,1.27197,0.48829,0.07667,19.43312,0.20046,0.00000
1865.12661,7.16661,8.55950,1.39331,0.51595,0.08398,19.40011,0.19750,0.00000
1865.64744,7.68744,8.99827,1.27206,0.54242,0.07668,19.34371,0.18504,0.00000
1865.89744,7.93744,11.64722,1.27265,0.70208,0.07671,19.02332,0.13960,0.00000
1866.14744,8.18744,9.70618,1.27270,0.58508,0.07672,19.26982,0.16734,0.00000
1866.39744,8.43744,9.72106,1.27274,0.58598,0.07672,19.22855,0.17675,0.00000
1866.63891,8.67891,11.87315,1.33003,0.71571,0.08017,19.05303,0.12774,0.00000
1866.89743,8.93743,10.92345,1.27343,0.65848,0.07676,19.16096,0.18146,0.00000
1867.14743,9.18743,11.66734,1.27381,0.70332,0.07679,19.05849,0.12056,0.00000
1867.38910,9.42910,12.29672,1.39566,0.74125,0.08413,18.93531,0.13300,0.00000
1867.64743,9.68743,13.34532,1.27523,0.80446,0.07687,18.85600,0.11481,0.00000
1867.89743,9.93743,13.17757,1.27561,0.79434,0.07689,18.86339,0.11551,0.00000
1868.14742,10.18742,13.41691,1.27605,0.80877,0.07692,18.89862,0.13127,0.00000
1868.39742,10.43742,13.62794,1.27625,0.82148,0.07693,18.85478,0.12073,0.00000
1868.64458,10.68458,14.96923,1.33346,0.90235,0.08038,18.80264,0.14748,0.00000
1868.79326,10.83325,16.80010,3.12555,1.01270,0.18841,18.57665,0.20600,0.00000
