BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2179.32467,0.12467,0.26166,0.20504,0.06755,0.05294,19.07452,0.30791,
2179.59563,0.39563,0.59284,0.22951,0.15306,0.05925,18.91193,0.22063,
2179.82468,0.62468,0.56920,0.20187,0.14694,0.05212,18.97080,0.22379,
2180.07469,0.87469,0.60216,0.20323,0.15545,0.05247,18.99284,0.24879,
2180.32469,1.12469,0.59862,0.20402,0.15454,0.05267,18.91916,0.19776,
2180.57470,1.37470,0.47073,0.20529,0.12153,0.05300,18.96894,0.24935,
2180.82471,1.62471,1.11222,0.20318,0.28714,0.05245,18.80494,0.16989,
2181.07471,1.87471,1.16820,0.20363,0.30160,0.05257,18.81017,0.17719,
2181.32472,2.12472,1.75119,0.20795,0.45210,0.05369,18.57241,0.12670,
2181.57473,2.37473,1.50921,0.20425,0.38963,0.05273,18.70929,0.14936,
2181.82473,2.62473,2.17607,0.20751,0.56178,0.05357,18.42637,0.11252,
2182.07474,2.87474,2.69277,0.20827,0.69518,0.05377,18.24805,0.10021,
2182.32474,3.12474,1.83049,0.20113,0.47257,0.05193,18.62729,0.13828,
2182.57475,3.37475,3.08576,0.21062,0.79664,0.05438,18.09477,0.09013,
2182.82475,3.62475,2.01982,0.20616,0.52145,0.05322,18.51340,0.12832,
2183.07476,3.87476,3.63473,0.20866,0.93836,0.05387,17.92068,0.07507,
2183.32476,4.12476,1.75027,0.20436,0.45186,0.05276,18.62611,0.14075,
2183.57586,4.37586,2.34431,0.20489,0.60521,0.05290,18.39413,0.11042,
2183.82477,4.62477,1.25756,0.20627,0.32466,0.05325,18.82495,0.17758,
2184.07478,4.87478,3.37304,0.20713,0.87080,0.05347,17.99860,0.08215,
2184.32290,5.12290,3.33265,0.21654,0.86037,0.05590,18.05055,0.08960,
2184.57479,5.37479,3.39732,0.21080,0.87708,0.05442,18.00227,0.08228,
2184.82479,5.62479,2.52887,0.21599,0.65287,0.05576,18.30736,0.11050,
2185.05743,5.85743,2.45725,0.23695,0.63437,0.06117,18.35470,0.13258,
2187.32483,8.12483,3.77381,0.20869,0.97427,0.05388,17.85235,0.07144,
2187.57484,8.37484,4.18100,0.21167,1.07939,0.05465,17.72993,0.06294,
2187.82485,8.62485,4.45467,0.21084,1.15004,0.05443,17.66045,0.05696,
2188.07485,8.87485,3.68331,0.21093,0.95090,0.05446,17.87517,0.07071,
2188.32486,9.12486,3.78334,0.21153,0.97673,0.05461,17.85963,0.07228,
2188.57486,9.37486,3.75191,0.20876,0.96862,0.05389,17.86717,0.07340,
2188.82487,9.62487,3.08961,0.20775,0.79763,0.05364,18.08881,0.08944,
2189.07487,9.87487,3.67769,0.20610,0.94946,0.05321,17.91069,0.07627,
2189.32487,10.12487,3.34036,0.20903,0.86237,0.05396,18.06081,0.09090,
2189.57488,10.37488,4.30857,0.20795,1.11232,0.05368,17.71219,0.06286,
2189.82488,10.62488,3.01146,0.21046,0.77746,0.05433,18.15166,0.09607,
2190.07489,10.87489,3.91326,0.21012,1.01026,0.05425,17.83116,0.07529,
2190.32489,11.12489,2.66505,0.20274,0.68803,0.05234,18.25722,0.08683,
2190.57489,11.37489,4.45659,0.20505,1.15054,0.05294,17.67593,0.05506,
2190.82490,11.62490,3.48162,0.20736,0.89882,0.05353,17.94512,0.07508,
2191.07490,11.87490,4.21173,0.20889,1.08732,0.05393,17.71594,0.05880,
2191.32490,12.12490,2.37434,0.20830,0.61297,0.05378,18.38686,0.10877,
2191.57491,12.37491,3.83648,0.21085,0.99045,0.05443,17.83441,0.06891,
2191.82491,12.62491,2.59952,0.20530,0.67111,0.05300,18.27068,0.09902,
2192.06449,12.86449,3.68925,0.21332,0.95244,0.05507,17.87254,0.06865,
