BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2174.25843,-5.53157,-0.4108,0.8385,-0.0880,0.1795,20.4282,,
2174.27232,-5.51768,0.4926,0.8242,0.1055,0.1765,20.0159,1.8165,
2174.27927,-5.51073,0.2435,0.8296,0.0521,0.1776,20.4282,,
2174.28621,-5.50379,-1.1566,0.8113,-0.2476,0.1737,20.4282,,
2174.29315,-5.49685,-0.1783,0.8241,-0.0382,0.1764,20.4282,,
2174.30010,-5.48990,1.3111,0.8214,0.2807,0.1759,18.9531,0.6802,
2174.30704,-5.48296,-0.2881,0.8245,-0.0617,0.1765,20.4282,,
2174.31399,-5.47601,-0.0038,0.8132,-0.0008,0.1741,20.4282,,
2174.32093,-5.46907,0.4302,0.8194,0.0921,0.1754,20.1631,2.0683,
2174.32788,-5.46212,0.1524,0.8319,0.0326,0.1781,20.4282,,
2174.33482,-5.45518,-0.1818,0.8214,-0.0389,0.1759,20.4282,,
2174.34177,-5.44823,-1.0134,0.8246,-0.2170,0.1765,20.4282,,
2174.34871,-5.44129,-0.7189,0.8255,-0.1539,0.1767,20.4282,,
2174.35566,-5.43434,0.6504,0.8271,0.1393,0.1771,19.7142,1.3807,
2174.36260,-5.42740,-0.6175,0.8281,-0.1322,0.1773,20.4282,,
2174.36954,-5.42046,-2.0216,0.8403,-0.4328,0.1799,20.4282,,
2174.37649,-5.41351,0.9563,0.8118,0.2047,0.1738,19.2957,0.9217,
2174.38343,-5.40657,1.3752,0.8372,0.2944,0.1792,18.9013,0.6610,
2174.39038,-5.39962,0.6689,0.8310,0.1432,0.1779,19.6838,1.3489,
2174.39732,-5.39268,0.3918,0.8194,0.0839,0.1754,20.2647,2.2709,
2174.40427,-5.38573,0.8451,0.8232,0.1809,0.1762,19.4299,1.0576,
2174.41121,-5.37879,-0.9530,0.8177,-0.2040,0.1751,20.4282,,
2174.41816,-5.37184,-1.7891,0.8228,-0.3830,0.1762,20.4282,,
2174.42510,-5.36490,0.3481,0.8209,0.0745,0.1758,20.3928,2.5602,
2174.43204,-5.35796,0.4197,0.8248,0.0898,0.1766,20.1900,2.1340,
2174.43899,-5.35101,-0.4279,0.8209,-0.0916,0.1757,20.4282,,
2174.44593,-5.34407,-1.9456,0.8191,-0.4165,0.1754,20.4282,,
2174.45288,-5.33712,-0.3458,0.8279,-0.0740,0.1772,20.4282,,
2174.45982,-5.33018,0.2460,0.8297,0.0527,0.1776,20.4282,,
