BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2182.44542,0.12542,-0.61604,0.13504,-0.22828,0.05004,20.04034,0.53800,
2182.69542,0.37542,-0.06269,0.13472,-0.02323,0.04992,19.98338,0.43876,
2182.94195,0.62195,-0.23547,0.13743,-0.08726,0.05093,19.91202,0.35921,
2183.19195,0.87195,-0.14950,0.13921,-0.05540,0.05159,19.99666,0.42931,
2183.43927,1.11927,-0.03836,0.14172,-0.01422,0.05252,19.87527,0.25397,
2183.69195,1.37195,-0.07531,0.13888,-0.02790,0.05146,19.91915,0.34430,
2183.94196,1.62196,0.11696,0.13807,0.04334,0.05116,19.92704,0.41062,
2184.19196,1.87196,0.20673,0.13959,0.07661,0.05173,19.81714,0.30269,
2184.44345,2.12345,-0.10166,0.14025,-0.03766,0.05197,19.97889,0.40123,
2184.69196,2.37196,0.43686,0.13978,0.16189,0.05180,19.64787,0.23398,
2184.94196,2.62196,0.47303,0.13863,0.17529,0.05137,19.59512,0.23381,
2185.19146,2.87146,0.29137,0.13906,0.10797,0.05153,19.75221,0.24150,
2185.44196,3.12196,0.65664,0.14285,0.24333,0.05294,19.57220,0.20502,
2185.64777,3.32777,0.59605,0.18484,0.22087,0.06850,19.52662,0.24898,
2185.88045,3.56045,0.68087,0.32577,0.25231,0.12072,19.55810,0.54460,
2187.22353,4.90353,0.84996,0.20151,0.31497,0.07467,19.37077,0.22472,
2187.44197,5.12197,0.82186,0.13997,0.30455,0.05187,19.46941,0.19896,
2187.69197,5.37197,0.90782,0.14100,0.33641,0.05225,19.29611,0.15945,
2187.94197,5.62197,0.70329,0.13529,0.26062,0.05013,19.43894,0.17055,
2188.19197,5.87197,0.71913,0.13202,0.26648,0.04892,19.52299,0.20465,
2188.44198,6.12198,0.47913,0.13137,0.17754,0.04868,19.62804,0.22209,
2188.69198,6.37198,0.69931,0.13145,0.25914,0.04871,19.57852,0.21453,
2188.94198,6.62198,1.41124,0.13178,0.52296,0.04883,18.99703,0.13342,
2189.19109,6.87109,1.49759,0.13403,0.55495,0.04967,18.95852,0.13176,
2189.44198,7.12198,2.01733,0.13411,0.74756,0.04970,18.62646,0.10126,
2189.69198,7.37198,2.02048,0.13990,0.74872,0.05184,18.60974,0.11847,
2189.94198,7.62198,1.76011,0.14199,0.65224,0.05262,18.79437,0.11053,
2190.19198,7.87198,1.41864,0.13771,0.52570,0.05103,18.95684,0.14039,
2190.44198,8.12198,1.83823,0.13869,0.68119,0.05139,18.76635,0.11126,
2190.69198,8.37198,2.09779,0.13861,0.77738,0.05137,18.54336,0.09000,
2190.94198,8.62198,2.44681,0.14032,0.90671,0.05200,18.45249,0.10249,
2191.19198,8.87198,1.98236,0.14020,0.73459,0.05196,18.62086,0.11478,
2191.44198,9.12198,2.30091,0.14073,0.85263,0.05215,18.49352,0.08435,
2191.69198,9.37198,2.75503,0.14355,1.02091,0.05319,18.23736,0.06864,
2191.94198,9.62198,2.33904,0.13932,0.86678,0.05163,18.38188,0.08162,
2192.19188,9.87188,2.02225,0.13952,0.74938,0.05170,18.57856,0.10203,
2192.44198,10.12198,2.27771,0.14021,0.84404,0.05196,18.51541,0.11722,
2192.69198,10.37198,2.20017,0.13924,0.81531,0.05160,18.47663,0.08308,
2192.94198,10.62198,2.66564,0.14151,0.98780,0.05244,18.27104,0.07025,
2193.19198,10.87198,2.80496,0.14023,1.03942,0.05196,18.21247,0.06456,
2193.43108,11.11108,2.52088,0.15547,0.93416,0.05761,18.36264,0.09563,
2193.69198,11.37198,2.60854,0.13772,0.96665,0.05104,18.34743,0.08553,
2193.94197,11.62197,2.34767,0.13657,0.86998,0.05061,18.44329,0.10936,
2194.19197,11.87197,2.10221,0.13484,0.77900,0.04997,18.55331,0.08405,
2194.44197,12.12197,2.68624,0.13576,0.99543,0.05031,18.26851,0.08184,
2194.69197,12.37197,3.11201,0.13598,1.15321,0.05039,18.08628,0.06055,
2194.94197,12.62197,2.69589,0.13765,0.99901,0.05101,18.23371,0.06895,
2195.19196,12.87197,2.33797,0.13772,0.86637,0.05103,18.45130,0.10443,
2195.44196,13.12196,1.60324,0.13655,0.59410,0.05060,18.86122,0.11359,
2195.69196,13.37196,2.40867,0.13961,0.89257,0.05173,18.41814,0.08814,
2195.94196,13.62196,1.99254,0.13776,0.73837,0.05105,18.62635,0.10299,
2196.19196,13.87196,2.22001,0.13425,0.82266,0.04975,18.52212,0.09800,
2196.44195,14.12195,2.09876,0.13480,0.77773,0.04995,18.57667,0.10238,
2196.68153,14.36153,2.17051,0.14145,0.80431,0.05242,18.59517,0.10770,
2196.84473,14.52473,2.41589,0.28562,0.89525,0.10584,18.37551,0.16003,
