BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2174.25774,-7.19226,0.2692,0.7623,0.0916,0.2594,19.8482,,
2174.27163,-7.17837,-0.6440,0.7422,-0.2191,0.2526,19.8482,,
2174.27857,-7.17143,0.1530,0.7117,0.0520,0.2422,19.8482,,
2174.28552,-7.16448,-0.2526,0.7153,-0.0859,0.2434,19.8482,,
2174.29246,-7.15754,-0.1172,0.7506,-0.0399,0.2554,19.8482,,
2174.29941,-7.15059,-0.6889,0.7216,-0.2344,0.2455,19.8482,,
2174.30635,-7.14365,-0.6971,0.7293,-0.2372,0.2482,19.8482,,
2174.31329,-7.13671,-1.0078,0.7175,-0.3429,0.2442,19.8482,,
2174.32024,-7.12976,-1.9773,0.7519,-0.6728,0.2559,19.8482,,
2174.32718,-7.12282,0.4285,0.7699,0.1458,0.2620,19.8482,,
2174.33413,-7.11587,-0.9129,0.7599,-0.3106,0.2586,19.8482,,
2174.34107,-7.10893,-0.1350,0.7538,-0.0459,0.2565,19.8482,,
2174.34802,-7.10198,-0.5139,0.7332,-0.1749,0.2495,19.8482,,
2174.35496,-7.09504,-0.4439,0.7587,-0.1511,0.2582,19.8482,,
2174.36191,-7.08809,1.1631,0.7288,0.3958,0.2480,19.0831,0.6803,
2174.36885,-7.08115,0.3148,0.7583,0.1071,0.2580,19.8482,,
2174.37579,-7.07421,-1.0751,0.7004,-0.3658,0.2383,19.8482,,
2174.38274,-7.06726,0.2292,0.7341,0.0780,0.2498,19.8482,,
2174.38968,-7.06032,-0.4169,0.7052,-0.1419,0.2400,19.8482,,
2174.39663,-7.05337,0.1886,0.7071,0.0642,0.2406,19.8482,,
2174.40357,-7.04643,0.1017,0.7216,0.0346,0.2456,19.8482,,
2174.41052,-7.03948,-0.4663,0.7109,-0.1587,0.2419,19.8482,,
2174.41746,-7.03254,0.2851,0.7218,0.0970,0.2456,19.8482,,
2174.42441,-7.02559,1.3928,0.7167,0.4739,0.2439,18.8875,0.5587,
2174.43135,-7.01865,-1.0152,0.7209,-0.3454,0.2453,19.8482,,
2174.43830,-7.01170,0.5014,0.7196,0.1706,0.2448,19.8482,,
2174.44524,-7.00476,-0.6100,0.7198,-0.2076,0.2449,19.8482,,
2174.45218,-6.99782,0.3998,0.7188,0.1361,0.2446,19.8482,,
2174.45913,-6.99087,-0.2276,0.7250,-0.0774,0.2467,19.8482,,
