BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2178.27736,0.12736,0.19123,0.12996,0.06191,0.04208,19.92033,0.28710,
2178.52736,0.37736,0.07209,0.13370,0.02333,0.04329,20.03229,0.37226,
2178.77389,0.62389,0.01902,0.13210,0.00615,0.04277,19.97490,0.29619,
2179.02736,0.87736,0.26551,0.13089,0.08596,0.04238,19.89446,0.27427,
2179.27736,1.12736,0.19549,0.13513,0.06328,0.04375,19.86591,0.28697,
2179.53311,1.38311,-0.12323,0.14890,-0.03990,0.04821,20.07541,0.42736,
2179.77389,1.62389,0.29856,0.13334,0.09667,0.04317,19.92094,0.31361,
2180.02389,1.87389,0.19817,0.13268,0.06416,0.04296,19.96960,0.33760,
2180.27389,2.12389,0.07318,0.13386,0.02369,0.04334,20.05691,0.35697,
2180.52389,2.37389,0.07846,0.13312,0.02541,0.04310,20.10175,0.42100,
2180.77389,2.62389,0.42001,0.13319,0.13599,0.04312,19.78471,0.22581,
2181.02389,2.87389,0.63103,0.13276,0.20431,0.04298,19.71884,0.26433,
2181.27389,3.12389,0.33183,0.13325,0.10744,0.04314,19.85946,0.25158,
2181.52389,3.37389,0.63115,0.13384,0.20434,0.04333,19.66466,0.22641,
2181.77389,3.62389,0.39027,0.13349,0.12636,0.04322,19.76569,0.25448,
2182.02389,3.87389,0.65327,0.13338,0.21151,0.04318,19.62906,0.24219,
2182.27389,4.12389,0.59168,0.13355,0.19157,0.04324,19.67823,0.22075,
2182.52389,4.37389,0.50310,0.13329,0.16289,0.04315,19.67975,0.19115,
2182.77389,4.62389,0.66367,0.13259,0.21488,0.04293,19.64222,0.21703,
2183.02389,4.87389,0.58679,0.13450,0.18999,0.04355,19.61705,0.22440,
2183.27388,5.12388,0.71429,0.13351,0.23127,0.04323,19.52632,0.19504,
2183.52716,5.37716,0.71311,0.13386,0.23089,0.04334,19.56992,0.20531,
2183.78083,5.63083,0.50473,0.13454,0.16343,0.04356,19.78913,0.27020,
2184.03082,5.88082,0.69638,0.13464,0.22546,0.04359,19.63222,0.24882,
2184.27775,6.12775,0.83260,0.13642,0.26956,0.04417,19.50325,0.20473,
2184.53082,6.38082,0.87972,0.13464,0.28483,0.04359,19.50368,0.20384,
2184.78082,6.63082,0.90119,0.13482,0.29178,0.04365,19.50940,0.17367,
2185.03082,6.88082,0.99804,0.13559,0.32314,0.04390,19.33823,0.16313,
2185.28290,7.13290,1.08377,0.13812,0.35089,0.04472,19.31109,0.20177,
2185.53082,7.38082,1.34779,0.14232,0.43638,0.04608,19.11708,0.17040,
2185.74262,7.59262,1.35992,0.20511,0.44031,0.06641,19.04781,0.20677,
2187.12853,8.97853,1.57846,0.49015,0.51107,0.15869,18.83860,0.41578,
2187.28081,9.13081,1.43184,0.14546,0.46359,0.04709,19.00542,0.14100,
2187.53081,9.38081,1.66314,0.13467,0.53848,0.04360,18.81484,0.10999,
2187.78081,9.63081,1.96404,0.13588,0.63590,0.04399,18.59512,0.09117,
2188.03081,9.88081,1.57056,0.13600,0.50850,0.04403,18.88335,0.13832,
2188.28080,10.13080,1.75144,0.13406,0.56707,0.04340,18.74571,0.11309,
2188.53080,10.38080,1.76527,0.13379,0.57154,0.04332,18.72642,0.12096,
2188.78080,10.63080,2.09457,0.13376,0.67816,0.04331,18.52727,0.08611,
2189.03080,10.88080,2.05178,0.13346,0.66431,0.04321,18.63180,0.10785,
2189.28249,11.13249,2.04491,0.13398,0.66208,0.04338,18.55318,0.09195,
2189.53080,11.38080,2.15368,0.13367,0.69730,0.04328,18.52413,0.09761,
2189.78080,11.63080,2.24586,0.13057,0.72715,0.04228,18.45706,0.07632,
2190.03080,11.88080,2.21497,0.13157,0.71714,0.04260,18.52174,0.10041,
