BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2144.52124,-25.19876,0.2567,0.7667,0.1034,0.3088,19.9821,0.0,
2144.52819,-25.19181,-2.4777,0.7674,-0.9979,0.3091,19.9821,0.0,
2144.53513,-25.18487,-1.2740,0.7686,-0.5131,0.3096,19.9821,0.0,
2144.54208,-25.17792,0.0349,0.7622,0.0141,0.3070,19.9821,0.0,
2144.54902,-25.17098,-0.4574,0.8203,-0.1842,0.3304,19.9821,0.0,
2144.55597,-25.16403,-0.7492,0.7692,-0.3017,0.3098,19.9821,0.0,
2144.56291,-25.15709,0.4257,0.7710,0.1715,0.3105,19.9821,0.0,
2144.56985,-25.15015,0.2199,0.8136,0.0885,0.3277,19.9821,0.0,
2144.57680,-25.14320,-0.0189,0.7757,-0.0076,0.3124,19.9821,0.0,
2144.58374,-25.13626,-0.2839,0.8500,-0.1143,0.3423,19.9821,0.0,
2144.59069,-25.12931,-0.5131,0.7776,-0.2067,0.3132,19.9821,0.0,
2144.59763,-25.12237,0.3336,0.7842,0.1344,0.3158,19.9821,0.0,
2144.61152,-25.10848,-0.3338,0.7821,-0.1345,0.3150,19.9821,0.0,
2144.61847,-25.10153,-1.1497,0.7786,-0.4631,0.3136,19.9821,0.0,
2144.62541,-25.09459,-0.5219,0.7779,-0.2102,0.3133,19.9821,0.0,
2144.63236,-25.08764,-0.1085,0.7653,-0.0437,0.3082,19.9821,0.0,
2144.63930,-25.08070,-1.2803,0.7824,-0.5156,0.3151,19.9821,0.0,
2144.64625,-25.07375,0.1932,0.8019,0.0778,0.3230,19.9821,0.0,
2144.65319,-25.06681,0.9187,0.7803,0.3700,0.3143,19.3393,0.9222,0.0
2144.66014,-25.05986,0.6646,0.8393,0.2677,0.3380,19.6907,1.3710,0.0
2144.66708,-25.05292,-0.5043,0.8213,-0.2031,0.3308,19.9821,0.0,
2144.67402,-25.04598,-0.2857,0.8047,-0.1151,0.3241,19.9821,0.0,
2144.68097,-25.03903,0.7622,0.7720,0.3070,0.3109,19.5420,1.0996,0.0
2144.68791,-25.03209,0.5162,0.7747,0.2079,0.3120,19.9651,1.6294,0.0
2144.69486,-25.02514,-0.7356,0.8142,-0.2963,0.3279,19.9821,0.0,
2144.70180,-25.01820,0.7868,0.8455,0.3169,0.3405,19.5076,1.1668,0.0
2144.70875,-25.01125,0.1588,0.8434,0.0640,0.3397,19.9821,0.0,
2144.71569,-25.00431,1.2785,0.8206,0.5149,0.3305,18.9805,0.6969,0.0
2144.72264,-24.99736,1.4517,0.8416,0.5847,0.3390,18.8425,0.6294,0.0
2144.72958,-24.99042,-1.7725,0.7611,-0.7139,0.3065,19.9821,0.0,
2144.73653,-24.98347,0.8805,0.8436,0.3546,0.3398,19.3854,1.0402,0.0
2144.74347,-24.97653,0.2683,0.7861,0.1080,0.3166,19.9821,0.0,
2144.75042,-24.96958,-1.4100,0.7568,-0.5679,0.3048,19.9821,0.0,
2144.75736,-24.96264,1.6743,0.7885,0.6743,0.3176,18.6876,0.5113,0.0
2144.76431,-24.95569,-0.0808,0.7995,-0.0325,0.3220,19.9821,0.0,
2144.77125,-24.94875,-0.3546,0.7641,-0.1428,0.3078,19.9821,0.0,
2144.77820,-24.94180,0.0126,0.8111,0.0051,0.3267,19.9821,0.0,
2144.78514,-24.93486,-0.8321,0.8177,-0.3352,0.3294,19.9821,0.0,
2144.79208,-24.92792,0.8682,0.7980,0.3497,0.3214,19.4007,0.9979,0.0
2144.79903,-24.92097,-0.5670,0.8358,-0.2284,0.3366,19.9821,0.0,
2144.80597,-24.91403,2.5286,0.7910,1.0184,0.3186,18.2400,0.3397,0.0
2144.81292,-24.90708,-0.4243,0.7944,-0.1709,0.3199,19.9821,0.0,
2144.81986,-24.90014,0.4815,0.8193,0.1939,0.3300,19.9821,0.0,
2144.82681,-24.89319,-0.2639,0.8085,-0.1063,0.3256,19.9821,0.0,
2144.83375,-24.88625,0.4218,0.8287,0.1699,0.3338,19.9821,0.0,
2144.84070,-24.87930,-0.0601,0.7929,-0.0242,0.3193,19.9821,0.0,
2144.84764,-24.87236,0.2326,0.7614,0.0937,0.3067,19.9821,0.0,
2144.85459,-24.86541,0.5075,0.7869,0.2044,0.3169,19.9821,0.0,
2144.86153,-24.85847,0.4287,0.7985,0.1727,0.3216,19.9821,0.0,
2144.86848,-24.85152,1.6867,0.7870,0.6793,0.3170,18.6796,0.5066,0.0
2144.87542,-24.84458,-0.5854,0.8337,-0.2358,0.3358,19.9821,0.0,
2144.88237,-24.83763,0.2644,0.7981,0.1065,0.3215,19.9821,0.0,
2144.88931,-24.83069,-0.7936,0.8000,-0.3196,0.3222,19.9821,0.0,
2144.89626,-24.82374,-0.3642,0.8257,-0.1467,0.3326,19.9821,0.0,
2144.90320,-24.81680,0.5491,0.7862,0.2212,0.3166,19.8980,1.5544,0.0
2144.91014,-24.80986,1.4431,0.8052,0.5812,0.3243,18.8490,0.6058,0.0
2144.91709,-24.80291,0.4381,0.8210,0.1764,0.3307,19.9821,0.0,
2144.92403,-24.79597,-0.4925,0.7953,-0.1983,0.3203,19.9821,0.0,
2144.93098,-24.78902,0.7307,0.7705,0.2943,0.3103,19.5879,1.1448,0.0
2144.93792,-24.78208,-0.3459,0.8117,-0.1393,0.3269,19.9821,0.0,
2144.94487,-24.77513,-0.8672,0.7967,-0.3493,0.3209,19.9821,0.0,
2144.95181,-24.76819,0.3481,0.8098,0.1402,0.3261,19.9821,0.0,
2144.95876,-24.76124,-0.8012,0.7783,-0.3227,0.3135,19.9821,0.0,
2144.96570,-24.75430,-0.9063,0.7754,-0.3650,0.3123,19.9821,0.0,
2144.97265,-24.74735,-1.6911,0.7823,-0.6811,0.3151,19.9821,0.0,
2144.97959,-24.74041,0.0720,0.7775,0.0290,0.3132,19.9821,0.0,
2144.98654,-24.73346,-1.6712,0.8041,-0.6731,0.3239,19.9821,0.0,
2144.99348,-24.72652,0.0211,0.8147,0.0085,0.3281,19.9821,0.0,
2145.00043,-24.71957,0.1400,0.7919,0.0564,0.3190,19.9821,0.0,
2145.00737,-24.71263,-0.7296,0.8179,-0.2939,0.3294,19.9821,0.0,
2145.01431,-24.70569,-0.1690,0.8031,-0.0681,0.3235,19.9821,0.0,
2145.02126,-24.69874,-0.2682,0.7904,-0.1080,0.3183,19.9821,0.0,
2145.02820,-24.69180,0.3260,0.8122,0.1313,0.3271,19.9821,0.0,
2145.03515,-24.68485,-0.7853,0.7705,-0.3163,0.3103,19.9821,0.0,
2145.04209,-24.67791,2.0768,0.7515,0.8364,0.3027,18.4537,0.3929,0.0
2145.04904,-24.67096,-0.5007,0.8012,-0.2017,0.3227,19.9821,0.0,
2145.05598,-24.66402,-0.9018,0.7508,-0.3632,0.3024,19.9821,0.0,
2145.06293,-24.65707,-0.0373,0.7862,-0.0150,0.3167,19.9821,0.0,
2145.06987,-24.65013,0.7115,0.7923,0.2865,0.3191,19.6168,1.2091,0.0
2145.07682,-24.64318,0.5051,0.7816,0.2034,0.3148,19.9821,0.0,
2145.08376,-24.63624,0.1344,0.7908,0.0541,0.3185,19.9821,0.0,
2145.09071,-24.62929,0.9104,0.7795,0.3667,0.3140,19.3492,0.9297,0.0
2145.09765,-24.62235,0.3197,0.7650,0.1288,0.3081,19.9821,0.0,
2145.10460,-24.61540,-1.0148,0.7621,-0.4087,0.3069,19.9821,0.0,
2145.11154,-24.60846,-0.5391,0.7648,-0.2171,0.3080,19.9821,0.0,
2145.11849,-24.60151,0.6278,0.7537,0.2528,0.3035,19.7527,1.3035,0.0
2145.12543,-24.59457,-0.5998,0.7825,-0.2416,0.3152,19.9821,0.0,
2145.13237,-24.58763,-0.3977,0.7710,-0.1602,0.3105,19.9821,0.0,
2145.13932,-24.58068,0.4807,0.7681,0.1936,0.3094,19.9821,0.0,
2145.14626,-24.57374,0.2934,0.7818,0.1182,0.3149,19.9821,0.0,
2145.15321,-24.56679,-0.0916,0.7737,-0.0369,0.3116,19.9821,0.0,
2145.16015,-24.55985,1.7264,0.7576,0.6953,0.3051,18.6544,0.4764,0.0
2145.16710,-24.55290,-0.0485,0.7646,-0.0195,0.3080,19.9821,0.0,
2145.17404,-24.54596,-0.9912,0.7589,-0.3992,0.3057,19.9821,0.0,
2145.18099,-24.53901,-0.0974,0.7656,-0.0392,0.3084,19.9821,0.0,
2145.18793,-24.53207,0.1450,0.7711,0.0584,0.3106,19.9821,0.0,
2145.19488,-24.52512,-0.1747,0.7530,-0.0704,0.3033,19.9821,0.0,
