BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2174.25853,-21.68147,-0.2011,0.7613,-0.2475,0.9369,20.6835,,
2174.27242,-21.66758,0.1157,0.7453,0.1423,0.9172,20.6835,,
2174.27936,-21.66064,-0.5296,0.7491,-0.6518,0.9220,20.6835,,
2174.28630,-21.65370,-0.8019,0.7349,-0.9869,0.9045,20.6835,,
2174.29325,-21.64675,-0.9667,0.7473,-1.1898,0.9198,20.6835,,
2174.30019,-21.63981,-0.9522,0.7456,-1.1719,0.9176,20.6835,,
2174.30714,-21.63286,-0.9175,0.7497,-1.1292,0.9226,20.6835,,
2174.31408,-21.62592,-0.7750,0.7330,-0.9538,0.9022,20.6835,,
2174.32103,-21.61897,0.2929,0.7403,0.3605,0.9111,20.5802,2.7437,
2174.32797,-21.61203,-1.8371,0.7547,-2.2610,0.9288,20.6835,,
2174.33492,-21.60508,0.2757,0.7454,0.3393,0.9174,20.6461,2.9353,
2174.34186,-21.59814,-1.0486,0.7468,-1.2906,0.9191,20.6835,,
2174.34880,-21.59120,-1.5892,0.7433,-1.9559,0.9148,20.6835,,
2174.35575,-21.58425,-2.2799,0.7472,-2.8060,0.9196,20.6835,,
2174.36269,-21.57731,0.0908,0.7455,0.1118,0.9176,20.6835,,
2174.36964,-21.57036,-0.9228,0.7600,-1.1357,0.9354,20.6835,,
2174.37658,-21.56342,-1.8815,0.7254,-2.3156,0.8928,20.6835,,
2174.38353,-21.55647,0.8903,0.7544,1.0958,0.9285,19.3733,0.9200,
2174.39047,-21.54953,-2.2255,0.7461,-2.7390,0.9182,20.6835,,
2174.39742,-21.54258,1.3077,0.7334,1.6095,0.9027,18.9559,0.6089,
2174.40436,-21.53564,0.4500,0.7403,0.5539,0.9111,20.1141,1.7861,
2174.41130,-21.52870,-1.4414,0.7326,-1.7740,0.9016,20.6835,,
2174.41825,-21.52175,0.1618,0.7465,0.1992,0.9187,20.6835,,
2174.42519,-21.51481,0.0720,0.7395,0.0886,0.9102,20.6835,,
2174.43214,-21.50786,0.5886,0.7446,0.7245,0.9164,19.8226,1.3733,
2174.43908,-21.50092,0.8235,0.7409,1.0135,0.9119,19.4580,0.9768,
2174.44603,-21.49397,0.2310,0.7409,0.2843,0.9119,20.6835,,
2174.45297,-21.48703,-0.0995,0.7475,-0.1225,0.9199,20.6835,,
2174.45992,-21.48008,-1.0889,0.7477,-1.3401,0.9202,20.6835,,
2174.46686,-21.47314,-0.5162,0.7435,-0.6353,0.9151,20.6835,,
2174.47380,-21.46620,-0.7680,0.7503,-0.9452,0.9234,20.6835,,
2174.48075,-21.45925,0.8645,0.7487,1.0640,0.9215,19.4053,0.9403,
2174.48769,-21.45231,-0.3831,0.7394,-0.4715,0.9100,20.6835,,
2174.49464,-21.44536,-0.2803,0.7491,-0.3449,0.9219,20.6835,,
2174.50158,-21.43842,-1.5277,0.7394,-1.8802,0.9100,20.6835,,
2174.50853,-21.43147,0.3038,0.7367,0.3739,0.9067,20.5408,2.6331,
2174.51547,-21.42453,0.5910,0.7325,0.7273,0.9015,19.8183,1.3458,
2174.52241,-21.41759,0.6230,0.7250,0.7668,0.8922,19.7609,1.2633,
2174.52936,-21.41064,-0.1520,0.7269,-0.1871,0.8946,20.6835,,
2174.53630,-21.40370,-1.0924,0.7309,-1.3444,0.8996,20.6835,,
2174.54325,-21.39675,-0.4773,0.7316,-0.5874,0.9004,20.6835,,
2174.55019,-21.38981,0.5892,0.7181,0.7252,0.8838,19.8215,1.3233,
2174.55714,-21.38286,-0.2937,0.7423,-0.3614,0.9136,20.6835,,
2174.56408,-21.37592,-0.3650,0.7212,-0.4492,0.8876,20.6835,,
2174.57103,-21.36897,-0.0599,0.7292,-0.0737,0.8975,20.6835,,
2174.57797,-21.36203,-0.1863,0.7390,-0.2293,0.9095,20.6835,,
2174.58491,-21.35509,0.3984,0.7369,0.4904,0.9069,20.2463,2.0079,
2174.59186,-21.34814,1.3078,0.7379,1.6095,0.9081,18.9559,0.6126,
2174.59880,-21.34120,0.1284,0.7262,0.1581,0.8938,20.6835,,
2174.60575,-21.33425,0.8562,0.7253,1.0537,0.8927,19.4158,0.9198,
2174.61269,-21.32731,0.0838,0.7351,0.1032,0.9047,20.6835,,
2174.61964,-21.32036,-1.0294,0.7201,-1.2670,0.8862,20.6835,,
2174.62658,-21.31342,-0.6337,0.7361,-0.7800,0.9059,20.6835,,
2174.63353,-21.30647,0.0247,0.7221,0.0305,0.8888,20.6835,,
2174.64047,-21.29953,0.5959,0.7194,0.7334,0.8854,19.8092,1.3108,
2174.64741,-21.29259,-0.1842,0.7404,-0.2267,0.9112,20.6835,,
2174.65436,-21.28564,-1.0776,0.7533,-1.3263,0.9271,20.6835,,
2174.66130,-21.27870,-1.4763,0.7337,-1.8169,0.9030,20.6835,,
2174.66825,-21.27175,-0.2506,0.7177,-0.3085,0.8833,20.6835,,
2174.67519,-21.26481,0.2298,0.7286,0.2828,0.8967,20.6835,,
2174.68214,-21.25786,0.8541,0.7283,1.0511,0.8964,19.4185,0.9259,
2174.68908,-21.25092,0.6062,0.7462,0.7461,0.9183,19.7906,1.3364,
2174.69603,-21.24397,-0.0878,0.7294,-0.1080,0.8977,20.6835,,
2174.70297,-21.23703,-0.0074,0.7325,-0.0091,0.9015,20.6835,,
2174.70991,-21.23009,-0.9719,0.7321,-1.1961,0.9011,20.6835,,
2174.71686,-21.22314,0.0155,0.7368,0.0190,0.9068,20.6835,,
2174.72380,-21.21620,1.0582,0.7287,1.3024,0.8968,19.1858,0.7476,
2174.73075,-21.20925,0.0187,0.7264,0.0231,0.8940,20.6835,,
2174.73769,-21.20231,0.4665,0.7477,0.5742,0.9202,20.0750,1.7400,
2174.74464,-21.19536,0.5103,0.7420,0.6280,0.9132,19.9777,1.5788,
2174.75158,-21.18842,-0.6426,0.7383,-0.7908,0.9087,20.6835,,
2174.75853,-21.18147,0.2517,0.7315,0.3098,0.9003,20.6835,,
2174.76547,-21.17453,0.6597,0.7251,0.8119,0.8924,19.6988,1.1933,
2174.77241,-21.16759,-0.7076,0.7372,-0.8708,0.9073,20.6835,,
2174.77936,-21.16064,-0.9858,0.7418,-1.2133,0.9130,20.6835,,
2174.78630,-21.15370,-0.0974,0.7340,-0.1198,0.9033,20.6835,,
2174.79325,-21.14675,1.4381,0.7354,1.7700,0.9051,18.8527,0.5552,
2174.80019,-21.13981,-0.2577,0.7391,-0.3172,0.9096,20.6835,,
2174.80714,-21.13286,1.0080,0.7432,1.2406,0.9146,19.2386,0.8005,
