BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2196.06714,0.12714,0.33357,0.12670,0.41053,0.15593,20.00093,0.29607,
2196.32060,0.38060,0.68670,0.12495,0.84515,0.15379,19.64455,0.23718,
2196.57406,0.63406,0.64836,0.12786,0.79795,0.15736,19.79402,0.25333,
2196.83013,0.89013,0.66402,0.13541,0.81725,0.16665,19.77304,0.26771,
2197.07404,1.13404,0.56447,0.12655,0.69472,0.15575,19.88107,0.23132,
2197.32404,1.38404,0.63956,0.12733,0.78712,0.15671,19.82851,0.26661,
2197.57402,1.63403,0.42070,0.12594,0.51778,0.15499,19.89194,0.26741,
2197.82402,1.88402,0.38335,0.12721,0.47180,0.15657,19.91981,0.20896,
2198.07401,2.13401,0.54251,0.12758,0.66768,0.15701,19.88879,0.26011,
2198.32399,2.38399,0.90165,0.12847,1.10970,0.15812,19.50733,0.17863,
2198.57398,2.63398,0.74753,0.12800,0.92001,0.15753,19.68817,0.22870,
2198.82397,2.88397,0.49509,0.12729,0.60933,0.15666,19.85398,0.24679,
2199.07396,3.13396,0.85199,0.12769,1.04857,0.15715,19.52642,0.17621,
2199.32207,3.38207,0.79012,0.12923,0.97243,0.15904,19.62062,0.19552,
2199.57394,3.63394,0.85623,0.12701,1.05378,0.15631,19.56784,0.19840,
2199.82393,3.88393,0.79059,0.13070,0.97300,0.16085,19.64711,0.23522,
2200.01528,4.07528,0.01296,0.21091,0.01593,0.25958,20.31376,0.70807,
