BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2174.25533,-12.97467,0.1885,0.9447,0.0881,0.4416,20.6065,0.0,
2174.26922,-12.96078,-2.9417,0.9539,-1.3750,0.4459,20.6065,0.0,
2174.27617,-12.95383,-0.1430,0.9521,-0.0668,0.4450,20.6065,0.0,
2174.28311,-12.94689,-0.6109,0.9568,-0.2855,0.4472,20.6065,0.0,
2174.29005,-12.93995,-1.3534,0.9134,-0.6326,0.4269,20.6065,0.0,
2174.29700,-12.93300,-1.7706,0.9601,-0.8276,0.4488,20.6065,0.0,
2174.30394,-12.92606,0.1620,0.9315,0.0757,0.4354,20.6065,0.0,
2174.31089,-12.91911,-2.0537,0.9534,-0.9599,0.4456,20.6065,0.0,
2174.31783,-12.91217,-0.9544,0.9511,-0.4461,0.4446,20.6065,0.0,
2174.32478,-12.90522,-0.0981,0.9268,-0.0459,0.4332,20.6065,0.0,
2174.33172,-12.89828,0.4803,0.9347,0.2245,0.4369,20.0434,2.1129,0.0
2174.33867,-12.89133,-1.2520,0.9553,-0.5852,0.4465,20.6065,0.0,
2174.34561,-12.88439,-1.4643,0.9493,-0.6844,0.4437,20.6065,0.0,
2174.35255,-12.87745,-1.8478,0.9584,-0.8637,0.4480,20.6065,0.0,
2174.35950,-12.87050,-0.2514,0.9501,-0.1175,0.4441,20.6065,0.0,
2174.36644,-12.86356,-1.6187,0.9582,-0.7566,0.4479,20.6065,0.0,
2174.37339,-12.85661,-1.4197,0.9525,-0.6636,0.4452,20.6065,0.0,
2174.38033,-12.84967,-0.0380,0.9457,-0.0177,0.4420,20.6065,0.0,
2174.38728,-12.84272,-0.1282,0.9372,-0.0599,0.4381,20.6065,0.0,
2174.39422,-12.83578,0.2686,0.9425,0.1256,0.4406,20.6065,0.0,
2174.40117,-12.82883,-2.3327,0.9497,-1.0903,0.4439,20.6065,0.0,
2174.40811,-12.82189,1.2353,0.9349,0.5774,0.4370,19.0177,0.8216,0.0
2174.41505,-12.81495,-1.0953,0.9378,-0.5119,0.4383,20.6065,0.0,
2174.42200,-12.80800,0.1239,0.9438,0.0579,0.4411,20.6065,0.0,
2174.42894,-12.80106,-0.5227,0.9392,-0.2443,0.4390,20.6065,0.0,
2174.43589,-12.79411,-2.3742,0.9394,-1.1097,0.4391,20.6065,0.0,
2174.44283,-12.78717,0.1073,0.9353,0.0501,0.4372,20.6065,0.0,
2174.44978,-12.78022,-0.0531,0.9356,-0.0248,0.4373,20.6065,0.0,
2174.45672,-12.77328,0.1656,0.9358,0.0774,0.4374,20.6065,0.0,
2174.46367,-12.76633,-0.8422,0.9380,-0.3936,0.4384,20.6065,0.0,
2174.47061,-12.75939,-0.2386,0.9312,-0.1115,0.4353,20.6065,0.0,
2174.47756,-12.75244,-1.0797,0.9365,-0.5047,0.4377,20.6065,0.0,
2174.48450,-12.74550,-1.4024,0.9367,-0.6555,0.4379,20.6065,0.0,
2174.49144,-12.73856,-2.4336,0.9361,-1.1375,0.4376,20.6065,0.0,
2174.49839,-12.73161,-0.6380,0.9452,-0.2982,0.4418,20.6065,0.0,
2174.50533,-12.72467,-1.0598,0.9428,-0.4954,0.4407,20.6065,0.0,
2174.51228,-12.71772,0.2051,0.9416,0.0959,0.4401,20.6065,0.0,
2174.51922,-12.71078,-0.6497,0.9308,-0.3037,0.4351,20.6065,0.0,
2174.52617,-12.70383,-0.0410,0.9323,-0.0192,0.4358,20.6065,0.0,
2174.53311,-12.69689,-1.9325,0.9156,-0.9033,0.4280,20.6065,0.0,
2174.54006,-12.68994,0.7524,0.9333,0.3517,0.4363,19.5561,1.3469,0.0
2174.54700,-12.68300,-1.2281,0.9391,-0.5740,0.4389,20.6065,0.0,
2174.55394,-12.67606,0.4546,0.9382,0.2125,0.4385,20.1032,2.2409,0.0
2174.56089,-12.66911,-0.2622,0.9248,-0.1226,0.4322,20.6065,0.0,
2174.56783,-12.66217,-1.2273,0.9353,-0.5737,0.4372,20.6065,0.0,
2174.57478,-12.65522,-0.4008,0.9312,-0.1874,0.4353,20.6065,0.0,
2174.58172,-12.64828,0.0622,0.9199,0.0291,0.4300,20.6065,0.0,
2174.58867,-12.64133,-0.3865,0.9290,-0.1806,0.4343,20.6065,0.0,
2174.59561,-12.63439,-0.6462,0.9166,-0.3021,0.4284,20.6065,0.0,
2174.60256,-12.62744,0.4210,0.8942,0.1968,0.4179,20.1866,2.3061,0.0
2174.60950,-12.62050,0.0963,0.8954,0.0450,0.4185,20.6065,0.0,
2174.61644,-12.61356,-0.4476,0.8717,-0.2092,0.4074,20.6065,0.0,
