BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2190.54530,0.12530,-0.09203,0.14029,-0.02875,0.04384,20.23642,0.46966,
2190.79530,0.37530,-0.20847,0.14050,-0.06514,0.04390,20.29118,0.53141,
2191.04530,0.62529,-0.07741,0.14055,-0.02419,0.04392,20.09769,0.34670,
2191.29876,0.87876,0.35926,0.14181,0.11226,0.04432,19.98586,0.36236,
2191.55223,1.13223,0.39473,0.14254,0.12335,0.04454,19.92344,0.26389,
2191.80223,1.38223,0.29005,0.14322,0.09063,0.04476,19.93848,0.31314,
2192.05223,1.63223,0.08883,0.14175,0.02775,0.04429,20.12996,0.41318,
2192.30530,1.88530,-0.04948,0.14238,-0.01547,0.04449,20.16683,0.38059,
2192.55222,2.13222,0.22536,0.14092,0.07042,0.04403,20.12206,0.37231,
2192.80222,2.38222,0.05389,0.14257,0.01684,0.04455,20.11163,0.36309,
2193.05222,2.63222,0.25174,0.14405,0.07866,0.04501,20.04859,0.28185,
2193.30221,2.88221,0.22587,0.14226,0.07058,0.04445,19.98524,0.27257,
2193.56813,3.14813,0.71662,0.15865,0.22392,0.04958,19.74526,0.34580,
2193.80220,3.38220,0.76259,0.14246,0.23829,0.04452,19.59995,0.20288,
2194.05220,3.63220,0.60600,0.14283,0.18937,0.04463,19.70721,0.23267,
2194.30220,3.88220,0.79187,0.14167,0.24744,0.04427,19.58487,0.22531,
2194.55219,4.13219,0.59394,0.13979,0.18559,0.04368,19.71662,0.26678,
2194.80219,4.38219,0.37341,0.14102,0.11669,0.04407,19.89899,0.30188,
2195.05219,4.63218,0.65629,0.14042,0.20508,0.04388,19.66416,0.23442,
2195.30218,4.88218,0.73401,0.13956,0.22937,0.04361,19.65738,0.26211,
2195.55218,5.13218,0.60078,0.13952,0.18774,0.04360,19.73240,0.24364,
2195.80217,5.38217,0.79444,0.14122,0.24824,0.04413,19.52857,0.21932,
2196.05217,5.63217,1.02705,0.14043,0.32093,0.04388,19.42477,0.19055,
2196.30216,5.88216,0.79914,0.14049,0.24972,0.04390,19.59951,0.22466,
2196.55216,6.13216,0.90136,0.14173,0.28166,0.04429,19.48135,0.19990,
2196.80563,6.38563,1.24903,0.14742,0.39030,0.04607,19.22568,0.18653,
2197.05215,6.63215,1.53809,0.13988,0.48063,0.04371,18.87293,0.12678,
2197.30214,6.88214,1.58143,0.14025,0.49416,0.04383,18.90526,0.15894,
2197.55214,7.13214,1.66287,0.14076,0.51961,0.04399,18.87846,0.14952,
2197.80213,7.38213,1.52016,0.14104,0.47502,0.04407,18.98386,0.17715,
2198.05213,7.63213,1.72573,0.14089,0.53926,0.04403,18.79421,0.13876,
2198.30212,7.88212,1.85514,0.14135,0.57970,0.04417,18.72511,0.11244,
2198.55212,8.13212,2.03651,0.14161,0.63637,0.04425,18.56761,0.10545,
2198.80211,8.38211,2.02229,0.14236,0.63194,0.04449,18.60870,0.10923,
2199.05211,8.63211,2.34976,0.14247,0.73425,0.04452,18.44219,0.11231,
2199.29962,8.87962,2.36713,0.14574,0.73967,0.04554,18.36214,0.07763,
2199.55210,9.13210,2.88173,0.14274,0.90048,0.04460,18.15828,0.06505,
2199.80209,9.38209,2.83268,0.14603,0.88516,0.04563,18.16649,0.06783,
2200.01806,9.59806,3.32165,0.31961,1.03796,0.09988,18.00088,0.12393,
2200.21528,9.79528,5.15480,1.26420,1.61080,0.39500,17.46670,0.26630,
