BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1842.51344,-15.21656,-2.4970,3.5500,-0.1017,0.1446,20.6809,0.0,
1842.53428,-15.19572,2.5284,3.5509,0.1030,0.1446,20.6257,1.5248,0.0
1842.55511,-15.17489,-0.2312,3.5563,-0.0094,0.1448,20.6809,0.0,
1842.57594,-15.15406,-3.0109,3.5693,-0.1226,0.1454,20.6809,0.0,
1842.59678,-15.13322,-5.2301,3.5966,-0.2130,0.1465,20.6809,0.0,
1842.61761,-15.11239,8.3076,3.5603,0.3384,0.1450,19.3341,0.4653,0.0
1842.68011,-15.04989,-5.5495,3.5981,-0.2260,0.1465,20.6809,0.0,
1842.74261,-14.98739,-3.4860,3.5797,-0.1420,0.1458,20.6809,0.0,
1842.76345,-14.96655,-9.1082,3.5836,-0.3710,0.1460,20.6809,0.0,
1842.78428,-14.94572,-7.1709,3.5650,-0.2921,0.1452,20.6809,0.0,
1842.80512,-14.92488,2.8436,3.5889,0.1158,0.1462,20.4981,1.3703,0.0
1842.82595,-14.90405,0.5565,3.5919,0.0227,0.1463,20.6809,0.0,
1842.84678,-14.88322,-0.5154,3.5790,-0.0210,0.1458,20.6809,0.0,
1842.86762,-14.86238,-0.0402,3.5719,-0.0016,0.1455,20.6809,0.0,
1842.88845,-14.84155,-0.7552,3.5801,-0.0308,0.1458,20.6809,0.0,
1842.90928,-14.82072,2.0548,3.5480,0.0837,0.1445,20.6809,0.0,
1842.93012,-14.79988,-0.8769,3.5668,-0.0357,0.1453,20.6809,0.0,
1842.95095,-14.77905,-3.5953,3.5664,-0.1464,0.1453,20.6809,0.0,
1842.97179,-14.75821,-1.6817,3.5544,-0.0685,0.1448,20.6809,0.0,
1842.99262,-14.73738,1.3723,3.5582,0.0559,0.1449,20.6809,0.0,
1843.01345,-14.71655,-1.4486,3.5680,-0.0590,0.1453,20.6809,0.0,
1843.03429,-14.69571,1.8366,3.5722,0.0748,0.1455,20.6809,0.0,
1843.05512,-14.67488,-3.1504,3.5561,-0.1283,0.1448,20.6809,0.0,
1843.07595,-14.65405,-0.9458,3.5762,-0.0385,0.1457,20.6809,0.0,
