BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2174.25650,-0.49350,-1.9127,0.7734,-2.0582,0.8323,20.2990,,
2174.27039,-0.47961,-1.6205,0.7873,-1.7438,0.8473,20.2990,,
2174.27733,-0.47267,-0.6826,0.7810,-0.7346,0.8405,20.2990,,
2174.28428,-0.46572,-0.9180,0.7771,-0.9878,0.8362,20.2990,,
2174.29122,-0.45878,-1.3653,0.7818,-1.4692,0.8413,20.2990,,
2174.29817,-0.45183,0.2396,0.7699,0.2579,0.8285,20.2990,,
2174.30511,-0.44489,-1.1039,0.7711,-1.1879,0.8298,20.2990,,
2174.31206,-0.43794,-0.5547,0.7835,-0.5970,0.8431,20.2990,,
2174.31900,-0.43100,-1.0579,0.7803,-1.1384,0.8397,20.2990,,
2174.32595,-0.42405,-1.3257,0.7891,-1.4266,0.8492,20.2990,,
2174.33289,-0.41711,-1.6709,0.7730,-1.7980,0.8318,20.2990,,
2174.33983,-0.41017,-2.4080,0.7863,-2.5913,0.8461,20.2990,,
2174.34678,-0.40322,0.6435,0.7807,0.6925,0.8402,19.7258,1.3172,
2174.35372,-0.39628,0.9564,0.7844,1.0292,0.8441,19.2956,0.8904,
2174.36067,-0.38933,-1.9371,0.7840,-2.0845,0.8436,20.2990,,
2174.36761,-0.38239,-1.3236,0.7808,-1.4244,0.8402,20.2990,,
2174.37456,-0.37544,-0.8338,0.7821,-0.8972,0.8416,20.2990,,
2174.38150,-0.36850,-0.8378,0.7893,-0.9016,0.8494,20.2990,,
2174.38845,-0.36155,-1.7429,0.7815,-1.8755,0.8410,20.2990,,
2174.39539,-0.35461,-1.3084,0.7887,-1.4080,0.8487,20.2990,,
2174.40234,-0.34766,-1.6252,0.7782,-1.7489,0.8375,20.2990,,
2174.40928,-0.34072,-0.8710,0.7821,-0.9373,0.8416,20.2990,,
2174.41622,-0.33378,-0.0143,0.7790,-0.0154,0.8383,20.2990,,
2174.42317,-0.32683,-0.3202,0.7810,-0.3446,0.8404,20.2990,,
2174.43011,-0.31989,-0.8723,0.7791,-0.9387,0.8384,20.2990,,
2174.43706,-0.31294,0.3371,0.7846,0.3628,0.8443,20.2990,,
2174.44400,-0.30600,-2.8629,0.7773,-3.0808,0.8364,20.2990,,
2174.45095,-0.29905,-0.5114,0.7789,-0.5504,0.8381,20.2990,,
2174.45789,-0.29211,-0.2429,0.7926,-0.2614,0.8529,20.2990,,
2174.46484,-0.28516,0.2016,0.7791,0.2170,0.8384,20.2990,,
2174.47178,-0.27822,-0.5897,0.7772,-0.6345,0.8364,20.2990,,
2174.47873,-0.27127,-0.0447,0.7777,-0.0481,0.8369,20.2990,,
2174.48567,-0.26433,-0.6260,0.7751,-0.6737,0.8341,20.2990,,
2174.49261,-0.25739,-0.5787,0.7877,-0.6227,0.8476,20.2990,,
2174.49956,-0.25044,-0.5182,0.7823,-0.5576,0.8418,20.2990,,
2174.50650,-0.24350,-2.8047,0.7820,-3.0181,0.8415,20.2990,,
2174.51345,-0.23655,-1.2501,0.7794,-1.3452,0.8387,20.2990,,
2174.52039,-0.22961,0.1745,0.7805,0.1878,0.8399,20.2990,,
2174.52734,-0.22266,-0.0100,0.7819,-0.0107,0.8414,20.2990,,
2174.53428,-0.21572,0.2631,0.7823,0.2831,0.8418,20.2990,,
2174.54123,-0.20877,-0.4445,0.7759,-0.4783,0.8349,20.2990,,
2174.54817,-0.20183,-2.4883,0.7793,-2.6777,0.8386,20.2990,,
2174.55511,-0.19489,-1.7775,0.7795,-1.9128,0.8389,20.2990,,
2174.56206,-0.18794,-1.2340,0.7813,-1.3279,0.8408,20.2990,,
2174.56900,-0.18100,0.2207,0.7811,0.2375,0.8405,20.2990,,
2174.57595,-0.17405,-0.4828,0.7851,-0.5195,0.8448,20.2990,,
2174.58289,-0.16711,-0.0198,0.7838,-0.0213,0.8435,20.2990,,
2174.58984,-0.16016,-1.3544,0.7801,-1.4574,0.8394,20.2990,,
2174.59678,-0.15322,0.7561,0.7834,0.8136,0.8431,19.5507,1.1250,
2174.60373,-0.14627,-0.3178,0.7780,-0.3420,0.8372,20.2990,,
2174.61067,-0.13933,-1.0860,0.7819,-1.1687,0.8414,20.2990,,
2174.61762,-0.13238,-0.6429,0.7854,-0.6919,0.8452,20.2990,,
2174.62456,-0.12544,0.2530,0.7847,0.2723,0.8444,20.2990,,
2174.63150,-0.11850,0.5929,0.7815,0.6380,0.8410,19.8147,1.4311,
2174.63845,-0.11155,1.0402,0.7846,1.1193,0.8444,19.2044,0.8190,
2174.64539,-0.10461,-1.1083,0.7846,-1.1927,0.8443,20.2990,,
2174.65234,-0.09766,0.5359,0.7850,0.5766,0.8448,19.9246,1.5906,
2174.65928,-0.09072,-0.4073,0.7861,-0.4383,0.8459,20.2990,,
2174.66623,-0.08377,-0.2681,0.7826,-0.2886,0.8421,20.2990,,
2174.67317,-0.07683,-0.7531,0.7801,-0.8104,0.8394,20.2990,,
2174.68012,-0.06988,-0.7507,0.7849,-0.8079,0.8446,20.2990,,
2174.68706,-0.06294,0.7918,0.7824,0.8521,0.8420,19.5007,1.0729,
2174.69400,-0.05600,-0.6476,0.7845,-0.6969,0.8442,20.2990,,
2174.70095,-0.04905,-0.5957,0.7855,-0.6410,0.8452,20.2990,,
2174.70789,-0.04211,-1.1498,0.7862,-1.2373,0.8461,20.2990,,
2174.71484,-0.03516,0.7742,0.7856,0.8331,0.8454,19.5251,1.1017,
2174.72178,-0.02822,-0.1091,0.7821,-0.1174,0.8416,20.2990,,
2174.72873,-0.02127,-0.6900,0.7842,-0.7425,0.8439,20.2990,,
2174.73567,-0.01433,0.3744,0.7851,0.4029,0.8449,20.2990,,
2174.74262,-0.00738,-0.6701,0.7856,-0.7211,0.8454,20.2990,,
2174.74956,-0.00044,0.8193,0.7867,0.8817,0.8465,19.4635,1.0425,
2174.75651,0.00651,0.2689,0.7861,0.2893,0.8459,20.2990,,
2174.76345,0.01345,-0.5317,0.7861,-0.5721,0.8460,20.2990,,
2174.77039,0.02039,1.0242,0.7850,1.1022,0.8448,19.2212,0.8322,
2174.77734,0.02734,-0.7746,0.7871,-0.8336,0.8470,20.2990,,
2174.78428,0.03428,-0.2281,0.7869,-0.2454,0.8468,20.2990,,
2174.79123,0.04123,-0.8898,0.7849,-0.9575,0.8446,20.2990,,
2174.79817,0.04817,-1.0493,0.7904,-1.1291,0.8505,20.2990,,
2174.80512,0.05512,0.2593,0.7881,0.2791,0.8481,20.2990,,
2174.81206,0.06206,-1.2471,0.7887,-1.3421,0.8487,20.2990,,
2174.81901,0.06901,-0.1599,0.7910,-0.1720,0.8512,20.2990,,
2174.82595,0.07595,1.3863,0.7925,1.4918,0.8528,18.8925,0.6207,
2174.83290,0.08290,-1.2530,0.7885,-1.3483,0.8485,20.2990,,
2174.83984,0.08984,-1.1241,0.7879,-1.2097,0.8478,20.2990,,
2174.84678,0.09678,0.2067,0.7868,0.2224,0.8467,20.2990,,
2174.85373,0.10373,-0.5427,0.7842,-0.5840,0.8438,20.2990,,
2174.86067,0.11067,-0.8810,0.7880,-0.9480,0.8479,20.2990,,
2174.86762,0.11762,-0.5719,0.7883,-0.6154,0.8483,20.2990,,
2174.87456,0.12456,0.5910,0.7907,0.6360,0.8509,19.8181,1.4525,
2174.88151,0.13151,-2.0298,0.7853,-2.1842,0.8451,20.2990,,
2174.88845,0.13845,-0.4738,0.7865,-0.5098,0.8463,20.2990,,
2174.89540,0.14540,-1.2214,0.7854,-1.3143,0.8452,20.2990,,
2174.90234,0.15234,-0.9019,0.7862,-0.9705,0.8460,20.2990,,
2174.90928,0.15928,0.6010,0.7864,0.6468,0.8462,19.8000,1.4206,
2174.91623,0.16623,0.3703,0.7861,0.3985,0.8459,20.2990,,
2174.92317,0.17317,-1.3689,0.7860,-1.4731,0.8459,20.2990,,
2174.93012,0.18012,-0.0009,0.7872,-0.0009,0.8471,20.2990,,
2174.93706,0.18706,-0.0919,0.7842,-0.0988,0.8439,20.2990,,
2174.94401,0.19401,-0.7729,0.7869,-0.8317,0.8468,20.2990,,
2174.95095,0.20095,-0.9144,0.7893,-0.9839,0.8494,20.2990,,
2174.95790,0.20790,-1.1841,0.7849,-1.2742,0.8446,20.2990,,
2174.96484,0.21484,-0.9034,0.7818,-0.9722,0.8413,20.2990,,
2174.97179,0.22179,-0.3100,0.7868,-0.3335,0.8467,20.2990,,
2174.97873,0.22873,-0.4214,0.7891,-0.4534,0.8491,20.2990,,
2174.98567,0.23567,-0.2587,0.7851,-0.2784,0.8449,20.2990,,
2174.99262,0.24262,-0.3933,0.7854,-0.4233,0.8452,20.2990,,
2174.99956,0.24956,-1.5777,0.7877,-1.6978,0.8477,20.2990,,
2175.00651,0.25651,0.7427,0.7880,0.7992,0.8479,19.5702,1.1520,
2175.01345,0.26345,-1.0709,0.7878,-1.1524,0.8478,20.2990,,
2175.02040,0.27040,0.2131,0.7889,0.2293,0.8489,20.2990,,
2175.02734,0.27734,-1.5934,0.7883,-1.7147,0.8483,20.2990,,
2175.03429,0.28429,-0.1633,0.7851,-0.1757,0.8448,20.2990,,
2175.04123,0.29123,1.2091,0.7877,1.3011,0.8477,19.0411,0.7074,
2175.04817,0.29817,1.5654,0.7877,1.6845,0.8477,18.7607,0.5464,
2175.05512,0.30512,-0.1941,0.7869,-0.2089,0.8468,20.2990,,
2175.06206,0.31206,3.0227,0.7862,3.2527,0.8461,18.0462,0.2824,
2175.06901,0.31901,-0.1735,0.7878,-0.1867,0.8477,20.2990,,
2175.07595,0.32595,-2.0047,0.7827,-2.1573,0.8423,20.2990,,
2175.08290,0.33290,-0.5704,0.7818,-0.6138,0.8413,20.2990,,
2175.08984,0.33984,0.4317,0.7905,0.4646,0.8506,20.1592,1.9881,
2175.09679,0.34679,1.4211,0.7881,1.5293,0.8481,18.8656,0.6021,
2175.10373,0.35373,-0.6633,0.7841,-0.7138,0.8437,20.2990,,
2175.11067,0.36067,-0.5343,0.7827,-0.5750,0.8422,20.2990,,
2175.11762,0.36762,0.1674,0.7860,0.1801,0.8458,20.2990,,
2175.12456,0.37456,1.3846,0.7858,1.4900,0.8456,18.8939,0.6161,
2175.13151,0.38151,1.2957,0.7836,1.3943,0.8432,18.9659,0.6566,
2175.13845,0.38845,-1.5176,0.7801,-1.6331,0.8395,20.2990,,
2175.14540,0.39540,-0.6998,0.7807,-0.7530,0.8401,20.2990,,
2175.15234,0.40234,-1.3342,0.7781,-1.4357,0.8373,20.2990,,
2175.15929,0.40929,-0.9489,0.7792,-1.0211,0.8385,20.2990,,
2175.16623,0.41623,0.1428,0.7826,0.1537,0.8422,20.2990,,
2175.17317,0.42317,-0.2810,0.7817,-0.3024,0.8412,20.2990,,
2175.18012,0.43012,-0.4883,0.7804,-0.5254,0.8398,20.2990,,
2175.18706,0.43706,-1.1032,0.7790,-1.1872,0.8383,20.2990,,
2175.19401,0.44401,0.2461,0.7825,0.2649,0.8421,20.2990,,
2175.20095,0.45095,-0.0163,0.7806,-0.0176,0.8400,20.2990,,
2175.20790,0.45790,-1.2964,0.7795,-1.3950,0.8388,20.2990,,
2175.21484,0.46484,-1.6347,0.7797,-1.7591,0.8390,20.2990,,
2175.22179,0.47179,-0.7690,0.7819,-0.8275,0.8414,20.2990,,
2175.22873,0.47873,0.1972,0.7878,0.2122,0.8477,20.2990,,
2175.23568,0.48568,-0.0086,0.7813,-0.0093,0.8408,20.2990,,
2175.24262,0.49262,-0.3085,0.7775,-0.3319,0.8366,20.2990,,
2175.24956,0.49956,0.4385,0.7893,0.4719,0.8494,20.1423,1.9543,
2175.25651,0.50651,1.2096,0.7836,1.3016,0.8432,19.0406,0.7034,
2175.26345,0.51345,0.4034,0.7833,0.4341,0.8429,20.2330,2.1085,
2175.27040,0.52040,0.0211,0.7920,0.0227,0.8523,20.2990,,
2175.27734,0.52734,-1.0107,0.7709,-1.0876,0.8296,20.2990,,
2175.28429,0.53429,-0.3193,0.7770,-0.3436,0.8362,20.2990,,
2175.29123,0.54123,-0.7944,0.7761,-0.8549,0.8352,20.2990,,
2175.29818,0.54818,-0.5794,0.7730,-0.6235,0.8318,20.2990,,
2175.30512,0.55512,-0.5925,0.7866,-0.6376,0.8464,20.2990,,
2175.31206,0.56206,-0.6803,0.7802,-0.7321,0.8395,20.2990,,
2175.31901,0.56901,1.0644,0.7821,1.1454,0.8416,19.1795,0.7978,
2175.32595,0.57595,-0.7801,0.7795,-0.8394,0.8389,20.2990,,
2175.33290,0.58290,-0.7997,0.7833,-0.8606,0.8429,20.2990,,
2175.33984,0.58984,-0.1803,0.7819,-0.1941,0.8414,20.2990,,
2175.34679,0.59679,-0.4977,0.7805,-0.5356,0.8399,20.2990,,
2175.35373,0.60373,0.3464,0.7775,0.3728,0.8366,20.2990,,
2175.36068,0.61068,-0.6110,0.7769,-0.6575,0.8361,20.2990,,
2175.36762,0.61762,-0.4561,0.7823,-0.4909,0.8419,20.2990,,
2175.37457,0.62457,-0.8922,0.7836,-0.9601,0.8432,20.2990,,
2175.38151,0.63151,1.1638,0.7942,1.2524,0.8547,19.0825,0.7409,
2175.38845,0.63845,-1.5217,0.7866,-1.6375,0.8465,20.2990,,
2175.39540,0.64540,-0.9202,0.7952,-0.9902,0.8558,20.2990,,
2175.40234,0.65234,0.0838,0.7826,0.0902,0.8421,20.2990,,
2175.40929,0.65929,-0.2117,0.7910,-0.2278,0.8512,20.2990,,
2175.41623,0.66623,0.8887,0.7905,0.9563,0.8507,19.3753,0.9658,
2175.42318,0.67318,-2.5841,0.7944,-2.7807,0.8548,20.2990,,
2175.43012,0.68012,0.4570,0.7933,0.4918,0.8537,20.0974,1.8847,
2175.43707,0.68707,0.3986,0.7944,0.4290,0.8549,20.2458,2.1638,
2175.44401,0.69401,-1.4793,0.7943,-1.5918,0.8547,20.2990,,
2175.45095,0.70095,-1.2017,0.7947,-1.2932,0.8552,20.2990,,
2175.45790,0.70790,0.2471,0.7927,0.2660,0.8530,20.2990,,
2175.46484,0.71484,2.3495,0.7856,2.5283,0.8454,18.3198,0.3631,
2175.47179,0.72179,-1.8068,0.7949,-1.9443,0.8554,20.2990,,
2175.47873,0.72873,-1.0204,0.7901,-1.0980,0.8502,20.2990,,
2175.48568,0.73568,-0.8701,0.7887,-0.9363,0.8487,20.2990,,
2175.49262,0.74262,-0.1176,0.7988,-0.1266,0.8596,20.2990,,
2175.49957,0.74957,1.1061,0.7945,1.1903,0.8549,19.1377,0.7798,
2175.50651,0.75651,-1.2977,0.7913,-1.3965,0.8515,20.2990,,
2175.51346,0.76346,1.4235,0.7918,1.5318,0.8521,18.8638,0.6040,
2175.52040,0.77040,0.3952,0.8010,0.4253,0.8620,20.2552,2.2008,
2175.52734,0.77734,-0.9697,0.7958,-1.0435,0.8564,20.2990,,
2175.53429,0.78429,-0.6731,0.8021,-0.7243,0.8631,20.2990,,
2175.54123,0.79123,1.2049,0.7984,1.2965,0.8591,19.0449,0.7194,
2175.54818,0.79818,-0.9334,0.7950,-1.0044,0.8555,20.2990,,
2175.55512,0.80512,-0.1548,0.8017,-0.1666,0.8627,20.2990,,
2175.56207,0.81207,0.0196,0.8032,0.0211,0.8643,20.2990,,
2175.56901,0.81901,-1.0887,0.8017,-1.1715,0.8627,20.2990,,
2175.57596,0.82596,-0.2624,0.8043,-0.2824,0.8655,20.2990,,
2175.58290,0.83290,-0.0870,0.8058,-0.0936,0.8672,20.2990,,
2175.58984,0.83984,0.6316,0.7980,0.6796,0.8587,19.7462,1.3719,
2175.59679,0.84679,-2.4259,0.8027,-2.6105,0.8638,20.2990,,
2175.60373,0.85373,-0.0831,0.8022,-0.0894,0.8633,20.2990,,
2175.61068,0.86068,-0.1738,0.8068,-0.1870,0.8682,20.2990,,
2175.61762,0.86762,-0.2601,0.8052,-0.2798,0.8665,20.2990,,
2175.62457,0.87457,0.1437,0.8030,0.1547,0.8641,20.2990,,
2175.63151,0.88151,-1.3111,0.7984,-1.4109,0.8591,20.2990,,
2175.63846,0.88846,-0.3015,0.8023,-0.3244,0.8633,20.2990,,
2175.64540,0.89540,0.0852,0.8007,0.0916,0.8616,20.2990,,
2175.65235,0.90235,-0.3928,0.7957,-0.4227,0.8563,20.2990,,
2175.65929,0.90929,0.5496,0.8023,0.5914,0.8633,19.8971,1.5849,
2175.66623,0.91623,1.1533,0.8029,1.2410,0.8640,19.0924,0.7559,
2175.67318,0.92318,-0.9316,0.7975,-1.0025,0.8582,20.2990,,
2175.68012,0.93012,-0.4330,0.8031,-0.4659,0.8643,20.2990,,
2175.68707,0.93707,0.6092,0.7888,0.6555,0.8488,19.7854,1.4059,
