BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2174.87803,0.12803,-0.48250,0.13116,-0.51920,0.14115,20.20277,0.57040,
2175.12804,0.37804,-0.13601,0.13066,-0.14636,0.14060,20.01439,0.37103,
2175.37804,0.62804,-0.28299,0.13106,-0.30453,0.14103,20.07735,0.44490,
2175.62804,0.87804,-0.08096,0.13320,-0.08712,0.14333,20.02415,0.36582,
2175.87804,1.12804,0.00181,0.13265,0.00196,0.14275,19.96594,0.30318,
2176.12804,1.37804,0.15084,0.13128,0.16232,0.14127,19.95616,0.33170,
2176.37804,1.62804,-0.08549,0.13135,-0.09198,0.14135,19.99241,0.33541,
2176.62804,1.87804,-0.08614,0.13233,-0.09270,0.14240,20.10765,0.42437,
2176.87805,2.12805,0.07489,0.13180,0.08059,0.14183,20.04908,0.37542,
2177.12805,2.37805,0.06627,0.13122,0.07130,0.14121,19.99413,0.35763,
2177.37805,2.62805,0.00949,0.13199,0.01022,0.14204,20.03355,0.36126,
2177.62805,2.87805,-0.06246,0.13184,-0.06721,0.14188,20.06081,0.38398,
2177.87192,3.12192,0.05633,0.13507,0.06062,0.14535,20.00415,0.36766,
2178.12805,3.37805,0.17249,0.13029,0.18562,0.14020,19.86878,0.28289,
2178.37805,3.62805,0.13243,0.13049,0.14252,0.14042,20.07879,0.41373,
2178.62805,3.87805,-0.29103,0.13046,-0.31317,0.14039,20.11572,0.40484,
2178.87805,4.12805,-0.03595,0.13063,-0.03869,0.14057,19.95539,0.29191,
2179.12805,4.37805,0.09541,0.13196,0.10268,0.14200,20.01674,0.38137,
2179.35722,4.60722,0.04742,0.14419,0.05103,0.15517,20.10666,0.48821,
2179.63152,4.88152,-0.00909,0.13431,-0.00977,0.14453,19.99619,0.30668,
2179.87805,5.12805,-0.11228,0.13106,-0.12083,0.14103,20.09446,0.40295,
2180.12805,5.37805,0.16623,0.13217,0.17889,0.14222,20.08385,0.41607,
2180.37805,5.62805,0.16078,0.13209,0.17301,0.14214,19.87680,0.26837,
2180.62805,5.87805,0.13881,0.13179,0.14938,0.14183,19.94082,0.30769,
2180.87805,6.12805,0.10590,0.13156,0.11396,0.14157,19.94188,0.31266,
2181.12805,6.37805,0.13996,0.13131,0.15060,0.14130,19.92256,0.31767,
2181.37805,6.62805,0.21065,0.13187,0.22669,0.14190,19.92292,0.29817,
2181.62805,6.87805,0.20467,0.13244,0.22024,0.14252,19.92891,0.33294,
2181.87805,7.12805,0.07103,0.13172,0.07643,0.14175,20.00775,0.35268,
2182.12805,7.37805,-0.03175,0.13196,-0.03418,0.14200,20.00865,0.28995,
2182.37805,7.62805,0.08607,0.13212,0.09262,0.14218,19.87684,0.28423,
2182.62805,7.87805,-0.04592,0.13151,-0.04942,0.14151,20.07138,0.39518,
2182.87804,8.12804,0.06255,0.13146,0.06731,0.14147,19.91529,0.29057,
2183.12804,8.37804,0.34351,0.13291,0.36965,0.14303,19.78110,0.26963,
2183.37804,8.62804,0.09467,0.13179,0.10187,0.14182,19.89668,0.28410,
2183.63072,8.88072,0.22967,0.13447,0.24715,0.14471,19.86654,0.29649,
2183.87804,9.12804,-0.00292,0.13293,-0.00314,0.14304,20.06319,0.40707,
2184.12804,9.37804,-0.05030,0.13287,-0.05413,0.14298,20.08964,0.44196,
2184.37774,9.62774,0.03753,0.13480,0.04038,0.14506,19.95662,0.37134,
2184.62803,9.87803,0.53071,0.13277,0.57110,0.14288,19.65648,0.21834,
2184.88150,10.13150,-0.10724,0.13177,-0.11541,0.14180,20.05054,0.36812,
2185.13289,10.38289,0.25370,0.13557,0.27301,0.14588,19.88841,0.32773,
2185.38497,10.63497,-0.14574,0.13446,-0.15683,0.14469,20.09779,0.43266,
2185.63497,10.88497,-0.81693,0.14861,-0.87909,0.15992,20.24142,0.64401,
2185.81298,11.06298,0.82005,0.27409,0.88246,0.29495,19.46573,0.40674,
2187.15496,12.40496,-0.06209,0.21698,-0.06681,0.23349,19.87445,0.45307,
2187.38497,12.63497,0.17564,0.13261,0.18901,0.14270,19.92677,0.29674,
2187.63496,12.88496,0.51646,0.13346,0.55576,0.14361,19.71243,0.25734,
2187.88496,13.13496,0.14564,0.13438,0.15673,0.14461,19.99034,0.34957,
2188.13496,13.38496,0.61276,0.13387,0.65939,0.14405,19.64311,0.22153,
2188.38496,13.63496,0.40398,0.13216,0.43471,0.14222,19.76673,0.25714,
2188.63496,13.88496,0.71590,0.13263,0.77038,0.14272,19.51226,0.20099,
2188.88496,14.13496,0.28803,0.13227,0.30996,0.14233,19.91786,0.32178,
2189.13248,14.38248,0.41884,0.13297,0.45071,0.14308,19.82419,0.25146,
2189.38496,14.63496,0.40820,0.13157,0.43927,0.14158,19.81344,0.28304,
2189.63496,14.88496,0.51491,0.13138,0.55409,0.14138,19.63533,0.21966,
2189.88496,15.13496,0.38457,0.12916,0.41383,0.13899,19.86686,0.29477,
2190.13495,15.38495,0.56219,0.12982,0.60495,0.13970,19.71547,0.25580,
2190.38495,15.63495,0.55687,0.12951,0.59925,0.13937,19.61165,0.18775,
2190.63495,15.88495,0.52750,0.13214,0.56763,0.14219,19.73489,0.26702,
2190.88495,16.13495,0.50141,0.13199,0.53957,0.14203,19.70698,0.23551,
2191.13495,16.38495,0.17671,0.13146,0.19015,0.14146,19.79424,0.24410,
2191.38494,16.63494,-0.05869,0.13256,-0.06315,0.14264,20.05389,0.39800,
2191.63494,16.88494,0.17179,0.13190,0.18487,0.14194,19.85937,0.26573,
2191.88494,17.13494,0.34169,0.13112,0.36768,0.14109,19.71341,0.22564,
2192.13325,17.38325,0.57422,0.13310,0.61793,0.14322,19.71621,0.24813,
