BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1842.51233,-16.85767,11.1184,4.8501,0.2283,0.0996,19.0177,0.4736,0.0
1842.53316,-16.83684,6.5358,4.8513,0.1342,0.0996,19.5946,0.8059,0.0
1842.55400,-16.81600,-3.5913,4.8477,-0.0737,0.0995,20.2012,0.0,
1842.57483,-16.79517,-4.3036,4.8600,-0.0884,0.0998,20.2012,0.0,
1842.59566,-16.77434,-5.2773,4.8569,-0.1084,0.0997,20.2012,0.0,
1842.61650,-16.75350,1.5535,4.8621,0.0319,0.0998,20.2012,0.0,
1842.67900,-16.69100,5.9397,4.8585,0.1220,0.0998,19.6984,0.8881,0.0
1842.74150,-16.62850,10.3298,4.8640,0.2121,0.0999,19.0976,0.5112,0.0
1842.76233,-16.60767,-5.3734,4.8615,-0.1103,0.0998,20.2012,0.0,
1842.78317,-16.58683,6.0510,4.8474,0.1243,0.0995,19.6782,0.8698,0.0
1842.80400,-16.56600,6.6334,4.8567,0.1362,0.0997,19.5785,0.7949,0.0
1842.82483,-16.54517,3.7587,4.8577,0.0772,0.0997,20.1952,1.4032,0.0
1842.84567,-16.52433,5.1101,4.8533,0.1049,0.0997,19.8617,1.0312,0.0
1842.86650,-16.50350,5.3559,4.8574,0.1100,0.0997,19.8107,0.9847,0.0
1842.88733,-16.48267,-2.3721,4.8504,-0.0487,0.0996,20.2012,0.0,
1842.90817,-16.46183,3.7904,4.8512,0.0778,0.0996,20.1861,1.3896,0.0
1842.92900,-16.44100,-0.2195,4.8514,-0.0045,0.0996,20.2012,0.0,
1842.94983,-16.42017,9.1362,4.8558,0.1876,0.0997,19.2309,0.5771,0.0
1842.97067,-16.39933,4.8126,4.8578,0.0988,0.0998,19.9269,1.0960,0.0
1842.99150,-16.37850,1.6875,4.8536,0.0347,0.0997,20.2012,0.0,
1843.01233,-16.35767,4.6063,4.8571,0.0946,0.0997,19.9744,1.1449,0.0
1843.03317,-16.33683,3.1832,4.8575,0.0654,0.0997,20.2012,0.0,
1843.05400,-16.31600,-1.2129,4.8602,-0.0249,0.0998,20.2012,0.0,
1843.07483,-16.29517,6.1476,4.8590,0.1262,0.0998,19.6610,0.8581,0.0
1843.09567,-16.27433,-0.4295,4.8531,-0.0088,0.0997,20.2012,0.0,
1843.11650,-16.25350,0.3110,4.8515,0.0064,0.0996,20.2012,0.0,
1843.13733,-16.23267,2.7006,4.8558,0.0555,0.0997,20.2012,0.0,
1843.15817,-16.21183,-0.0490,4.8514,-0.0010,0.0996,20.2012,0.0,
1843.17900,-16.19100,0.1231,4.8537,0.0025,0.0997,20.2012,0.0,
1843.19983,-16.17017,-4.0992,4.8538,-0.0842,0.0997,20.2012,0.0,
1843.22067,-16.14933,6.1616,4.8604,0.1265,0.0998,19.6586,0.8565,0.0
1843.24150,-16.12850,-2.6174,4.8564,-0.0537,0.0997,20.2012,0.0,
1843.26233,-16.10767,7.9716,4.8575,0.1637,0.0997,19.3789,0.6616,0.0
1843.28317,-16.08683,4.7961,4.8615,0.0985,0.0998,19.9306,1.1005,0.0
1843.30400,-16.06600,-9.2956,4.8525,-0.1909,0.0996,20.2012,0.0,
1843.32483,-16.04517,2.1892,4.8555,0.0450,0.0997,20.2012,0.0,
1843.34567,-16.02433,1.2756,4.8558,0.0262,0.0997,20.2012,0.0,
1843.36650,-16.00350,4.9515,4.8592,0.1017,0.0998,19.8960,1.0655,0.0
1843.38733,-15.98267,1.6983,4.8544,0.0349,0.0997,20.2012,0.0,
1843.40817,-15.96183,0.5034,4.8495,0.0103,0.0996,20.2012,0.0,
1843.42900,-15.94100,4.8087,4.8541,0.0987,0.0997,19.9277,1.0960,0.0
1843.44983,-15.92017,-0.7313,4.8550,-0.0150,0.0997,20.2012,0.0,
1843.47067,-15.89933,-6.6115,4.8483,-0.1358,0.0996,20.2012,0.0,
1843.49150,-15.87850,-1.9533,4.8524,-0.0401,0.0996,20.2012,0.0,
1843.51233,-15.85767,5.2018,4.8550,0.1068,0.0997,19.8424,1.0134,0.0
1843.53317,-15.83683,-0.5205,4.8521,-0.0107,0.0996,20.2012,0.0,
1843.55400,-15.81600,6.0024,4.8574,0.1233,0.0997,19.6870,0.8786,0.0
1843.57483,-15.79517,2.0253,4.8569,0.0416,0.0997,20.2012,0.0,
1843.59567,-15.77433,2.8317,4.8591,0.0581,0.0998,20.2012,0.0,
1843.61650,-15.75350,4.1380,4.8601,0.0850,0.0998,20.0908,1.2752,0.0
1843.63734,-15.73266,2.0340,4.8621,0.0418,0.0998,20.2012,0.0,
1843.65817,-15.71183,6.7584,4.8599,0.1388,0.0998,19.5582,0.7807,0.0
1843.67900,-15.69100,10.8544,4.8642,0.2229,0.0999,19.0438,0.4865,0.0
1843.69984,-15.67016,2.8710,4.8615,0.0590,0.0998,20.2012,0.0,
1843.72067,-15.64933,-2.2820,4.8594,-0.0469,0.0998,20.2012,0.0,
1843.74150,-15.62850,6.7182,4.8667,0.1380,0.0999,19.5647,0.7865,0.0
1843.76234,-15.60766,3.0498,4.8492,0.0626,0.0996,20.2012,0.0,
1843.80400,-15.56600,-6.3612,4.8550,-0.1306,0.0997,20.2012,0.0,
1843.82484,-15.54516,-1.0699,4.8516,-0.0220,0.0996,20.2012,0.0,
1843.84567,-15.52433,-8.1056,4.8459,-0.1664,0.0995,20.2012,0.0,
1843.86650,-15.50350,6.9294,4.8610,0.1423,0.0998,19.5311,0.7616,0.0
1843.88734,-15.48266,-10.9223,4.8518,-0.2243,0.0996,20.2012,0.0,
1843.90817,-15.46183,-1.4712,4.8607,-0.0302,0.0998,20.2012,0.0,
1843.92900,-15.44100,4.2262,4.8656,0.0868,0.0999,20.0679,1.2500,0.0
1843.94984,-15.42016,3.9094,4.8654,0.0803,0.0999,20.1525,1.3512,0.0
1843.97067,-15.39933,2.9637,4.8663,0.0609,0.0999,20.2012,0.0,
1843.99150,-15.37850,6.6863,4.8695,0.1373,0.1000,19.5698,0.7907,0.0
1844.01234,-15.35766,-1.4703,4.8591,-0.0302,0.0998,20.2012,0.0,
1844.03317,-15.33683,4.8824,4.8619,0.1003,0.0998,19.9112,1.0812,0.0
1844.07484,-15.29516,6.7912,4.8675,0.1395,0.0999,19.5529,0.7782,0.0
1844.09567,-15.27433,-2.8928,4.8708,-0.0594,0.1000,20.2012,0.0,
1844.11650,-15.25350,-1.5576,4.8596,-0.0320,0.0998,20.2012,0.0,
1844.13734,-15.23266,6.8680,4.8683,0.1410,0.1000,19.5407,0.7696,0.0
1844.15817,-15.21183,6.9359,4.8594,0.1424,0.0998,19.5300,0.7607,0.0
1844.17900,-15.19100,2.3761,4.8518,0.0488,0.0996,20.2012,0.0,
1844.19984,-15.17016,3.6476,4.8541,0.0749,0.0997,20.2012,0.0,
1844.22067,-15.14933,-2.5643,4.8527,-0.0527,0.0996,20.2012,0.0,
1844.24150,-15.12850,10.2693,4.8554,0.2109,0.0997,19.1040,0.5133,0.0
1844.26234,-15.10766,-0.4018,4.8498,-0.0083,0.0996,20.2012,0.0,
1844.28317,-15.08683,-1.4868,4.8559,-0.0305,0.0997,20.2012,0.0,
1844.30400,-15.06600,2.7811,4.8591,0.0571,0.0998,20.2012,0.0,
1844.32484,-15.04516,5.2262,4.8586,0.1073,0.0998,19.8373,1.0094,0.0
1844.34567,-15.02433,2.0539,4.8540,0.0422,0.0997,20.2012,0.0,
1844.36650,-15.00350,3.8367,4.8547,0.0788,0.0997,20.1729,1.3738,0.0
1844.38734,-14.98266,-4.9292,4.8499,-0.1012,0.0996,20.2012,0.0,
1844.40817,-14.96183,2.1620,4.8543,0.0444,0.0997,20.2012,0.0,
1844.42900,-14.94100,8.4649,4.8552,0.1738,0.0997,19.3137,0.6227,0.0
1844.44984,-14.92016,0.5180,4.8553,0.0106,0.0997,20.2012,0.0,
1844.47067,-14.89933,4.3101,4.8562,0.0885,0.0997,20.0466,1.2233,0.0
1844.49150,-14.87850,-1.4907,4.8597,-0.0306,0.0998,20.2012,0.0,
1844.51234,-14.85766,2.4373,4.8622,0.0500,0.0998,20.2012,0.0,
1844.53317,-14.83683,-2.2799,4.8616,-0.0468,0.0998,20.2012,0.0,
1844.55400,-14.81600,-2.5574,4.8551,-0.0525,0.0997,20.2012,0.0,
1844.57484,-14.79516,1.0665,4.8654,0.0219,0.0999,20.2012,0.0,
1844.59567,-14.77433,-3.2667,4.8627,-0.0671,0.0998,20.2012,0.0,
1844.61650,-14.75350,6.5312,4.8657,0.1341,0.0999,19.5953,0.8089,0.0
1844.63734,-14.73266,-2.7965,4.8639,-0.0574,0.0999,20.2012,0.0,
1844.65817,-14.71183,-0.1362,4.8641,-0.0028,0.0999,20.2012,0.0,
1844.67901,-14.69099,-1.2393,4.8647,-0.0254,0.0999,20.2012,0.0,
1844.69984,-14.67016,4.2131,4.8711,0.0865,0.1000,20.0713,1.2553,0.0
1844.72067,-14.64933,0.3693,4.8656,0.0076,0.0999,20.2012,0.0,
1844.74151,-14.62849,1.7748,4.8642,0.0364,0.0999,20.2012,0.0,
1844.76234,-14.60766,8.6971,4.8607,0.1786,0.0998,19.2844,0.6068,0.0
1844.78317,-14.58683,5.3574,4.8592,0.1100,0.0998,19.8104,0.9848,0.0
1844.80401,-14.56599,4.5209,4.8620,0.0928,0.0998,19.9947,1.1677,0.0
1844.82484,-14.54516,9.4819,4.8623,0.1947,0.0998,19.1906,0.5568,0.0
1844.84567,-14.52433,0.8836,4.8588,0.0181,0.0998,20.2012,0.0,
1844.86651,-14.50349,0.8073,4.8604,0.0166,0.0998,20.2012,0.0,
1844.88734,-14.48266,6.7144,4.8699,0.1379,0.1000,19.5653,0.7875,0.0
1844.90817,-14.46183,3.0525,4.8586,0.0627,0.0998,20.2012,0.0,
1844.92901,-14.44099,-0.5834,4.8541,-0.0120,0.0997,20.2012,0.0,
1844.94984,-14.42016,2.6675,4.8629,0.0548,0.0999,20.2012,0.0,
1844.97067,-14.39933,2.1539,4.8574,0.0442,0.0997,20.2012,0.0,
1844.99151,-14.37849,-1.0920,4.8557,-0.0224,0.0997,20.2012,0.0,
1845.01234,-14.35766,-2.6215,4.8505,-0.0538,0.0996,20.2012,0.0,
1845.03317,-14.33683,-0.4201,4.8530,-0.0086,0.0997,20.2012,0.0,
1845.05401,-14.31599,2.0337,4.8548,0.0418,0.0997,20.2012,0.0,
1845.07484,-14.29516,2.1245,4.8551,0.0436,0.0997,20.2012,0.0,
1845.09567,-14.27433,4.4672,4.8557,0.0917,0.0997,20.0077,1.1802,0.0
1845.11651,-14.25349,-3.4358,4.8558,-0.0705,0.0997,20.2012,0.0,
1845.13734,-14.23266,7.0904,4.8610,0.1456,0.0998,19.5061,0.7444,0.0
1845.15817,-14.21183,4.5757,4.8617,0.0940,0.0998,19.9817,1.1536,0.0
1845.17901,-14.19099,5.9256,4.8636,0.1217,0.0999,19.7010,0.8911,0.0
1845.19984,-14.17016,5.1824,4.8643,0.1064,0.0999,19.8465,1.0191,0.0
1845.22067,-14.14933,-0.5097,4.8553,-0.0105,0.0997,20.2012,0.0,
1845.24151,-14.12849,9.1326,4.8617,0.1875,0.0998,19.2313,0.5780,0.0
1845.26234,-14.10766,0.7687,4.8566,0.0158,0.0997,20.2012,0.0,
1845.28317,-14.08683,1.2301,4.8547,0.0253,0.0997,20.2012,0.0,
1845.30401,-14.06599,-3.3708,4.8545,-0.0692,0.0997,20.2012,0.0,
1845.32484,-14.04516,2.7399,4.8538,0.0563,0.0997,20.2012,0.0,
1845.34567,-14.02433,-0.1874,4.8508,-0.0038,0.0996,20.2012,0.0,
1845.36651,-14.00349,5.9418,4.8622,0.1220,0.0998,19.6980,0.8885,0.0
1845.38734,-13.98266,0.4433,4.8546,0.0091,0.0997,20.2012,0.0,
1845.40817,-13.96183,5.5313,4.8565,0.1136,0.0997,19.7757,0.9533,0.0
1845.42901,-13.94099,-6.2517,4.8512,-0.1284,0.0996,20.2012,0.0,
1845.44984,-13.92016,3.7648,4.8574,0.0773,0.0997,20.1934,1.4008,0.0
1845.47067,-13.89933,-2.0100,4.8574,-0.0413,0.0997,20.2012,0.0,
1845.49151,-13.87849,7.1911,4.8617,0.1477,0.0998,19.4908,0.7340,0.0
1845.51234,-13.85766,1.6008,4.8595,0.0329,0.0998,20.2012,0.0,
1845.53317,-13.83683,6.3029,4.8660,0.1294,0.0999,19.6340,0.8382,0.0
1845.55401,-13.81599,-6.0657,4.8516,-0.1246,0.0996,20.2012,0.0,
1845.57484,-13.79516,1.6228,4.8616,0.0333,0.0998,20.2012,0.0,
1845.59568,-13.77432,3.0197,4.8597,0.0620,0.0998,20.2012,0.0,
1845.61651,-13.75349,3.7686,4.8582,0.0774,0.0998,20.1923,1.3996,0.0
1845.63734,-13.73266,1.7098,4.8629,0.0351,0.0999,20.2012,0.0,
1845.65817,-13.71183,2.1960,4.8627,0.0451,0.0999,20.2012,0.0,
1845.67901,-13.69099,4.7660,4.8617,0.0979,0.0998,19.9374,1.1076,0.0
1845.69984,-13.67016,3.8794,4.8632,0.0797,0.0999,20.1609,1.3611,0.0
1845.72067,-13.64933,13.2439,4.8643,0.2719,0.0999,18.8278,0.3988,0.0
1845.74151,-13.62849,8.1335,4.8624,0.1670,0.0998,19.3571,0.6491,0.0
1845.76234,-13.60766,3.4703,4.8608,0.0713,0.0998,20.2012,0.0,
1845.78317,-13.58683,0.5613,4.8665,0.0115,0.0999,20.2012,0.0,
1845.80401,-13.56599,2.0405,4.8686,0.0419,0.1000,20.2012,0.0,
1845.82484,-13.54516,8.1986,4.8699,0.1683,0.1000,19.3485,0.6449,0.0
1845.84567,-13.52433,5.3673,4.8690,0.1102,0.1000,19.8084,0.9849,0.0
1845.86651,-13.50349,6.9033,4.8697,0.1418,0.1000,19.5352,0.7659,0.0
1845.88734,-13.48266,-4.4588,4.8643,-0.0916,0.0999,20.2012,0.0,
1845.90818,-13.46182,4.7756,4.8679,0.0981,0.1000,19.9352,1.1067,0.0
1845.92901,-13.44099,0.3868,4.8664,0.0079,0.0999,20.2012,0.0,
1845.94984,-13.42016,6.3176,4.8633,0.1297,0.0999,19.6314,0.8358,0.0
1845.97068,-13.39932,2.3598,4.8657,0.0485,0.0999,20.2012,0.0,
1845.99151,-13.37849,0.6291,4.8673,0.0129,0.0999,20.2012,0.0,
1846.01234,-13.35766,-5.1005,4.8607,-0.1047,0.0998,20.2012,0.0,
1846.03318,-13.33682,-0.7769,4.8644,-0.0160,0.0999,20.2012,0.0,
1846.05401,-13.31599,-1.8564,4.8620,-0.0381,0.0998,20.2012,0.0,
1846.07484,-13.29516,-3.0158,4.8608,-0.0619,0.0998,20.2012,0.0,
1846.09568,-13.27432,2.9408,4.8664,0.0604,0.0999,20.2012,0.0,
1846.11651,-13.25349,-1.9103,4.8644,-0.0392,0.0999,20.2012,0.0,
1846.13734,-13.23266,-0.9602,4.8639,-0.0197,0.0999,20.2012,0.0,
1846.15818,-13.21182,7.7797,4.8690,0.1597,0.1000,19.4054,0.6795,0.0
1846.17901,-13.19099,0.0935,4.8680,0.0019,0.1000,20.2012,0.0,
1846.19984,-13.17016,3.7355,4.8659,0.0767,0.0999,20.2012,0.0,
1846.22068,-13.14932,0.8957,4.8669,0.0184,0.0999,20.2012,0.0,
1846.24151,-13.12849,-5.1563,4.8668,-0.1059,0.0999,20.2012,0.0,
1846.26234,-13.10766,8.8192,4.8742,0.1811,0.1001,19.2692,0.6001,0.0
1846.28318,-13.08682,3.8913,4.8680,0.0799,0.1000,20.1576,1.3582,0.0
1846.30401,-13.06599,6.8590,4.8712,0.1408,0.1000,19.5421,0.7711,0.0
1846.32484,-13.04516,1.6561,4.8726,0.0340,0.1001,20.2012,0.0,
1846.34568,-13.02432,-0.0673,4.8668,-0.0014,0.0999,20.2012,0.0,
1846.36651,-13.00349,2.6559,4.8686,0.0545,0.1000,20.2012,0.0,
1846.38734,-12.98266,3.9737,4.8683,0.0816,0.1000,20.1348,1.3302,0.0
1846.40818,-12.96182,-2.9648,4.8670,-0.0609,0.0999,20.2012,0.0,
1846.42901,-12.94099,7.2750,4.8708,0.1494,0.1000,19.4782,0.7269,0.0
1846.44984,-12.92016,4.0226,4.8673,0.0826,0.0999,20.1215,1.3137,0.0
1846.47068,-12.89932,-7.4232,4.8641,-0.1524,0.0999,20.2012,0.0,
1846.49151,-12.87849,-2.5697,4.8697,-0.0528,0.1000,20.2012,0.0,
1846.51234,-12.85766,-0.4603,4.8701,-0.0095,0.1000,20.2012,0.0,
1846.53318,-12.83682,-2.7531,4.8684,-0.0565,0.1000,20.2012,0.0,
1846.55401,-12.81599,2.3138,4.8727,0.0475,0.1001,20.2012,0.0,
1846.57484,-12.79516,0.2261,4.8704,0.0046,0.1000,20.2012,0.0,
1846.59568,-12.77432,-0.8314,4.8660,-0.0171,0.0999,20.2012,0.0,
1846.61651,-12.75349,-0.6228,4.8639,-0.0128,0.0999,20.2012,0.0,
1846.63734,-12.73266,-2.5634,4.8668,-0.0526,0.0999,20.2012,0.0,
1846.65818,-12.71182,1.2097,4.8695,0.0248,0.1000,20.2012,0.0,
1846.67901,-12.69099,-7.6135,4.8656,-0.1563,0.0999,20.2012,0.0,
1846.69984,-12.67016,-0.4244,4.8651,-0.0087,0.0999,20.2012,0.0,
1846.72068,-12.64932,-7.1749,4.8620,-0.1473,0.0998,20.2012,0.0,
1846.74151,-12.62849,3.4723,4.8674,0.0713,0.0999,20.2012,0.0,
1846.76234,-12.60766,0.6879,4.8635,0.0141,0.0999,20.2012,0.0,
1846.78318,-12.58682,-0.0076,4.8682,-0.0002,0.1000,20.2012,0.0,
1846.80401,-12.56599,-5.5111,4.8576,-0.1132,0.0997,20.2012,0.0,
1846.82484,-12.54516,3.3510,4.8681,0.0688,0.1000,20.2012,0.0,
1846.84568,-12.52432,5.0481,4.8681,0.1037,0.1000,19.8750,1.0470,0.0
1846.86651,-12.50349,-1.1356,4.8693,-0.0233,0.1000,20.2012,0.0,
1846.88734,-12.48266,4.1770,4.8732,0.0858,0.1001,20.0807,1.2667,0.0
1846.90818,-12.46182,-1.6816,4.8650,-0.0345,0.0999,20.2012,0.0,
1846.92901,-12.44099,10.2428,4.8715,0.2103,0.1000,19.1068,0.5164,0.0
1846.94985,-12.42015,0.3894,4.8662,0.0080,0.0999,20.2012,0.0,
1846.97068,-12.39932,-3.2245,4.8649,-0.0662,0.0999,20.2012,0.0,
1846.99151,-12.37849,1.0456,4.8640,0.0215,0.0999,20.2012,0.0,
1847.01235,-12.35765,13.9459,4.8697,0.2864,0.1000,18.7717,0.3791,0.0
1847.03318,-12.33682,-2.9549,4.8627,-0.0607,0.0999,20.2012,0.0,
1847.05401,-12.31599,11.1200,4.8652,0.2283,0.0999,19.0175,0.4750,0.0
1847.07485,-12.29515,-2.1648,4.8617,-0.0445,0.0998,20.2012,0.0,
1847.09568,-12.27432,-1.7140,4.8601,-0.0352,0.0998,20.2012,0.0,
1847.11651,-12.25349,5.3178,4.8598,0.1092,0.0998,19.8185,0.9922,0.0
1847.13735,-12.23265,-4.8985,4.8560,-0.1006,0.0997,20.2012,0.0,
1847.15818,-12.21182,5.3762,4.8650,0.1104,0.0999,19.8066,0.9825,0.0
1847.17901,-12.19099,7.1366,4.8583,0.1465,0.0998,19.4991,0.7391,0.0
1847.19985,-12.17015,-0.5219,4.8581,-0.0107,0.0998,20.2012,0.0,
1847.22068,-12.14932,-8.7266,4.8668,-0.1792,0.0999,20.2012,0.0,
1847.24151,-12.12849,-1.9710,4.8644,-0.0405,0.0999,20.2012,0.0,
1847.26234,-12.10766,3.1377,4.8685,0.0644,0.1000,20.2012,0.0,
1847.28318,-12.08682,6.6801,4.8715,0.1372,0.1000,19.5708,0.7918,0.0
1847.30401,-12.06599,6.2001,4.8725,0.1273,0.1001,19.6518,0.8532,0.0
1847.32484,-12.04516,-0.2001,4.8650,-0.0041,0.0999,20.2012,0.0,
1847.34568,-12.02432,1.3980,4.8659,0.0287,0.0999,20.2012,0.0,
1847.36651,-12.00349,-1.1879,4.8644,-0.0244,0.0999,20.2012,0.0,
1847.38735,-11.98265,2.4195,4.8696,0.0497,0.1000,20.2012,0.0,
1847.40818,-11.96182,-1.7406,4.8623,-0.0357,0.0998,20.2012,0.0,
1847.42901,-11.94099,5.5428,4.8650,0.1138,0.0999,19.7735,0.9530,0.0
1847.44985,-11.92015,3.4797,4.8709,0.0715,0.1000,20.2012,0.0,
1847.47068,-11.89932,6.0428,4.8641,0.1241,0.0999,19.6797,0.8740,0.0
1847.49151,-11.87849,7.1340,4.8654,0.1465,0.0999,19.4995,0.7405,0.0
1847.51235,-11.85765,6.0345,4.8600,0.1239,0.0998,19.6812,0.8744,0.0
1847.53318,-11.83682,-1.2878,4.8605,-0.0264,0.0998,20.2012,0.0,
1847.55401,-11.81599,2.2424,4.8606,0.0460,0.0998,20.2012,0.0,
1847.57485,-11.79515,4.4855,4.8569,0.0921,0.0997,20.0033,1.1756,0.0
1847.59568,-11.77432,0.6726,4.8588,0.0138,0.0998,20.2012,0.0,
1847.61651,-11.75349,3.5932,4.8597,0.0738,0.0998,20.2012,0.0,
1847.63735,-11.73265,1.3007,4.8559,0.0267,0.0997,20.2012,0.0,
1847.65818,-11.71182,-6.0992,4.8561,-0.1252,0.0997,20.2012,0.0,
1847.67901,-11.69099,-1.2962,4.8555,-0.0266,0.0997,20.2012,0.0,
1847.69985,-11.67015,-1.1418,4.8599,-0.0234,0.0998,20.2012,0.0,
1847.72068,-11.64932,1.5717,4.8676,0.0323,0.1000,20.2012,0.0,
1847.74151,-11.62849,-1.3285,4.8631,-0.0273,0.0999,20.2012,0.0,
1847.76235,-11.60765,4.5538,4.8624,0.0935,0.0998,19.9869,1.1593,0.0
