BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1859.50192,0.13192,0.71873,1.44178,0.01476,0.02960,20.08690,0.15066,0.00000
1859.75192,0.38192,1.54397,1.43469,0.03170,0.02946,20.14947,0.17615,0.00000
1860.00192,0.63192,0.20902,1.42938,0.00429,0.02935,20.10413,0.14943,0.00000
1860.26234,0.89234,0.62736,1.36902,0.01289,0.02811,20.10638,0.13086,0.00000
1860.52275,1.15275,4.98068,1.41990,0.10228,0.02916,19.67780,0.11854,0.00000
1860.77275,1.40275,0.39172,1.41716,0.00806,0.02910,20.20120,0.00000,
1861.02275,1.65275,6.32713,1.41539,0.12992,0.02906,19.59589,0.21090,0.00000
1861.27275,1.90275,4.28372,1.41564,0.08796,0.02907,19.84418,0.19729,0.00000
1861.52275,2.15275,1.66448,1.41604,0.03418,0.02908,20.15282,0.17410,0.00000
1861.77275,2.40275,3.60308,1.41592,0.07398,0.02908,19.91212,0.19209,0.00000
1862.03941,2.66941,3.50869,1.55167,0.07203,0.03186,19.93893,0.18405,0.00000
1862.27274,2.90274,6.69066,1.41800,0.13738,0.02912,19.59798,0.18756,0.00000
1862.52274,3.15274,6.19884,1.41617,0.12728,0.02908,19.61477,0.13517,0.00000
1862.77274,3.40274,9.25222,1.41707,0.18998,0.02909,19.31312,0.16118,0.00000
1863.02274,3.65274,5.98851,1.41790,0.12298,0.02912,19.71852,0.21550,0.00000
1863.27274,3.90274,8.38588,1.41704,0.17219,0.02910,19.38040,0.19850,0.00000
1863.52274,4.15274,9.06408,1.41822,0.18611,0.02912,19.33077,0.19871,0.00000
1863.77274,4.40274,4.74294,1.41830,0.09738,0.02912,19.86164,0.21312,0.00000
1864.02273,4.65273,9.23725,1.41855,0.18968,0.02913,19.24702,0.18052,0.00000
1864.27273,4.90273,11.12516,1.41813,0.22844,0.02911,19.14548,0.16732,0.00000
1864.52273,5.15273,12.47843,1.41934,0.25622,0.02914,18.96574,0.16899,0.00000
1864.77746,5.40746,13.01225,1.48011,0.26720,0.03040,18.95503,0.16771,0.00000
1865.02273,5.65273,12.89251,1.41525,0.26473,0.02906,18.92062,0.14605,0.00000
1865.18939,5.81939,13.69855,2.45445,0.28127,0.05040,18.81160,0.20629,0.00000
1865.58523,6.21523,12.06730,2.00319,0.24778,0.04113,18.97608,0.20925,0.00000
1865.77272,6.40272,16.40162,1.41813,0.33680,0.02912,18.64163,0.10579,0.00000
1866.02272,6.65272,15.81409,1.41807,0.32472,0.02912,18.69082,0.11473,0.00000
1866.27272,6.90272,15.97073,1.41720,0.32793,0.02910,18.69780,0.11938,0.00000
1866.52272,7.15272,17.08147,1.41749,0.35075,0.02911,18.55755,0.09152,0.00000
1866.77272,7.40272,18.56615,1.41773,0.38123,0.02912,18.48053,0.08757,0.00000
1867.02272,7.65272,18.52050,1.41845,0.38029,0.02912,18.48028,0.08733,0.00000
1867.27271,7.90271,18.34352,1.42011,0.37666,0.02916,18.49725,0.08922,0.00000
1867.53938,8.16938,21.30222,1.55755,0.43741,0.03198,18.33072,0.08362,0.00000
1867.77271,8.40271,21.96650,1.42161,0.45105,0.02919,18.32120,0.08235,0.00000
1868.02271,8.65271,22.88218,1.42308,0.46987,0.02922,18.25233,0.07135,0.00000
1868.27271,8.90271,24.98148,1.42373,0.51297,0.02924,18.14425,0.06279,0.00000
1868.52271,9.15271,24.30931,1.42294,0.49917,0.02922,18.19472,0.06968,0.00000
1868.73104,9.36104,26.94674,1.74385,0.55334,0.03581,18.06090,0.07112,0.00000
1870.78727,11.41727,22.42422,1.69764,0.46046,0.03486,18.27035,0.08626,44.63000
1871.03121,11.66121,29.83406,1.53638,0.61263,0.03155,17.95184,0.05684,44.63000
1871.27268,11.90268,30.88704,1.44121,0.63423,0.02960,17.91786,0.05201,44.63000
1871.52268,12.15268,33.95214,1.42832,0.69718,0.02933,17.81484,0.04682,44.63000
1871.77268,12.40268,37.24273,1.41443,0.76473,0.02904,17.71212,0.04198,44.63000
1872.02268,12.65268,34.42959,1.40809,0.70698,0.02891,17.79303,0.04471,44.63000
1872.27267,12.90267,36.30656,1.40142,0.74552,0.02878,17.73975,0.04272,44.63000
1872.50600,13.13600,36.18899,1.53508,0.74310,0.03152,17.74100,0.04665,44.63000
1872.77267,13.40267,39.95657,1.40381,0.82046,0.02882,17.63935,0.03940,44.63000
1873.02267,13.65267,40.25420,1.41011,0.82658,0.02895,17.62619,0.03860,44.63000
1873.27266,13.90266,40.39745,1.41612,0.82952,0.02908,17.62191,0.03859,44.63000
1873.52266,14.15266,39.02423,1.41075,0.80133,0.02897,17.65994,0.03985,44.63000
1873.77266,14.40266,43.00782,1.40699,0.88312,0.02889,17.55562,0.03616,44.63000
1874.02266,14.65266,42.88540,1.41911,0.88060,0.02914,17.55422,0.03614,44.63000
1874.27265,14.90265,42.42819,1.41434,0.87123,0.02904,17.56726,0.03656,44.63000
1874.52265,15.15265,42.68648,1.40255,0.87652,0.02879,17.56071,0.03604,44.63000
1874.77265,15.40265,43.14157,1.40151,0.88586,0.02878,17.54704,0.03541,44.63000
1875.02264,15.65264,42.99053,1.40320,0.88275,0.02881,17.55188,0.03569,44.63000
1875.27264,15.90264,43.98142,1.40403,0.90311,0.02883,17.52799,0.03500,44.63000
1875.52264,16.15264,46.63168,1.40449,0.95753,0.02884,17.46446,0.03299,44.63000
1875.77264,16.40264,45.40133,1.40221,0.93227,0.02879,17.49462,0.03395,44.63000
1876.02263,16.65263,44.92134,1.40330,0.92240,0.02882,17.50887,0.03456,44.63000
1876.27263,16.90263,43.01009,1.41147,0.88316,0.02899,17.55039,0.03577,44.63000
1876.52263,17.15263,43.33286,1.41073,0.88980,0.02896,17.54332,0.03560,44.63000
1876.78512,17.41512,44.38607,1.54836,0.91143,0.03179,17.51644,0.03807,44.63000
1877.02262,17.65262,43.59974,1.41613,0.89527,0.02908,17.53815,0.03567,44.63000
1877.27262,17.90262,45.00917,1.41351,0.92422,0.02902,17.50192,0.03432,44.63000
1877.52262,18.15262,43.16698,1.41963,0.88638,0.02915,17.54620,0.03583,44.63000
1877.77261,18.40261,45.25550,1.41597,0.92928,0.02907,17.49734,0.03433,44.63000
1878.02261,18.65261,45.71748,1.42061,0.93877,0.02917,17.48430,0.03390,44.63000
1878.27261,18.90261,45.89057,1.42114,0.94232,0.02918,17.48151,0.03390,44.63000
1878.52260,19.15260,45.63341,1.41485,0.93703,0.02906,17.48627,0.03382,44.63000
1878.77260,19.40260,47.39875,1.41550,0.97328,0.02906,17.44533,0.03261,44.63000
1879.02260,19.65260,47.67272,1.42054,0.97891,0.02917,17.43896,0.03253,44.63000
1879.27260,19.90260,48.47555,1.41885,0.99539,0.02913,17.41983,0.03185,44.63000
1879.52259,20.15259,47.06896,1.41167,0.96652,0.02899,17.45404,0.03284,44.63000
1879.77259,20.40259,47.32717,1.41410,0.97182,0.02904,17.44724,0.03264,44.63000
1880.02259,20.65259,45.91515,1.41506,0.94283,0.02906,17.47964,0.03362,44.63000
1880.27258,20.90258,46.08262,1.42506,0.94625,0.02926,17.47601,0.03377,44.63000
1880.52258,21.15258,48.22687,1.42642,0.99029,0.02929,17.42759,0.03238,44.63000
1880.77258,21.40258,47.08595,1.42361,0.96686,0.02923,17.45397,0.03314,44.63000
1881.02257,21.65257,46.66960,1.43177,0.95831,0.02940,17.46317,0.03357,44.63000
1881.22049,21.85049,46.41994,1.86917,0.95316,0.03838,17.47196,0.04443,44.63000
