BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2174.25699,-9.21301,0.0957,0.8141,0.0392,0.3336,20.4986,,
2174.27087,-9.19913,-0.6342,0.8124,-0.2599,0.3329,20.4986,,
2174.27782,-9.19218,-0.3264,0.8128,-0.1337,0.3331,20.4986,,
2174.28476,-9.18524,-1.1656,0.8162,-0.4776,0.3345,20.4986,,
2174.29171,-9.17829,-1.0582,0.8132,-0.4336,0.3332,20.4986,,
2174.29865,-9.17135,0.0929,0.8135,0.0381,0.3333,20.4986,,
2174.30560,-9.16440,-0.7780,0.8130,-0.3188,0.3332,20.4986,,
2174.31254,-9.15746,-0.3011,0.8124,-0.1234,0.3329,20.4986,,
2174.31949,-9.15051,-0.6705,0.8130,-0.2748,0.3331,20.4986,,
2174.32643,-9.14357,-0.1360,0.8154,-0.0557,0.3341,20.4986,,
2174.33338,-9.13662,-0.6802,0.8121,-0.2787,0.3328,20.4986,,
2174.34032,-9.12968,-1.1384,0.8144,-0.4665,0.3337,20.4986,,
2174.34726,-9.12274,0.0512,0.8141,0.0210,0.3336,20.4986,,
2174.35421,-9.11579,-0.2925,0.8126,-0.1198,0.3330,20.4986,,
2174.36115,-9.10885,-0.1919,0.8138,-0.0786,0.3335,20.4986,,
2174.36810,-9.10190,15.0273,0.8239,6.1578,0.3376,16.3050,0.0595,
2174.37504,-9.09496,0.4766,0.8125,0.1953,0.3329,20.0518,1.8510,
2174.38199,-9.08801,1.4522,0.8143,0.5951,0.3337,18.8421,0.6088,
2174.38893,-9.08107,-0.3530,0.8137,-0.1446,0.3334,20.4986,,
2174.39588,-9.07412,1.0298,0.8138,0.4220,0.3335,19.2153,0.8581,
2174.40282,-9.06718,-0.1193,0.8134,-0.0489,0.3333,20.4986,,
2174.40977,-9.06023,0.0922,0.8128,0.0378,0.3331,20.4986,,
2174.41671,-9.05329,-0.9548,0.8112,-0.3913,0.3324,20.4986,,
2174.42366,-9.04634,0.6719,0.8140,0.2753,0.3335,19.6790,1.3153,
2174.43060,-9.03940,-0.1862,0.8142,-0.0763,0.3336,20.4986,,
2174.43754,-9.03246,-0.3104,0.8125,-0.1272,0.3329,20.4986,,
2174.44449,-9.02551,-0.1340,0.8113,-0.0549,0.3324,20.4986,,
2174.45143,-9.01857,0.8016,0.8121,0.3285,0.3328,19.4873,1.1000,
2174.45838,-9.01162,0.4489,0.8114,0.1839,0.3325,20.1169,1.9628,
2174.46532,-9.00468,-0.4327,0.8112,-0.1773,0.3324,20.4986,,
2174.47227,-8.99773,-0.5573,0.8106,-0.2284,0.3322,20.4986,,
2174.47921,-8.99079,0.0589,0.8116,0.0241,0.3326,20.4986,,
2174.48616,-8.98384,1.3704,0.8117,0.5616,0.3326,18.9051,0.6431,
2174.49310,-8.97690,-0.5272,0.8107,-0.2160,0.3322,20.4986,,
2174.50005,-8.96995,0.3873,0.8107,0.1587,0.3322,20.2770,2.2726,
2174.50699,-8.96301,0.9616,0.8140,0.3940,0.3336,19.2898,0.9192,
2174.51394,-8.95606,0.2969,0.8120,0.1217,0.3327,20.4986,,
2174.52088,-8.94912,-0.0911,0.8109,-0.0373,0.3323,20.4986,,
2174.52783,-8.94217,-0.4141,0.8103,-0.1697,0.3320,20.4986,,
2174.53477,-8.93523,-0.2154,0.8117,-0.0883,0.3326,20.4986,,
2174.54171,-8.92829,-0.8718,0.8098,-0.3572,0.3319,20.4986,,
2174.54866,-8.92134,-0.4952,0.8105,-0.2029,0.3321,20.4986,,
2174.55560,-8.91440,0.2182,0.8105,0.0894,0.3321,20.4986,,
2174.56255,-8.90745,-1.0875,0.8104,-0.4456,0.3321,20.4986,,
2174.56949,-8.90051,0.5723,0.8099,0.2345,0.3319,19.8531,1.5364,
2174.57644,-8.89356,-0.3508,0.8100,-0.1437,0.3319,20.4986,,
2174.58338,-8.88662,0.2558,0.8100,0.1048,0.3319,20.4986,,
2174.59033,-8.87967,-0.4110,0.8080,-0.1684,0.3311,20.4986,,
2174.59727,-8.87273,-1.4132,0.8080,-0.5791,0.3311,20.4986,,
2174.60422,-8.86578,-0.7821,0.8104,-0.3205,0.3321,20.4986,,
2174.61116,-8.85884,-0.6744,0.8091,-0.2764,0.3315,20.4986,,
2174.61811,-8.85189,-0.4227,0.8108,-0.1732,0.3322,20.4986,,
2174.62505,-8.84495,0.4634,0.8103,0.1899,0.3320,20.0823,1.8985,
2174.63200,-8.83800,-0.3615,0.8107,-0.1481,0.3322,20.4986,,
2174.63894,-8.83106,-0.4965,0.8114,-0.2035,0.3325,20.4986,,
2174.64588,-8.82412,0.8136,0.8112,0.3334,0.3324,19.4711,1.0825,
2174.65283,-8.81717,-0.4306,0.8104,-0.1765,0.3321,20.4986,,
2174.65977,-8.81023,-0.9127,0.8105,-0.3740,0.3321,20.4986,,
2174.66672,-8.80328,0.3160,0.8120,0.1295,0.3327,20.4979,2.7898,
2174.67366,-8.79634,-0.3200,0.8108,-0.1311,0.3322,20.4986,,
2174.68061,-8.78939,0.9190,0.8121,0.3766,0.3328,19.3389,0.9595,
2174.68755,-8.78245,-1.3875,0.8113,-0.5686,0.3325,20.4986,,
2174.69450,-8.77550,0.8430,0.8137,0.3454,0.3334,19.4326,1.0480,
2174.70144,-8.76856,0.1436,0.8120,0.0589,0.3327,20.4986,,
2174.70839,-8.76161,-1.4243,0.8125,-0.5837,0.3330,20.4986,,
2174.71533,-8.75467,-0.9071,0.8121,-0.3717,0.3328,20.4986,,
2174.72227,-8.74773,0.8468,0.8143,0.3470,0.3337,19.4277,1.0440,
2174.72922,-8.74078,1.7799,0.8150,0.7293,0.3340,18.6212,0.4972,
2174.73616,-8.73384,-0.3377,0.8139,-0.1384,0.3335,20.4986,,
2174.74311,-8.72689,0.2274,0.8119,0.0932,0.3327,20.4986,,
2174.75005,-8.71995,0.9468,0.8151,0.3880,0.3340,19.3065,0.9347,
2174.75700,-8.71300,0.7036,0.8132,0.2883,0.3332,19.6289,1.2549,
2174.76394,-8.70606,-0.5791,0.8120,-0.2373,0.3327,20.4986,,
2174.77089,-8.69911,-0.8782,0.8152,-0.3598,0.3341,20.4986,,
2174.77783,-8.69217,0.5604,0.8147,0.2296,0.3338,19.8760,1.5784,
2174.78478,-8.68522,0.9574,0.8155,0.3923,0.3342,19.2944,0.9248,
2174.79172,-8.67828,-0.9238,0.8192,-0.3785,0.3357,20.4986,,
2174.79867,-8.67133,-0.0049,0.8189,-0.0020,0.3356,20.4986,,
2174.80561,-8.66439,0.7179,0.8223,0.2942,0.3370,19.6070,1.2436,
2174.81255,-8.65745,-1.6908,0.8195,-0.6928,0.3358,20.4986,,
2174.81950,-8.65050,0.2548,0.8212,0.1044,0.3365,20.4986,,
2174.82644,-8.64356,-0.3786,0.8219,-0.1552,0.3368,20.4986,,
2174.83339,-8.63661,-0.3090,0.8191,-0.1266,0.3356,20.4986,,
2174.84033,-8.62967,0.3069,0.8197,0.1258,0.3359,20.4986,,
2174.84728,-8.62272,0.1832,0.8180,0.0751,0.3352,20.4986,,
2174.85422,-8.61578,-0.8393,0.8149,-0.3439,0.3339,20.4986,,
2174.86117,-8.60883,-0.7556,0.8163,-0.3096,0.3345,20.4986,,
2174.86811,-8.60189,0.3059,0.8193,0.1253,0.3357,20.4986,,
2174.87506,-8.59494,0.3135,0.8203,0.1285,0.3361,20.4986,,
2174.88200,-8.58800,-1.2923,0.8188,-0.5295,0.3355,20.4986,,
2174.88895,-8.58105,-0.2773,0.8132,-0.1136,0.3332,20.4986,,
2174.89589,-8.57411,-1.0028,0.8130,-0.4109,0.3331,20.4986,,
2174.90284,-8.56716,0.4331,0.8140,0.1775,0.3335,20.1558,2.0407,
2174.90978,-8.56022,1.4361,0.8149,0.5885,0.3339,18.8542,0.6161,
2174.91672,-8.55328,-0.1335,0.8188,-0.0547,0.3355,20.4986,,
2174.92367,-8.54633,-0.5041,0.8135,-0.2066,0.3334,20.4986,,
2174.93061,-8.53939,-1.3604,0.8119,-0.5575,0.3327,20.4986,,
