BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2183.59565,0.12565,0.17910,0.13969,0.07339,0.05724,20.07588,0.35657,
2183.84396,0.37396,0.21097,0.13799,0.08645,0.05654,20.05711,0.36374,
2184.09396,0.62396,0.31304,0.13883,0.12828,0.05689,19.88681,0.27257,
2184.34268,0.87268,0.19880,0.14194,0.08146,0.05816,20.01175,0.34843,
2184.59397,1.12397,0.14563,0.14069,0.05967,0.05765,20.05738,0.36292,
2184.84397,1.37397,0.23993,0.14220,0.09832,0.05827,19.98589,0.31511,
2185.09070,1.62070,0.14443,0.14678,0.05918,0.06014,20.09950,0.35894,
2185.34397,1.87397,-0.10334,0.14721,-0.04235,0.06032,20.24440,0.50078,
2185.52800,2.05800,0.50226,0.24752,0.20581,0.10142,19.89458,0.51451,
2187.13218,3.66218,0.21229,0.31408,0.08698,0.12870,19.88769,0.60515,
2187.34747,3.87747,0.72429,0.14003,0.29681,0.05738,19.60848,0.24987,
2187.59400,4.12400,0.85526,0.13683,0.35047,0.05607,19.52332,0.20782,
2187.84400,4.37400,0.64508,0.13734,0.26433,0.05628,19.70699,0.25279,
2188.09400,4.62400,0.66671,0.13669,0.27320,0.05601,19.65029,0.23834,
2188.34401,4.87401,0.77916,0.13612,0.31928,0.05578,19.61246,0.25491,
2188.59401,5.12401,0.71214,0.13580,0.29181,0.05565,19.62490,0.21693,
2188.84401,5.37401,1.01037,0.13638,0.41403,0.05588,19.36008,0.17137,
2189.09402,5.62401,1.17513,0.13653,0.48154,0.05595,19.20168,0.15685,
2189.34749,5.87749,1.24789,0.13811,0.51134,0.05659,19.15867,0.14962,
2189.59402,6.12402,1.06041,0.13649,0.43454,0.05593,19.26346,0.14423,
2189.84402,6.37402,1.27544,0.13644,0.52265,0.05591,19.18324,0.16415,
2190.09402,6.62402,1.23691,0.13651,0.50686,0.05594,19.19588,0.19387,
2190.34403,6.87403,1.02116,0.13670,0.41844,0.05602,19.36247,0.21260,
2190.59403,7.12403,1.04732,0.13661,0.42916,0.05598,19.32743,0.18364,
2190.84403,7.37403,1.29074,0.13662,0.52891,0.05598,19.13564,0.15462,
2191.09403,7.62403,1.23967,0.13655,0.50798,0.05596,19.16231,0.16600,
2191.34403,7.87403,1.48281,0.13606,0.60763,0.05575,18.98524,0.15444,
2191.59404,8.12404,1.65627,0.13598,0.67869,0.05572,18.82286,0.10510,
2191.84404,8.37404,1.46994,0.13618,0.60234,0.05580,18.93436,0.13490,
2192.09116,8.62116,1.69773,0.13819,0.69569,0.05663,18.89416,0.15281,
2192.34404,8.87404,1.82127,0.13589,0.74631,0.05569,18.71155,0.12705,
2192.59404,9.12404,1.64037,0.13675,0.67219,0.05604,18.84043,0.13296,
2192.84404,9.37404,1.78374,0.13701,0.73094,0.05614,18.70479,0.10912,
2193.09404,9.62404,1.79573,0.13675,0.73585,0.05604,18.77846,0.13023,
2193.34057,9.87057,2.06059,0.13842,0.84439,0.05672,18.59878,0.13911,
2193.61488,10.14488,1.94077,0.14997,0.79528,0.06146,18.71729,0.15715,
2193.84404,10.37404,1.81702,0.13694,0.74457,0.05611,18.74712,0.11322,
2194.09404,10.62404,1.96367,0.13661,0.80467,0.05598,18.60398,0.09099,
2194.34404,10.87404,1.86375,0.13669,0.76372,0.05601,18.67141,0.09115,
2194.59404,11.12404,2.15841,0.13703,0.88446,0.05615,18.48906,0.08971,
2194.84404,11.37404,2.13085,0.13729,0.87317,0.05626,18.51368,0.08262,
2195.09404,11.62404,2.22829,0.13702,0.91311,0.05615,18.44086,0.08242,
2195.34404,11.87404,2.09250,0.13659,0.85746,0.05597,18.52663,0.10883,
2195.59404,12.12404,2.19532,0.13661,0.89960,0.05598,18.46081,0.08976,
2195.84404,12.37404,2.40550,0.13614,0.98571,0.05578,18.41327,0.10118,
2196.09404,12.62404,2.56754,0.13639,1.05212,0.05589,18.27337,0.06951,
2196.34404,12.87404,2.33406,0.13627,0.95644,0.05584,18.39838,0.08251,
2196.59404,13.12404,2.46476,0.13584,1.01000,0.05566,18.33172,0.07389,
2196.85272,13.38272,2.44814,0.14450,1.00319,0.05921,18.33490,0.08005,
2197.09404,13.62404,2.43259,0.13607,0.99682,0.05576,18.34380,0.07239,
2197.34404,13.87404,2.55914,0.13614,1.04868,0.05579,18.26126,0.06421,
