BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1870.86803,-0.16197,5.6700,4.5181,0.0620,0.0494,19.7489,0.8652,
1870.90970,-0.12030,0.3916,4.4912,0.0043,0.0491,21.0336,,
1870.97220,-0.05780,1.4541,4.4657,0.0159,0.0488,21.0336,,
1871.01387,-0.01613,-0.1362,4.4427,-0.0015,0.0486,21.0336,,
1871.03470,0.00470,3.1233,4.4342,0.0342,0.0485,20.3963,1.5414,
1871.05554,0.02554,-3.6466,4.4410,-0.0399,0.0486,21.0336,,
1871.07637,0.04637,3.6025,4.4311,0.0394,0.0485,20.2413,1.3355,
1871.09720,0.06720,-1.7697,4.4192,-0.0194,0.0483,21.0336,,
1871.11804,0.08804,-4.9065,4.4043,-0.0537,0.0482,21.0336,,
1871.13887,0.10887,-0.4183,4.3944,-0.0046,0.0481,21.0336,,
1871.15971,0.12971,-3.3378,4.3758,-0.0365,0.0479,21.0336,,
1871.18054,0.15054,1.9424,4.3744,0.0212,0.0478,20.9119,2.4451,
1871.20137,0.17137,-6.9452,4.3629,-0.0760,0.0477,21.0336,,
1871.22221,0.19221,3.6258,4.3588,0.0397,0.0477,20.2343,1.3053,
1871.24304,0.21304,-4.5845,4.3466,-0.0501,0.0475,21.0336,,
1871.26387,0.23387,-0.6008,4.3382,-0.0066,0.0474,21.0336,,
1871.28471,0.25471,-1.1817,4.3317,-0.0129,0.0474,21.0336,,
1871.30554,0.27554,-5.7469,4.3339,-0.0629,0.0474,21.0336,,
1871.32637,0.29637,0.8983,4.3246,0.0098,0.0473,21.0336,,
1871.34721,0.31721,4.8545,4.3269,0.0531,0.0473,19.9174,0.9677,
1871.36804,0.33804,-5.7186,4.3110,-0.0625,0.0471,21.0336,,
1871.38888,0.35888,-0.1894,4.3042,-0.0021,0.0471,21.0336,,
1871.40971,0.37971,-0.5737,4.2974,-0.0063,0.0470,21.0336,,
1871.43054,0.40054,-10.6541,4.2867,-0.1165,0.0469,21.0336,,
1871.45138,0.42138,-5.5696,4.2871,-0.0609,0.0469,21.0336,,
1871.47221,0.44221,5.3477,4.2876,0.0585,0.0469,19.8124,0.8705,
1871.49305,0.46305,3.5552,4.2851,0.0389,0.0469,20.2556,1.3086,
1871.51388,0.48388,-1.8203,4.2776,-0.0199,0.0468,21.0336,,
1871.53471,0.50471,2.2031,4.2782,0.0241,0.0468,20.7752,2.1084,
1871.55555,0.52555,-0.0625,4.2748,-0.0007,0.0468,21.0336,,
1871.57638,0.54638,-2.3785,4.2733,-0.0260,0.0467,21.0336,,
1871.59721,0.56721,1.3839,4.2698,0.0151,0.0467,21.0336,,
