BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1850.49320,0.13320,2.66867,1.50604,0.21625,0.12204,19.80414,0.39228,
1850.74320,0.38320,0.30895,1.63732,0.02504,0.13268,19.80712,0.41763,
1850.99319,0.63319,0.01042,1.50581,0.00084,0.12202,19.89963,0.67628,
1851.25360,0.89360,0.81183,1.56723,0.06579,0.12700,19.87064,0.47830,
1851.50360,1.14360,0.16803,1.56763,0.01362,0.12703,19.88987,0.56393,
1851.75360,1.39360,-0.85112,1.56837,-0.06896,0.12709,19.91639,0.58240,
1852.00359,1.64359,-0.87808,1.56823,-0.07117,0.12708,19.91670,0.58410,
1852.25359,1.89359,-2.78804,1.56819,-0.22592,0.12709,19.98900,,
1852.50359,2.14358,-0.29853,1.56845,-0.02419,0.12710,19.83243,0.43781,
1852.75358,2.39358,2.65310,1.56884,0.21499,0.12713,19.82539,0.43177,
1853.00358,2.64358,1.53667,1.56873,0.12453,0.12712,19.85737,0.46102,
1853.24524,2.88524,7.99821,1.71958,0.64814,0.13935,19.45182,0.27721,
1853.50357,3.14357,3.48182,1.57000,0.28218,0.12723,19.71603,0.32873,
1853.75356,3.39356,6.45497,1.57140,0.52308,0.12734,19.51046,0.25241,
1854.00356,3.64356,5.39803,1.57213,0.43743,0.12740,19.54229,0.24816,
1854.25355,3.89355,6.38845,1.57217,0.51769,0.12740,19.58133,0.30562,
1854.50355,4.14355,3.50038,1.57238,0.28365,0.12742,19.67415,0.31170,
1854.73155,4.37155,0.34902,1.81542,0.02830,0.14711,19.86650,0.56490,
1856.52435,6.16435,8.11662,1.75237,0.65774,0.14201,19.39044,0.27263,
1856.75351,6.39351,3.60825,1.61390,0.29239,0.13079,19.69304,0.34564,
1857.00350,6.64351,9.63797,1.63720,0.78102,0.13267,19.25086,0.21377,
1857.25350,6.89350,5.38727,1.64223,0.43656,0.13308,19.59895,0.29433,
1857.50349,7.14349,3.89117,1.64209,0.31532,0.13307,19.71315,0.38378,
1857.75349,7.39349,6.23893,1.64121,0.50556,0.13300,19.49840,0.28850,
1858.00348,7.64348,7.12112,1.63658,0.57707,0.13262,19.44728,0.26524,
1858.25348,7.89348,0.33012,1.63055,0.02676,0.13213,19.95610,0.81121,
1858.47685,8.11685,4.26470,1.87692,0.34560,0.15210,19.57596,0.32015,
1858.75347,8.39347,1.55796,1.61781,0.12625,0.13110,19.81463,0.42134,
1859.00346,8.64346,3.51572,1.61053,0.28489,0.13051,19.80793,0.43199,
1859.25346,8.89346,4.69481,1.59858,0.38045,0.12954,19.62943,0.31612,
1859.50345,9.14345,5.35783,1.59675,0.43417,0.12939,19.52198,0.26135,
1859.75345,9.39345,5.67478,1.59208,0.45987,0.12902,19.62692,0.30957,
1860.00344,9.64344,10.25671,1.58839,0.83116,0.12872,19.22270,0.22522,
1860.25343,9.89343,5.15078,1.58482,0.41740,0.12843,19.60255,0.28994,
1860.50343,10.14343,6.07547,1.58231,0.49233,0.12822,19.53129,0.28595,
1860.75342,10.39342,8.99672,1.58038,0.72905,0.12806,19.29535,0.21198,
1861.00342,10.64342,6.02419,1.57928,0.48818,0.12798,19.57521,0.27551,
