BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1871.59839,-0.35161,5.3292,5.9459,0.0959,0.1070,19.3017,,
1871.64006,-0.30994,3.9033,5.7484,0.0702,0.1034,19.3017,,
1871.66089,-0.28911,2.2562,6.2275,0.0406,0.1121,19.3017,,
1871.68172,-0.26828,-6.0567,6.1298,-0.1090,0.1103,19.3017,,
1871.70256,-0.24744,-1.1611,6.2273,-0.0209,0.1120,19.3017,,
1871.72339,-0.22661,-0.5874,6.2563,-0.0106,0.1126,19.3017,,
1871.74422,-0.20578,-9.7379,5.5516,-0.1752,0.0999,19.3017,,
1871.76506,-0.18494,-0.8230,6.2242,-0.0148,0.1120,19.3017,,
1871.78589,-0.16411,-2.7117,6.1009,-0.0488,0.1098,19.3017,,
1871.80672,-0.14328,-6.4438,5.9878,-0.1159,0.1077,19.3017,,
1871.82756,-0.12244,-4.9278,6.0646,-0.0887,0.1091,19.3017,,
1871.84839,-0.10161,5.2618,5.9416,0.0947,0.1069,19.3017,,
1871.86922,-0.08078,-3.7233,5.9869,-0.0670,0.1077,19.3017,,
1871.89005,-0.05995,-5.7046,5.5497,-0.1026,0.0999,19.3017,,
1871.91089,-0.03911,0.1309,5.8647,0.0024,0.1055,19.3017,,
1871.93172,-0.01828,-0.9112,5.9081,-0.0164,0.1063,19.3017,,
1871.95256,0.00256,-4.7040,5.9547,-0.0846,0.1071,19.3017,,
1871.97339,0.02339,4.7485,5.9965,0.0854,0.1079,19.3017,,
1871.99422,0.04422,5.7920,6.0887,0.1042,0.1096,19.3017,,
1872.01506,0.06506,-2.6133,6.0235,-0.0470,0.1084,19.3017,,
1872.03589,0.08589,-2.0457,5.5809,-0.0368,0.1004,19.3017,,
1872.05672,0.10672,3.6054,5.5907,0.0649,0.1006,19.3017,,
1872.07756,0.12756,-9.3433,5.6062,-0.1681,0.1009,19.3017,,
1872.09839,0.14839,-3.1569,5.4310,-0.0568,0.0977,19.3017,,
1872.11922,0.16922,-1.8995,5.4474,-0.0342,0.0980,19.3017,,
1872.14006,0.19006,-1.7891,5.5459,-0.0322,0.0998,19.3017,,
1872.16089,0.21089,2.4370,5.5507,0.0438,0.0999,19.3017,,
1872.18172,0.23172,-0.4182,5.5148,-0.0075,0.0992,19.3017,,
1872.20256,0.25256,-10.9613,5.4397,-0.1972,0.0979,19.3017,,
1872.22339,0.27339,2.9247,5.4457,0.0526,0.0980,19.3017,,
1872.24422,0.29422,-2.7969,5.4059,-0.0503,0.0973,19.3017,,
1872.26506,0.31506,-9.5469,5.5563,-0.1718,0.1000,19.3017,,
1872.28589,0.33589,-4.5116,5.5639,-0.0812,0.1001,19.3017,,
1872.30672,0.35672,-6.0543,5.6904,-0.1089,0.1024,19.3017,,
1872.32756,0.37756,6.2193,5.5979,0.1119,0.1007,19.3017,,
1872.34839,0.39839,3.6688,5.4991,0.0660,0.0989,19.3017,,
1872.36922,0.41922,-7.6116,5.5228,-0.1370,0.0994,19.3017,,
1872.39006,0.44006,-3.8633,5.5752,-0.0695,0.1003,19.3017,,
1872.41089,0.46089,-2.5740,5.5707,-0.0463,0.1002,19.3017,,
1872.43172,0.48172,-1.3671,5.4808,-0.0246,0.0986,19.3017,,
1872.45256,0.50256,2.1830,5.6083,0.0393,0.1009,19.3017,,
1872.47339,0.52339,-5.8823,5.4687,-0.1058,0.0984,19.3017,,
1872.49422,0.54422,4.4920,5.5857,0.0808,0.1005,19.3017,,
1872.51506,0.56506,-5.7848,5.6143,-0.1041,0.1010,19.3017,,
1872.53589,0.58589,3.6930,5.6007,0.0664,0.1008,19.3017,,
1872.55672,0.60672,4.0221,5.7513,0.0724,0.1035,19.3017,,
1872.57756,0.62756,-0.7687,5.7298,-0.0138,0.1031,19.3017,,
1872.64006,0.69006,6.3100,5.6260,0.1135,0.1012,19.3017,,
1872.66089,0.71089,5.3577,5.5432,0.0964,0.0997,19.3017,,
1872.68172,0.73172,-5.8268,5.7896,-0.1048,0.1042,19.3017,,
1872.70256,0.75256,0.3090,5.2602,0.0056,0.0946,19.3017,,
1872.72339,0.77339,0.6460,5.2566,0.0116,0.0946,19.3017,,
1872.74422,0.79422,-11.9724,5.4078,-0.2154,0.0973,19.3017,,
1872.76506,0.81506,2.6733,5.3576,0.0481,0.0964,19.3017,,
1872.78589,0.83589,6.9020,5.3578,0.1242,0.0964,19.3017,,
1872.80672,0.85672,7.2550,5.6364,0.1305,0.1014,19.3017,,
1872.82756,0.87756,9.7113,5.4429,0.1747,0.0979,19.1646,0.6085,
1872.84839,0.89839,5.6593,5.5099,0.1018,0.0991,19.3017,,
1872.86922,0.91922,5.7823,5.2899,0.1040,0.0952,19.3017,,
1872.89006,0.94006,-0.1285,5.2459,-0.0023,0.0944,19.3017,,
1872.91089,0.96089,1.2787,5.3480,0.0230,0.0962,19.3017,,
1872.93172,0.98172,2.9085,5.3520,0.0523,0.0963,19.3017,,
1872.95256,1.00256,-0.5069,5.7743,-0.0091,0.1039,19.3017,,
1872.97339,1.02339,-4.9357,5.7118,-0.0888,0.1028,19.3017,,
1872.99423,1.04423,3.5567,5.8490,0.0640,0.1052,19.3017,,
1873.01506,1.06506,-6.3535,5.7465,-0.1143,0.1034,19.3017,,
1873.03589,1.08589,-1.4263,5.8089,-0.0257,0.1045,19.3017,,
1873.05673,1.10673,-2.3747,5.6125,-0.0427,0.1010,19.3017,,
1873.07756,1.12756,4.3330,5.5570,0.0780,0.1000,19.3017,,
1873.09839,1.14839,-1.1007,5.7966,-0.0198,0.1043,19.3017,,
1873.11923,1.16923,7.2863,5.6444,0.1311,0.1016,19.3017,,
1873.14006,1.19006,2.3505,5.9172,0.0423,0.1065,19.3017,,
1873.16089,1.21089,-2.5587,5.6382,-0.0460,0.1014,19.3017,,
1873.18173,1.23173,9.5115,5.9110,0.1711,0.1064,19.1872,0.6747,
1873.20256,1.25256,-0.8754,5.8161,-0.0158,0.1047,19.3017,,
1873.22339,1.27339,4.9217,5.8229,0.0886,0.1048,19.3017,,
1873.24423,1.29423,3.5928,5.7987,0.0646,0.1043,19.3017,,
1873.26506,1.31506,-2.3873,5.6793,-0.0430,0.1022,19.3017,,
1873.28589,1.33589,-8.0156,5.6683,-0.1442,0.1020,19.3017,,
1873.30673,1.35673,6.9864,5.5597,0.1257,0.1000,19.3017,,
1873.32756,1.37756,-2.8913,5.5942,-0.0520,0.1007,19.3017,,
1873.34839,1.39839,0.7001,5.5675,0.0126,0.1002,19.3017,,
1873.36923,1.41923,7.8008,5.5053,0.1404,0.0991,19.3017,,
1873.39006,1.44006,5.6995,5.4897,0.1026,0.0988,19.3017,,
1873.41089,1.46089,7.0615,5.6094,0.1271,0.1009,19.3017,,
1873.43172,1.48172,7.6933,5.5401,0.1384,0.0997,19.3017,,
1873.45256,1.50256,1.0817,5.4124,0.0195,0.0974,19.3017,,
1873.47339,1.52339,2.0064,5.4074,0.0361,0.0973,19.3017,,
1873.49422,1.54422,1.3025,5.3499,0.0234,0.0963,19.3017,,
1873.51506,1.56506,5.0774,5.4288,0.0914,0.0977,19.3017,,
1873.53589,1.58589,-0.1728,5.3731,-0.0031,0.0967,19.3017,,
1873.55672,1.60672,3.8458,5.2600,0.0692,0.0946,19.3017,,
1873.57756,1.62756,-3.5402,5.7611,-0.0637,0.1037,19.3017,,
1873.59839,1.64839,2.1542,5.4793,0.0388,0.0986,19.3017,,
1873.61922,1.66922,5.4578,5.5246,0.0982,0.0994,19.3017,,
1873.64006,1.69006,7.7554,5.4782,0.1395,0.0986,19.3017,,
1873.66089,1.71089,1.9744,5.4829,0.0355,0.0987,19.3017,,
1873.68173,1.73173,5.2696,5.4497,0.0948,0.0981,19.3017,,
1873.70256,1.75256,-3.5882,5.5622,-0.0646,0.1001,19.3017,,
1873.72339,1.77339,-4.8038,5.8188,-0.0864,0.1047,19.3017,,
1873.74423,1.79423,4.2578,5.8154,0.0766,0.1046,19.3017,,
1873.76506,1.81506,12.9252,5.3887,0.2326,0.0970,18.8542,0.4527,
1873.78589,1.83589,9.0776,5.4295,0.1633,0.0977,19.2379,0.6494,
1873.80673,1.85673,0.5457,5.7186,0.0098,0.1029,19.3017,,
1873.82756,1.87756,-7.3027,5.7698,-0.1314,0.1038,19.3017,,
1873.84839,1.89839,8.7318,5.8310,0.1571,0.1049,19.2800,0.7250,
1873.86923,1.91923,0.4632,5.7023,0.0083,0.1026,19.3017,,
1873.89006,1.94006,5.7649,5.8835,0.1037,0.1059,19.3017,,
1873.91089,1.96089,7.9541,5.7381,0.1431,0.1032,19.3017,,
1873.93173,1.98173,2.4818,5.3605,0.0447,0.0965,19.3017,,
1873.95256,2.00256,13.5808,5.2962,0.2444,0.0953,18.8005,0.4234,
