BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1872.06714,0.11714,-0.78226,1.64518,-0.01407,0.02960,19.30170,,
1872.31714,0.36714,-3.03952,1.59625,-0.05469,0.02872,19.30170,,
1872.55881,0.60881,0.77952,1.78116,0.01403,0.03205,19.30170,,
1872.82756,0.87756,2.34751,1.49911,0.04223,0.02697,19.29115,0.60850,
1873.07756,1.12756,0.75349,1.73249,0.01356,0.03117,19.29129,0.67470,
1873.31714,1.36714,2.52387,1.62777,0.04542,0.02929,19.30170,,
1873.56714,1.61714,2.68435,1.57381,0.04830,0.02832,19.30170,,
1873.81714,1.86714,3.04228,1.63707,0.05473,0.02946,19.25728,0.35781,
1874.06714,2.11714,6.04722,1.56832,0.10880,0.02822,19.18783,0.25908,
1874.31714,2.36714,3.77077,1.63010,0.06785,0.02933,19.25662,0.42580,
1874.56714,2.61714,4.02752,1.58242,0.07248,0.02847,19.24438,0.29656,
1874.81714,2.86714,5.64518,1.61291,0.10158,0.02902,19.27329,0.52480,
1875.06714,3.11714,7.89211,1.62222,0.14201,0.02919,19.21898,0.27161,
1875.31714,3.36714,9.15033,1.57914,0.16464,0.02841,19.08704,0.20856,
1875.56714,3.61714,8.47369,1.61156,0.15246,0.02899,19.15956,0.24154,
1875.81714,3.86714,8.80502,1.59746,0.15844,0.02875,19.11511,0.21118,
1876.06714,4.11714,12.19885,1.59469,0.21950,0.02869,18.94934,0.15991,
1876.32755,4.37755,12.71881,1.53460,0.22885,0.02761,18.88092,0.13854,
1876.57755,4.62755,14.61035,1.64440,0.26286,0.02958,18.75910,0.13579,
1876.84839,4.89839,14.06006,1.67373,0.25298,0.03012,18.79309,0.13970,
1877.08797,5.13797,16.02109,1.60937,0.28828,0.02896,18.66615,0.12022,
1877.33797,5.38797,18.93482,1.57704,0.34071,0.02838,18.49593,0.10813,
1877.58797,5.63797,19.10348,1.59567,0.34373,0.02871,18.45138,0.09733,
1877.83796,5.88796,21.44867,1.56965,0.38592,0.02824,18.33019,0.08639,
1878.08796,6.13796,21.68178,1.67170,0.39012,0.03008,18.31379,0.08889,
1878.33796,6.38796,23.79472,1.60586,0.42814,0.02890,18.19778,0.07447,
1878.58796,6.63796,25.92511,1.59290,0.46648,0.02866,18.10720,0.06816,
1878.83796,6.88796,28.13077,1.61890,0.50617,0.02913,18.01853,0.06392,
1879.08795,7.13795,28.76245,1.57334,0.51754,0.02831,17.99329,0.06073,
1879.33795,7.38795,30.05699,1.60966,0.54082,0.02896,17.94582,0.05955,
1879.58795,7.63795,29.43666,1.60452,0.52967,0.02887,17.97151,0.06127,
1879.83795,7.88795,31.53298,1.54837,0.56738,0.02786,17.88928,0.05382,
1880.08795,8.13795,36.54201,1.54599,0.65751,0.02782,17.72987,0.04649,
1880.33794,8.38794,34.80448,1.56274,0.62625,0.02812,17.78779,0.04998,
1880.58794,8.63794,37.80780,1.60848,0.68030,0.02894,17.69746,0.04740,
1880.83794,8.88794,38.20674,1.56876,0.68747,0.02822,17.68117,0.04503,
1881.08794,9.13794,38.74423,1.59009,0.69713,0.02861,17.67010,0.04560,
1881.33793,9.38793,38.43656,1.59216,0.69159,0.02865,17.67581,0.04561,
1881.58793,9.63793,42.87630,1.59634,0.77147,0.02872,17.55685,0.04094,
1881.83793,9.88793,41.58547,1.55066,0.74827,0.02790,17.59027,0.04097,
1882.08792,10.13792,41.84038,1.58599,0.75284,0.02854,17.58692,0.04204,
1882.33792,10.38792,44.88492,1.60836,0.80761,0.02894,17.51020,0.03970,
1882.58792,10.63792,45.64017,1.59513,0.82122,0.02870,17.49115,0.03862,
1882.82750,10.87750,45.74143,1.62212,0.82302,0.02919,17.49058,0.03940,
1883.09833,11.14833,45.68704,1.61196,0.82205,0.02901,17.48675,0.03873,
1883.33791,11.38790,47.42372,1.58450,0.85329,0.02851,17.44974,0.03699,
1883.58790,11.63790,49.23321,1.60015,0.88586,0.02878,17.40711,0.03579,
1883.80896,11.85896,46.24281,1.80310,0.83206,0.03244,17.47444,0.04281,
1889.44197,17.49197,55.22445,3.86121,0.99365,0.06948,17.27780,0.07602,
