BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1842.51607,-15.84393,5.4217,5.0393,0.1680,0.1561,19.7975,1.0092,
1842.53691,-15.82309,12.8874,5.2104,0.3992,0.1614,18.8574,0.4390,
1842.55774,-15.80226,16.4818,5.1298,0.5106,0.1589,18.5903,0.3379,
1842.57858,-15.78142,6.6137,5.1590,0.2049,0.1598,19.5817,0.8469,
1842.59941,-15.76059,5.0970,5.1019,0.1579,0.1581,19.8645,1.0868,
1842.62024,-15.73976,11.0304,5.1820,0.3417,0.1605,19.0263,0.5101,
1842.68274,-15.67726,7.6575,5.1694,0.2372,0.1601,19.4226,0.7329,
1842.74524,-15.61476,8.5340,5.1356,0.2644,0.1591,19.3049,0.6534,
1842.76608,-15.59392,7.2921,5.1697,0.2259,0.1602,19.4757,0.7697,
1842.78691,-15.57309,-5.1959,5.1899,-0.1610,0.1608,20.3740,,
1842.80775,-15.55225,11.2740,5.0716,0.3493,0.1571,19.0026,0.4884,
1842.82858,-15.53142,11.5692,5.1060,0.3584,0.1582,18.9745,0.4792,
1842.84941,-15.51059,6.6624,5.1607,0.2064,0.1599,19.5737,0.8410,
1842.87025,-15.48975,-3.3216,5.2123,-0.1029,0.1615,20.3740,,
1842.89108,-15.46892,3.6411,5.1537,0.1128,0.1597,20.2297,1.5368,
1842.91192,-15.44808,4.4922,5.1639,0.1392,0.1600,20.0017,1.2481,
1842.93275,-15.42725,7.7576,5.1379,0.2403,0.1592,19.4085,0.7191,
1842.95358,-15.40642,7.8007,5.1940,0.2417,0.1609,19.4025,0.7229,
1842.97442,-15.38558,4.7190,5.1840,0.1462,0.1606,19.9482,1.1927,
1842.99525,-15.36475,1.0968,5.1520,0.0340,0.1596,20.3740,,
1843.01608,-15.34392,0.7620,5.1450,0.0236,0.1594,20.3740,,
1843.03692,-15.32308,1.4189,5.1206,0.0440,0.1586,20.3740,,
1843.05775,-15.30225,7.9332,5.1645,0.2458,0.1600,19.3842,0.7068,
1843.07858,-15.28142,-0.9863,5.2511,-0.0306,0.1627,20.3740,,
1843.09942,-15.26058,6.3012,5.1948,0.1952,0.1609,19.6342,0.8951,
1843.12025,-15.23975,-3.3640,5.1851,-0.1042,0.1606,20.3740,,
1843.14109,-15.21891,0.7583,5.1683,0.0235,0.1601,20.3740,,
1843.16192,-15.19808,4.3666,5.2378,0.1353,0.1623,20.0324,1.3023,
1843.18275,-15.17725,0.1943,5.2349,0.0060,0.1622,20.3740,,
1843.20359,-15.15641,11.1743,5.2830,0.3462,0.1637,19.0123,0.5133,
1843.22442,-15.13558,-8.9146,5.2857,-0.2762,0.1637,20.3740,,
1843.24525,-15.11475,3.9810,5.3270,0.1233,0.1650,20.1328,1.4528,
1843.26609,-15.09391,1.2741,5.1870,0.0395,0.1607,20.3740,,
1843.28692,-15.07308,0.0505,5.1357,0.0016,0.1591,20.3740,,
1843.30776,-15.05224,-4.0677,5.3612,-0.1260,0.1661,20.3740,,
1843.32859,-15.03141,-3.3538,5.3299,-0.1039,0.1651,20.3740,,
1843.34942,-15.01058,-2.1040,5.4073,-0.0652,0.1675,20.3740,,
1843.37026,-14.98974,-3.4060,5.2775,-0.1055,0.1635,20.3740,,
1843.39109,-14.96891,11.6189,5.3061,0.3599,0.1644,18.9699,0.4958,
1843.41192,-14.94808,12.1202,5.3201,0.3755,0.1648,18.9240,0.4766,
1843.43276,-14.92724,-4.5900,5.2819,-0.1422,0.1636,20.3740,,
1843.45359,-14.90641,10.8483,5.1928,0.3361,0.1609,19.0444,0.5197,
1843.47443,-14.88557,-0.3491,5.1664,-0.0108,0.1601,20.3740,,
1843.49526,-14.86474,-1.3751,5.1841,-0.0426,0.1606,20.3740,,
1843.51609,-14.84391,4.1752,5.2614,0.1293,0.1630,20.0811,1.3682,
1843.53693,-14.82307,-1.1414,5.1013,-0.0354,0.1580,20.3740,,
1843.55776,-14.80224,3.6088,5.1490,0.1118,0.1595,20.2394,1.5491,
1843.57859,-14.78141,2.4671,5.0882,0.0764,0.1576,20.3740,,
1843.59943,-14.76057,4.0741,5.0348,0.1262,0.1560,20.1077,1.3418,
1843.62026,-14.73974,-2.1689,5.0812,-0.0672,0.1574,20.3740,,
1843.64110,-14.71890,11.2922,5.2487,0.3498,0.1626,19.0009,0.5047,
1843.66193,-14.69807,3.6018,5.0514,0.1116,0.1565,20.2415,1.5227,
1843.68276,-14.67724,-0.0499,5.1182,-0.0015,0.1586,20.3740,,
1843.70360,-14.65640,2.0875,5.0742,0.0647,0.1572,20.3740,,
1843.72443,-14.63557,-5.1731,5.0764,-0.1603,0.1573,20.3740,,
1843.74526,-14.61474,0.7308,5.0728,0.0226,0.1572,20.3740,,
1843.76610,-14.59390,7.4655,5.2545,0.2313,0.1628,19.4502,0.7642,
1843.80777,-14.55223,12.9002,5.0882,0.3996,0.1576,18.8563,0.4282,
1843.82860,-14.53140,2.2692,5.0244,0.0703,0.1557,20.3740,,
1843.84943,-14.51057,2.6591,5.1482,0.0824,0.1595,20.3740,,
1843.87027,-14.48973,1.9203,5.1372,0.0595,0.1591,20.3740,,
1843.89110,-14.46890,5.3820,5.3112,0.1667,0.1645,19.8054,1.0714,
1843.91193,-14.44807,7.1586,5.1702,0.2218,0.1602,19.4957,0.7842,
1843.93277,-14.42723,12.4175,5.0989,0.3847,0.1580,18.8977,0.4458,
1843.95360,-14.40640,-5.7931,5.1204,-0.1795,0.1586,20.3740,,
1843.97443,-14.38557,-5.8140,5.1259,-0.1801,0.1588,20.3740,,
1843.99527,-14.36473,1.7466,5.1687,0.0541,0.1601,20.3740,,
1844.01610,-14.34390,4.2243,5.1113,0.1309,0.1583,20.0684,1.3137,
1844.03694,-14.32306,2.8848,5.1149,0.0894,0.1585,20.3740,,
1844.07860,-14.28140,-3.1310,5.1096,-0.0970,0.1583,20.3740,,
1844.09944,-14.26056,2.5896,5.1083,0.0802,0.1583,20.3740,,
1844.12027,-14.23973,-6.5604,5.0915,-0.2032,0.1577,20.3740,,
1844.14110,-14.21890,-0.8900,5.0689,-0.0276,0.1570,20.3740,,
1844.16194,-14.19806,5.5931,5.1221,0.1733,0.1587,19.7637,0.9943,
1844.18277,-14.17723,3.2318,5.0246,0.1001,0.1557,20.3592,1.6880,
1844.20360,-14.15640,4.9977,5.1011,0.1548,0.1580,19.8859,1.1082,
1844.22444,-14.13556,3.2023,5.1619,0.0992,0.1599,20.3691,1.7501,
1844.24527,-14.11473,7.9693,5.0696,0.2469,0.1571,19.3792,0.6907,
1844.26611,-14.09389,-3.7791,5.2617,-0.1171,0.1630,20.3740,,
1844.28694,-14.07306,0.2668,5.1898,0.0083,0.1608,20.3740,,
1844.30777,-14.05223,-3.3530,5.1993,-0.1039,0.1611,20.3740,,
1844.32861,-14.03139,-3.1116,5.2101,-0.0964,0.1614,20.3740,,
1844.34944,-14.01056,-2.0451,5.1996,-0.0634,0.1611,20.3740,,
1844.37027,-13.98973,-1.7924,5.1482,-0.0555,0.1595,20.3740,,
1844.39111,-13.96889,-5.5729,5.2550,-0.1726,0.1628,20.3740,,
1844.41194,-13.94806,4.0944,5.2854,0.1268,0.1637,20.1023,1.4015,
1844.43278,-13.92722,-4.3362,5.2673,-0.1343,0.1632,20.3740,,
1844.45361,-13.90639,-5.7949,5.2906,-0.1795,0.1639,20.3740,,
1844.47444,-13.88556,1.7074,5.2439,0.0529,0.1625,20.3740,,
1844.49528,-13.86472,-4.7677,5.2087,-0.1477,0.1614,20.3740,,
1844.51611,-13.84389,1.5086,5.2065,0.0467,0.1613,20.3740,,
1844.53694,-13.82306,7.9070,5.2115,0.2450,0.1615,19.3878,0.7156,
1844.55778,-13.80222,-1.3990,5.2582,-0.0433,0.1629,20.3740,,
1844.57861,-13.78139,4.5691,5.1185,0.1415,0.1586,19.9832,1.2163,
1844.59944,-13.76056,6.9608,5.0516,0.2156,0.1565,19.5262,0.7879,
1844.62028,-13.73972,6.2109,5.0885,0.1924,0.1576,19.6499,0.8895,
1844.64111,-13.71889,2.8128,5.1904,0.0871,0.1608,20.3740,,
1844.66195,-13.69805,4.5188,5.0060,0.1400,0.1551,19.9952,1.2028,
1844.68278,-13.67722,-1.5445,5.1636,-0.0478,0.1600,20.3740,,
1844.70361,-13.65639,5.9737,5.3075,0.1851,0.1644,19.6922,0.9646,
1844.74528,-13.61472,7.0827,5.0760,0.2194,0.1573,19.5073,0.7781,
1844.76611,-13.59389,-5.2232,5.2272,-0.1618,0.1619,20.3740,,
1844.78695,-13.57305,-4.9492,5.2746,-0.1533,0.1634,20.3740,,
1844.80778,-13.55222,8.7561,5.0301,0.2713,0.1558,19.2770,0.6237,
1844.82861,-13.53139,-6.9689,5.4004,-0.2159,0.1673,20.3740,,
1844.84945,-13.51055,9.5265,5.0519,0.2951,0.1565,19.1855,0.5758,
1844.87028,-13.48972,1.6626,5.0755,0.0515,0.1572,20.3740,,
1844.89112,-13.46888,7.9139,5.2952,0.2452,0.1640,19.3868,0.7265,
1844.91195,-13.44805,4.6922,5.1986,0.1454,0.1610,19.9544,1.2029,
1844.93278,-13.42722,-7.2549,5.0306,-0.2248,0.1558,20.3740,,
1844.95362,-13.40638,9.6283,5.1853,0.2983,0.1606,19.1739,0.5847,
1844.97445,-13.38555,-1.6182,5.2277,-0.0501,0.1620,20.3740,,
1844.99528,-13.36472,4.8937,5.2138,0.1516,0.1615,19.9087,1.1568,
1845.01612,-13.34388,-2.8184,5.1554,-0.0873,0.1597,20.3740,,
1845.03695,-13.32305,-3.8112,5.2219,-0.1181,0.1618,20.3740,,
1845.05778,-13.30222,-14.5926,5.2035,-0.4521,0.1612,20.3740,,
1845.07862,-13.28138,-3.9599,5.2005,-0.1227,0.1611,20.3740,,
1845.09945,-13.26055,-1.7020,5.1805,-0.0527,0.1605,20.3740,,
1845.12029,-13.23971,-3.0489,5.2860,-0.0945,0.1638,20.3740,,
1845.14112,-13.21888,2.3419,5.0133,0.0726,0.1553,20.3740,,
1845.16195,-13.19805,3.1964,5.1417,0.0990,0.1593,20.3711,1.7465,
1845.18279,-13.17721,0.0536,5.2562,0.0017,0.1628,20.3740,,
1845.20362,-13.15638,0.3334,5.2203,0.0103,0.1617,20.3740,,
1845.22445,-13.13555,4.5998,5.0574,0.1425,0.1567,19.9760,1.1938,
1845.24529,-13.11471,-7.2986,5.2668,-0.2261,0.1632,20.3740,,
1845.26612,-13.09388,12.2839,5.1836,0.3805,0.1606,18.9095,0.4582,
1845.28695,-13.07305,-1.6299,5.2030,-0.0505,0.1612,20.3740,,
1845.30779,-13.05221,-2.1724,5.1679,-0.0673,0.1601,20.3740,,
1845.32862,-13.03138,7.1522,5.2625,0.2216,0.1630,19.4967,0.7989,
1845.34946,-13.01054,-5.8611,5.2138,-0.1816,0.1615,20.3740,,
