BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1840.19508,0.06508,1.82557,2.17751,0.02890,0.03448,20.43592,0.59376,0.00000
1842.56316,2.43316,23.27410,1.62663,0.36850,0.02576,18.21812,0.07639,57.98000
1842.78712,2.65712,25.47577,1.40169,0.40336,0.02220,18.14395,0.06497,57.98000
1843.00066,2.87066,23.71938,1.14617,0.37554,0.01815,18.20586,0.05408,57.98000
1843.25067,3.12067,25.93896,1.14448,0.41070,0.01812,18.11500,0.05023,57.98000
1843.50067,3.37067,26.34622,1.14642,0.41714,0.01815,18.09069,0.04846,57.98000
1843.74783,3.61783,27.91186,1.19925,0.44194,0.01898,18.03159,0.04834,57.98000
1843.99594,3.86594,28.00013,1.20445,0.44333,0.01907,18.02056,0.04742,57.98000
1844.25067,4.12067,31.43006,1.14997,0.49764,0.01821,17.89965,0.04080,57.98000
1844.50484,4.37484,32.86476,1.26305,0.52035,0.02000,17.84531,0.04220,57.98000
1844.75352,4.62352,31.61205,1.20284,0.50053,0.01904,17.88974,0.04206,57.98000
1845.00068,4.87068,32.77793,1.14857,0.51898,0.01818,17.85095,0.03877,57.98000
1845.25068,5.12068,35.86073,1.15073,0.56779,0.01822,17.75101,0.03530,57.98000
1845.50068,5.37068,36.29216,1.14939,0.57463,0.01820,17.73608,0.03466,57.98000
1845.75068,5.62068,36.55286,1.15361,0.57876,0.01827,17.72984,0.03469,57.98000
1846.00069,5.87069,40.43642,1.15879,0.64024,0.01835,17.61792,0.03129,57.98000
1846.25069,6.12069,40.30317,1.15639,0.63813,0.01831,17.62373,0.03151,57.98000
1846.50069,6.37069,38.70006,1.15698,0.61276,0.01832,17.67156,0.03321,57.98000
1846.75069,6.62069,41.31374,1.15658,0.65412,0.01831,17.59586,0.03068,57.98000
1847.00070,6.87070,42.00597,1.16589,0.66508,0.01846,17.57708,0.03035,57.98000
1847.25070,7.12070,40.63624,1.17202,0.64340,0.01855,17.61433,0.03165,57.98000
1847.50070,7.37070,44.60538,1.17324,0.70626,0.01858,17.51207,0.02876,57.98000
1847.75070,7.62070,46.03772,1.17699,0.72893,0.01863,17.47840,0.02801,57.98000
1848.01737,7.88737,44.49189,1.28875,0.70444,0.02040,17.51556,0.03175,57.98000
1848.25071,8.12071,46.46790,1.16955,0.73575,0.01852,17.46893,0.02763,57.98000
1848.49787,8.36787,46.07655,1.21804,0.72955,0.01929,17.47748,0.02896,57.98000
1848.75071,8.62071,46.48383,1.16692,0.73600,0.01847,17.46666,0.02741,57.98000
1849.00071,8.87071,48.14171,1.16267,0.76226,0.01841,17.42848,0.02637,57.98000
1849.25072,9.12072,47.25512,1.16343,0.74820,0.01842,17.45012,0.02699,57.98000
1849.50072,9.37072,48.78112,1.16458,0.77238,0.01844,17.41445,0.02609,57.98000
1849.75072,9.62072,49.62222,1.16774,0.78569,0.01849,17.39547,0.02568,57.98000
1850.00072,9.87072,49.72856,1.17159,0.78738,0.01855,17.39559,0.02591,57.98000
1850.25072,10.12072,46.39814,1.17170,0.73463,0.01855,17.47032,0.02770,57.98000
1850.50073,10.37073,52.26234,1.16986,0.82749,0.01853,17.33973,0.02446,57.98000
1850.75073,10.62073,53.10957,1.17116,0.84091,0.01854,17.32085,0.02401,57.98000
1851.00073,10.87073,52.06864,1.17625,0.82443,0.01862,17.34260,0.02461,57.98000
1851.25073,11.12073,52.09143,1.17632,0.82478,0.01862,17.34396,0.02473,57.98000
1851.50073,11.37074,53.73043,1.17775,0.85074,0.01865,17.31057,0.02401,57.98000
1851.75074,11.62074,54.79807,1.17773,0.86762,0.01864,17.28941,0.02358,57.98000
1852.00074,11.87074,53.53034,1.17867,0.84757,0.01866,17.31767,0.02431,57.98000
1852.25074,12.12074,53.86487,1.17951,0.85286,0.01867,17.30677,0.02393,57.98000
1852.50074,12.37074,54.69553,1.18221,0.86601,0.01872,17.28933,0.02356,57.98000
1852.75075,12.62075,53.68826,1.18364,0.85007,0.01874,17.31001,0.02406,57.98000
1853.00075,12.87075,52.67814,1.18739,0.83408,0.01880,17.33033,0.02458,57.98000
1853.24242,13.11242,53.25480,1.30229,0.84319,0.02062,17.32024,0.02679,57.98000
1853.50075,13.37075,53.96950,1.18345,0.85451,0.01874,17.30480,0.02396,57.98000
1853.75076,13.62076,54.76312,1.18379,0.86709,0.01875,17.29013,0.02372,57.98000
1854.00076,13.87076,55.03644,1.18383,0.87141,0.01874,17.28486,0.02359,57.98000
1854.25076,14.12076,56.25548,1.18665,0.89072,0.01879,17.25972,0.02305,57.98000
1854.50076,14.37076,53.65127,1.18631,0.84947,0.01879,17.31327,0.02431,57.98000
1854.72878,14.59878,51.61422,1.37123,0.81723,0.02172,17.35402,0.02910,57.98000
