BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1842.51624,-14.88376,6.6719,5.8069,0.2969,0.2584,19.5722,0.9450,
1842.53707,-14.86293,-3.4328,5.8107,-0.1528,0.2586,20.3043,,
1842.55791,-14.84209,-0.0575,5.7646,-0.0026,0.2565,20.3043,,
1842.57874,-14.82126,6.6298,5.7958,0.2950,0.2579,19.5790,0.9492,
1842.59957,-14.80043,-0.3362,5.7643,-0.0150,0.2565,20.3043,,
1842.62041,-14.77959,-4.0645,5.8496,-0.1809,0.2603,20.3043,,
1842.68291,-14.71709,-8.7237,5.7503,-0.3882,0.2559,20.3043,,
1842.74541,-14.65459,2.0603,5.6026,0.0917,0.2493,20.3043,,
1842.76625,-14.63375,20.7413,5.4520,0.9230,0.2426,18.3407,0.2854,
1842.78708,-14.61292,-1.6201,5.7086,-0.0721,0.2540,20.3043,,
1842.80791,-14.59209,-9.6344,5.7312,-0.4287,0.2550,20.3043,,
1842.82875,-14.57125,-14.3755,5.7789,-0.6397,0.2572,20.3043,,
1842.84958,-14.55042,-5.3841,5.8279,-0.2396,0.2593,20.3043,,
1842.87041,-14.52959,-5.1696,5.8119,-0.2301,0.2586,20.3043,,
1842.89125,-14.50875,-7.1724,5.6553,-0.3192,0.2517,20.3043,,
1842.91208,-14.48792,-0.0049,5.5872,-0.0002,0.2486,20.3043,,
1842.93292,-14.46708,-0.3706,5.7310,-0.0165,0.2550,20.3043,,
1842.95375,-14.44625,2.9087,5.8096,0.1294,0.2585,20.3043,,
1842.97458,-14.42542,3.4682,5.4382,0.1543,0.2420,20.2825,1.7024,
1842.99542,-14.40458,4.4600,5.4370,0.1985,0.2420,20.0095,1.3236,
1843.01625,-14.38375,0.0730,5.9199,0.0032,0.2634,20.3043,,
1843.03708,-14.36292,3.9896,5.9874,0.1775,0.2664,20.1305,1.6294,
1843.05792,-14.34208,1.6878,5.5614,0.0751,0.2475,20.3043,,
1843.07875,-14.32125,0.5948,5.9406,0.0265,0.2644,20.3043,,
1843.09959,-14.30041,5.9870,5.8085,0.2664,0.2585,19.6898,1.0534,
1843.12042,-14.27958,-6.6641,5.7768,-0.2966,0.2571,20.3043,,
1843.14125,-14.25875,7.1968,5.8133,0.3203,0.2587,19.4900,0.8770,
1843.16209,-14.23791,-4.3825,5.7229,-0.1950,0.2547,20.3043,,
1843.18292,-14.21708,8.6997,5.5354,0.3871,0.2463,19.2840,0.6908,
1843.20375,-14.19625,-5.7913,5.8680,-0.2577,0.2611,20.3043,,
1843.22459,-14.17541,5.5588,5.8386,0.2474,0.2598,19.7703,1.1404,
1843.24542,-14.15458,-4.2746,5.7908,-0.1902,0.2577,20.3043,,
1843.26626,-14.13374,-1.4937,5.8128,-0.0665,0.2587,20.3043,,
1843.28709,-14.11291,2.7155,5.5120,0.1208,0.2453,20.3043,,
1843.30792,-14.09208,4.3128,5.6588,0.1919,0.2518,20.0459,1.4246,
1843.32876,-14.07124,9.3776,5.6520,0.4173,0.2515,19.2026,0.6544,
1843.34959,-14.05041,0.9758,5.7639,0.0434,0.2565,20.3043,,
1843.37043,-14.02957,-5.1911,5.5811,-0.2310,0.2484,20.3043,,
1843.39126,-14.00874,-1.6244,5.5729,-0.0723,0.2480,20.3043,,
