BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1858.08928,0.68928,6.10900,1.89697,0.27184,0.08442,19.73910,0.41008,
1858.34970,0.94970,1.54885,1.77306,0.06893,0.07891,20.01487,0.47927,
1858.61821,1.21821,7.18942,2.02308,0.31992,0.09003,19.44163,0.28387,
1858.86011,1.46011,5.61491,1.74751,0.24988,0.07777,19.67430,0.29869,
1859.11011,1.71011,8.39838,1.66874,0.37373,0.07426,19.38701,0.25584,
1859.36011,1.96011,5.61414,1.70478,0.24985,0.07586,19.69668,0.32460,
1859.61011,2.21011,7.41174,1.72491,0.32983,0.07676,19.54782,0.27617,
1859.86010,2.46010,6.31956,1.67774,0.28123,0.07466,19.63857,0.30748,
1860.11010,2.71010,5.64776,1.68626,0.25133,0.07504,19.67068,0.32368,
1860.36010,2.96010,4.49094,1.71784,0.19987,0.07645,19.82403,0.40095,
1860.61010,3.21010,8.79381,1.60622,0.39133,0.07148,19.39013,0.26109,
1860.86010,3.46010,5.84894,1.63081,0.26028,0.07257,19.75812,0.37366,
1861.11009,3.71009,7.28958,1.64841,0.32437,0.07335,19.52443,0.30065,
1861.36009,3.96009,5.22032,1.64016,0.23230,0.07298,19.60979,0.28970,
1861.61009,4.21009,4.97576,1.61724,0.22142,0.07197,19.68623,0.34319,
1861.84342,4.44342,5.89111,1.75102,0.26215,0.07792,19.64194,0.33442,
1862.11008,4.71008,6.56401,1.59919,0.29209,0.07117,19.63514,0.28538,
1862.36008,4.96008,6.95692,1.59217,0.30958,0.07085,19.59848,0.31348,
1862.61008,5.21008,5.76390,1.56625,0.25651,0.06970,19.62103,0.30448,
1862.86007,5.46007,6.85403,1.65825,0.30501,0.07379,19.60233,0.28350,
1863.11007,5.71007,8.23898,1.63255,0.36663,0.07265,19.41721,0.24095,
1863.36007,5.96007,9.24748,1.60671,0.41152,0.07150,19.36011,0.25901,
1863.61006,6.21006,8.81377,1.60304,0.39222,0.07134,19.39738,0.26139,
1863.86006,6.46006,11.50171,1.60193,0.51182,0.07129,19.03366,0.17469,
1864.11005,6.71005,10.96632,1.63861,0.48800,0.07292,19.13816,0.17238,
1864.36005,6.96005,11.07101,1.58974,0.49267,0.07075,19.12187,0.18916,
1864.59963,7.19963,10.97956,1.69119,0.48860,0.07526,19.16832,0.22584,
1864.86004,7.46004,12.81277,1.62920,0.57016,0.07250,19.02380,0.18919,
1865.11003,7.71004,12.07237,1.55925,0.53722,0.06938,19.02619,0.20054,
1865.63086,8.23086,9.84799,1.76854,0.43825,0.07870,19.18049,0.21311,
1865.86002,8.46002,13.55848,1.65424,0.60337,0.07362,18.88372,0.16737,
1866.11002,8.71002,15.73928,1.70638,0.70040,0.07593,18.68250,0.13306,
1866.36001,8.96001,17.53078,1.69445,0.78013,0.07540,18.54262,0.11114,
1866.61000,9.21000,15.01518,1.63313,0.66819,0.07268,18.73406,0.13550,
1866.86000,9.46000,18.10151,1.61690,0.80552,0.07195,18.55779,0.12524,
1867.10999,9.70999,14.53617,1.57951,0.64688,0.07029,18.80969,0.15293,
1867.34332,9.94332,16.83769,1.75634,0.74928,0.07816,18.71562,0.20852,
1867.60998,10.20998,23.66954,1.66128,1.05332,0.07393,18.21656,0.08081,
1867.85997,10.45997,21.15599,1.71747,0.94145,0.07643,18.36862,0.10573,
1868.10997,10.70997,18.90919,1.66045,0.84147,0.07389,18.49243,0.11226,
1868.35996,10.95996,18.74618,1.56952,0.83422,0.06985,18.48756,0.10237,
1868.60995,11.20995,21.59680,1.61574,0.96108,0.07190,18.33964,0.09172,
1868.77661,11.37662,25.44233,2.86574,1.13220,0.12753,18.13755,0.12858,
