BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1842.51599,-1.92401,-1.0207,3.8613,-0.0698,0.2640,22.1234,,
1842.53682,-1.90318,2.8897,3.8722,0.1975,0.2647,20.4807,1.4549,
1842.55766,-1.88234,-4.9688,3.8656,-0.3397,0.2643,22.1234,,
1842.57849,-1.86151,-5.1649,3.8982,-0.3531,0.2665,22.1234,,
1842.59933,-1.84067,0.9570,3.9019,0.0654,0.2667,21.6805,4.4269,
1842.62016,-1.81984,2.9073,3.9260,0.1988,0.2684,20.4741,1.4661,
1842.68266,-1.75734,1.0546,3.9252,0.0721,0.2683,21.5751,4.0411,
1842.74517,-1.69483,-4.2679,3.8855,-0.2918,0.2656,22.1234,,
1842.76600,-1.67400,-4.0247,3.8729,-0.2751,0.2648,22.1234,,
1842.78683,-1.65317,0.8303,3.8956,0.0568,0.2663,21.8348,5.0943,
1842.80767,-1.63233,-2.3476,3.9094,-0.1605,0.2673,22.1234,,
1842.82850,-1.61150,-4.2280,3.9138,-0.2890,0.2676,22.1234,,
1842.84934,-1.59066,0.3105,3.9147,0.0212,0.2676,22.1234,,
1842.87017,-1.56983,-1.7664,3.9317,-0.1208,0.2688,22.1234,,
1842.89101,-1.54899,1.1599,3.9301,0.0793,0.2687,21.4718,3.6788,
1842.91184,-1.52816,-6.1364,3.8948,-0.4195,0.2663,22.1234,,
1842.93267,-1.50733,8.5456,3.8731,0.5842,0.2648,19.3034,0.4921,
1842.95351,-1.48649,-0.7611,3.8807,-0.0520,0.2653,22.1234,,
1842.97434,-1.46566,3.5305,3.8761,0.2414,0.2650,20.2632,1.1920,
1842.99518,-1.44482,1.7213,3.8638,0.1177,0.2641,21.0432,2.4372,
1843.01601,-1.42399,13.4884,3.8628,0.9221,0.2641,18.8079,0.3109,
1843.03684,-1.40316,20.1460,3.8804,1.3772,0.2653,18.3723,0.2091,
1843.05768,-1.38232,20.8948,3.9029,1.4284,0.2668,18.3327,0.2028,
1843.07851,-1.36149,14.5769,3.9360,0.9965,0.2691,18.7236,0.2932,
1843.09935,-1.34065,24.7488,3.9245,1.6919,0.2683,18.1489,0.1722,
1843.12018,-1.31982,24.3137,3.9210,1.6621,0.2680,18.1682,0.1751,
1843.14101,-1.29899,14.4061,3.9104,0.9848,0.2673,18.7364,0.2947,
1843.16185,-1.27815,8.5539,3.9203,0.5848,0.2680,19.3024,0.4976,
1843.18268,-1.25732,-1.0813,3.9698,-0.0739,0.2714,22.1234,,
