BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1870.64058,-1.70942,-0.2970,4.2121,-0.0165,0.2342,20.1073,,
1870.66141,-1.68859,4.1959,4.2103,0.2333,0.2341,20.0757,1.0895,
1870.68225,-1.66775,-0.1684,4.1699,-0.0094,0.2318,20.1073,,
1870.70308,-1.64692,0.6739,4.1653,0.0375,0.2316,20.1073,,
1870.72391,-1.62609,-7.6945,4.1553,-0.4278,0.2310,20.1073,,
1870.76558,-1.58442,6.0255,4.0507,0.3350,0.2252,19.6828,0.7299,
1870.78642,-1.56358,3.4137,4.0997,0.1898,0.2279,20.1073,,
1870.80725,-1.54275,-1.2314,4.0431,-0.0685,0.2248,20.1073,,
1870.82808,-1.52192,6.9736,4.0908,0.3877,0.2274,19.5242,0.6369,
1870.84892,-1.50108,-2.1049,4.0638,-0.1170,0.2259,20.1073,,
1870.86975,-1.48025,-0.8699,4.0327,-0.0484,0.2242,20.1073,,
1870.89059,-1.45941,-2.6557,4.0121,-0.1476,0.2230,20.1073,,
1870.91142,-1.43858,-5.5485,4.0618,-0.3085,0.2258,20.1073,,
1870.95309,-1.39691,-10.1194,4.0531,-0.5626,0.2253,20.1073,,
1870.97392,-1.37608,-0.8170,4.0455,-0.0454,0.2249,20.1073,,
1870.99476,-1.35524,-3.4170,4.0519,-0.1900,0.2253,20.1073,,
1871.01559,-1.33441,9.4039,4.0442,0.5228,0.2248,19.1995,0.4669,
1871.03642,-1.31358,-3.2207,3.9793,-0.1790,0.2212,20.1073,,
1871.05726,-1.29274,3.2591,4.0811,0.1812,0.2269,20.1073,,
1871.07809,-1.27191,-0.1440,4.1002,-0.0080,0.2279,20.1073,,
1871.09893,-1.25107,2.3686,4.0772,0.1317,0.2267,20.1073,,
1871.11976,-1.23024,-3.8913,4.0282,-0.2163,0.2239,20.1073,,
1871.14059,-1.20941,0.4629,4.0482,0.0257,0.2251,20.1073,,
1871.16143,-1.18857,-3.4457,3.9983,-0.1916,0.2223,20.1073,,
1871.18226,-1.16774,-4.2188,3.9748,-0.2345,0.2210,20.1073,,
1871.20309,-1.14691,-3.6825,3.8905,-0.2047,0.2163,20.1073,,
1871.22393,-1.12607,-5.3559,3.9838,-0.2978,0.2215,20.1073,,
1871.24476,-1.10524,7.7256,3.9536,0.4295,0.2198,19.4130,0.5556,
1871.26560,-1.08440,-0.4367,3.9230,-0.0243,0.2181,20.1073,,
1871.28643,-1.06357,-2.3938,3.9161,-0.1331,0.2177,20.1073,,
1871.30726,-1.04274,1.5014,3.9316,0.0835,0.2186,20.1073,,
1871.32810,-1.02190,-4.5230,3.9017,-0.2514,0.2169,20.1073,,
1871.34893,-1.00107,-6.7981,3.8793,-0.3779,0.2157,20.1073,,
1871.36977,-0.98023,1.4838,3.9045,0.0825,0.2171,20.1073,,
1871.39060,-0.95940,1.3922,3.8884,0.0774,0.2162,20.1073,,
1871.41143,-0.93857,-2.7765,3.8789,-0.1544,0.2156,20.1073,,
1871.43227,-0.91773,-2.7412,3.8527,-0.1524,0.2142,20.1073,,
1871.45310,-0.89690,-8.6150,3.8803,-0.4789,0.2157,20.1073,,
1871.47394,-0.87606,-2.9121,3.8628,-0.1619,0.2147,20.1073,,
1871.49477,-0.85523,1.3478,3.8643,0.0749,0.2148,20.1073,,
1871.51560,-0.83440,0.5796,3.8491,0.0322,0.2140,20.1073,,
1871.53644,-0.81356,-4.3671,3.8109,-0.2428,0.2119,20.1073,,
1871.55727,-0.79273,-3.8517,3.8134,-0.2141,0.2120,20.1073,,
1871.57811,-0.77189,3.3467,3.8179,0.1861,0.2122,20.1073,,
1871.59894,-0.75106,-0.6285,3.8058,-0.0349,0.2116,20.1073,,
1871.61977,-0.73023,-0.4719,3.7766,-0.0262,0.2100,20.1073,,
1871.64061,-0.70939,-5.0881,3.7644,-0.2829,0.2093,20.1073,,
1871.66144,-0.68856,4.3050,3.7521,0.2393,0.2086,20.0479,0.9463,
1871.68227,-0.66773,5.4881,3.7422,0.3051,0.2080,19.7842,0.7403,
1871.70311,-0.64689,-0.9086,3.7251,-0.0505,0.2071,20.1073,,
1871.72394,-0.62606,-1.8526,3.7399,-0.1030,0.2079,20.1073,,
1871.74478,-0.60522,0.5227,3.7216,0.0291,0.2069,20.1073,,
1871.76561,-0.58439,-1.8344,3.7363,-0.1020,0.2077,20.1073,,
1871.78644,-0.56356,10.5193,3.7153,0.5848,0.2065,19.0778,0.3835,
1871.80728,-0.54272,-0.7801,3.7560,-0.0434,0.2088,20.1073,,
1871.82811,-0.52189,-4.7324,3.7506,-0.2631,0.2085,20.1073,,
1871.84895,-0.50105,-5.4281,3.7775,-0.3018,0.2100,20.1073,,
1871.86978,-0.48022,4.8676,3.7512,0.2706,0.2085,19.9145,0.8367,
1871.89061,-0.45939,-1.1941,3.7610,-0.0664,0.2091,20.1073,,
1871.91145,-0.43855,0.0218,3.7809,0.0012,0.2102,20.1073,,
1871.93228,-0.41772,8.4679,3.7935,0.4708,0.2109,19.3134,0.4864,
1871.95312,-0.39688,6.1978,3.7923,0.3446,0.2108,19.6522,0.6643,
1871.97395,-0.37605,1.8397,3.7776,0.1023,0.2100,20.1073,,
1871.99478,-0.35522,0.9939,3.7840,0.0553,0.2104,20.1073,,
1872.01562,-0.33438,-6.2150,3.7582,-0.3455,0.2089,20.1073,,
1872.03645,-0.31355,0.3433,3.7781,0.0191,0.2100,20.1073,,
1872.05729,-0.29271,6.0452,3.7987,0.3361,0.2112,19.6793,0.6823,
1872.07812,-0.27188,1.2576,3.8087,0.0699,0.2117,20.1073,,
1872.09895,-0.25105,-0.7197,3.7953,-0.0400,0.2110,20.1073,,
1872.11979,-0.23021,-1.4169,3.7946,-0.0788,0.2110,20.1073,,
1872.14062,-0.20938,-0.3892,3.7900,-0.0216,0.2107,20.1073,,
1872.16145,-0.18855,5.0649,3.8130,0.2816,0.2120,19.8714,0.8174,
1872.18229,-0.16771,-0.5548,3.7807,-0.0308,0.2102,20.1073,,
1872.20312,-0.14688,0.0757,3.7634,0.0042,0.2092,20.1073,,
1872.22396,-0.12604,-0.0134,3.7751,-0.0007,0.2099,20.1073,,
1872.24479,-0.10521,-0.9192,3.7487,-0.0511,0.2084,20.1073,,
1872.26562,-0.08438,2.7947,3.7487,0.1554,0.2084,20.1073,,
1872.28646,-0.06354,-5.6422,3.7600,-0.3137,0.2090,20.1073,,
1872.30729,-0.04271,2.1133,3.7774,0.1175,0.2100,20.1073,,
1872.32813,-0.02187,-4.1715,3.7726,-0.2319,0.2097,20.1073,,
1872.34896,-0.00104,-1.5497,3.7718,-0.0862,0.2097,20.1073,,
1872.36979,0.01979,9.1459,3.7956,0.5085,0.2110,19.2297,0.4506,
1872.39063,0.04063,0.3117,3.7898,0.0173,0.2107,20.1073,,
1872.41146,0.06146,0.2839,3.7980,0.0158,0.2111,20.1073,,
1872.43230,0.08230,-0.0017,3.7985,-0.0001,0.2112,20.1073,,
1872.45313,0.10313,4.4942,3.7607,0.2499,0.2091,20.0012,0.9085,
1872.47396,0.12396,2.2380,3.7673,0.1244,0.2094,20.1073,,
