BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1872.47396,0.12396,2.28905,1.14159,0.12726,0.06346,20.00852,0.45558,
1872.74480,0.39480,-1.31265,1.13516,-0.07297,0.06311,20.08676,0.81520,
1872.98439,0.63439,1.26814,1.08378,0.07049,0.06025,20.00539,0.40784,
1873.23440,0.88440,0.99735,1.08833,0.05545,0.06050,20.07409,0.52277,
1873.48440,1.13440,-0.25418,1.09922,-0.01413,0.06111,20.08649,0.80930,
1873.73441,1.38441,0.46944,1.10715,0.02610,0.06155,19.97348,0.34507,
1873.98442,1.63442,-0.53981,1.09925,-0.03001,0.06111,20.06187,0.61470,
1874.23442,1.88442,1.06504,1.09653,0.05921,0.06096,20.02820,0.47450,
1874.48443,2.13443,0.76128,1.11812,0.04232,0.06216,20.02781,0.47859,
1874.73444,2.38443,3.11139,1.10514,0.17297,0.06144,19.92678,0.33166,
1874.98444,2.63444,2.99234,1.10285,0.16635,0.06131,19.85977,0.30207,
1875.23445,2.88445,2.43991,1.10985,0.13563,0.06170,19.93110,0.32112,
1875.48445,3.13445,2.80470,1.11860,0.15593,0.06219,19.87032,0.28783,
1875.73446,3.38446,1.32962,1.11138,0.07392,0.06178,20.03548,0.49059,
1875.98446,3.63446,2.06439,1.10414,0.11477,0.06138,19.97250,0.35305,
1876.23447,3.88447,3.36183,1.11759,0.18690,0.06213,19.88492,0.28791,
1876.48447,4.13447,2.42327,1.10661,0.13471,0.06152,19.91660,0.32660,
1876.73864,4.38864,4.83324,1.21173,0.26870,0.06737,19.74072,0.22195,
1876.98448,4.63448,4.12762,1.10551,0.22947,0.06146,19.90161,0.29843,
1877.23449,4.88449,4.51689,1.10828,0.25111,0.06161,19.69195,0.21906,
1877.48449,5.13449,3.22120,1.11119,0.17907,0.06177,19.86262,0.28028,
1877.73450,5.38450,5.46402,1.11557,0.30377,0.06202,19.72293,0.22429,
1877.98450,5.63450,5.59273,1.11420,0.31092,0.06195,19.69322,0.22567,
1878.23450,5.88450,6.79725,1.10313,0.37789,0.06133,19.56787,0.19257,
1878.48451,6.13451,7.82288,1.09876,0.43491,0.06108,19.47911,0.18448,
1878.73451,6.38451,9.08092,1.11379,0.50484,0.06192,19.31351,0.15671,
1878.98452,6.63451,7.70704,1.11995,0.42845,0.06226,19.43887,0.18223,
1879.23452,6.88452,8.72981,1.11231,0.48533,0.06184,19.29757,0.15680,
1879.48452,7.13452,9.14277,1.11019,0.50828,0.06172,19.27143,0.14804,
1879.73453,7.38453,6.74228,1.12937,0.37483,0.06279,19.60517,0.20060,
1879.98453,7.63453,9.53152,1.12211,0.52988,0.06238,19.26263,0.15411,
1880.23453,7.88453,7.83303,1.11446,0.43548,0.06195,19.44672,0.17302,
1880.48454,8.13453,9.64063,1.11978,0.53597,0.06226,19.22663,0.14745,
1880.73454,8.38454,10.10599,1.11826,0.56183,0.06217,19.22929,0.14573,
1880.98454,8.63454,11.70337,1.11453,0.65063,0.06196,19.01515,0.12130,
1881.23454,8.88454,11.43928,1.11667,0.63595,0.06208,19.01403,0.11558,
1881.48455,9.13455,8.68393,1.11049,0.48276,0.06174,19.31602,0.15183,
1881.73455,9.38455,11.85197,1.11509,0.65889,0.06199,19.00451,0.10884,
1881.98455,9.63455,11.05822,1.11697,0.61477,0.06210,19.08553,0.12213,
1882.23455,9.88455,11.27757,1.12248,0.62697,0.06240,19.03197,0.11973,
1882.48455,10.13455,12.54428,1.12488,0.69739,0.06253,18.97400,0.12447,
1882.73456,10.38456,12.12427,1.11470,0.67403,0.06197,19.00595,0.12420,
1882.98872,10.63872,12.89591,1.20693,0.71694,0.06710,18.92191,0.12543,
1883.23456,10.88456,14.43216,1.10970,0.80232,0.06170,18.76800,0.09164,
1883.48456,11.13456,14.26093,1.10375,0.79282,0.06136,18.76932,0.08852,
1883.73456,11.38456,15.08027,1.11628,0.83837,0.06206,18.71489,0.08661,
1883.90470,11.55470,9.97097,2.24107,0.55433,0.12460,19.14993,0.25365,
1887.04708,14.69708,16.13532,1.69593,0.89700,0.09428,18.62333,0.11824,
1887.23458,14.88458,15.09602,1.16429,0.83923,0.06472,18.75775,0.08661,
1887.48458,15.13458,17.56862,1.14250,0.97670,0.06351,18.54546,0.07597,
1887.73458,15.38458,16.25165,1.14346,0.90348,0.06357,18.62592,0.08102,
1887.98458,15.63458,17.36188,1.14298,0.96522,0.06354,18.57026,0.07898,
1888.23458,15.88458,16.80809,1.12927,0.93445,0.06278,18.61243,0.08232,
1888.48458,16.13458,17.86282,1.12915,0.99307,0.06278,18.53397,0.07453,
1888.73458,16.38458,21.16836,1.13492,1.17683,0.06309,18.32899,0.05998,
1888.98458,16.63458,18.54547,1.12304,1.03101,0.06243,18.49694,0.07224,
1889.23458,16.88458,18.76015,1.12466,1.04294,0.06252,18.47968,0.07090,
1889.48458,17.13458,18.61535,1.13548,1.03488,0.06312,18.46992,0.06840,
1889.68250,17.33250,19.12433,1.46790,1.06320,0.08160,18.49741,0.10664,
