BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1875.29752,0.12752,0.82522,1.34180,0.04536,0.07375,19.41310,,
1875.54753,0.37753,-2.02064,1.34318,-0.11104,0.07382,19.41310,,
1875.79753,0.62753,0.83599,1.34363,0.04595,0.07385,19.37886,0.38418,
1876.04754,0.87754,3.07884,1.34720,0.16922,0.07405,19.34365,0.29976,
1876.29755,1.12755,-0.45543,1.34704,-0.02504,0.07404,19.41310,,
1876.54755,1.37755,-1.06982,1.34626,-0.05881,0.07399,19.41310,,
1876.81423,1.64423,-0.64016,1.48145,-0.03517,0.08143,19.41267,0.65500,
1877.04757,1.87757,0.19759,1.35244,0.01087,0.07433,19.41310,,
1877.29757,2.12757,3.63773,1.35285,0.19994,0.07436,19.36678,0.32340,
1877.54758,2.37758,3.44831,1.35791,0.18952,0.07463,19.39642,0.42656,
1877.79759,2.62759,2.87354,1.36610,0.15793,0.07508,19.39116,0.41354,
1878.04759,2.87759,5.06572,1.35632,0.27843,0.07454,19.35576,0.28298,
1878.29760,3.12760,-0.44806,1.35625,-0.02462,0.07454,19.41310,,
1878.54760,3.37760,0.40188,1.34990,0.02208,0.07419,19.41310,,
1878.79761,3.62761,0.11037,1.35710,0.00608,0.07459,19.41310,,
1879.04761,3.87761,2.37886,1.36076,0.13074,0.07479,19.30802,0.28011,
1879.29762,4.12762,1.48172,1.36370,0.08144,0.07495,19.41310,,
1879.54762,4.37762,1.24290,1.36403,0.06830,0.07497,19.39931,0.57040,
1879.79763,4.62763,0.77819,1.36296,0.04278,0.07491,19.40838,0.62630,
1880.04763,4.87763,2.65161,1.36635,0.14573,0.07510,19.33003,0.29785,
1880.29764,5.12764,3.73655,1.36759,0.20537,0.07517,19.38327,0.40178,
1880.54764,5.37764,3.41752,1.36054,0.18782,0.07478,19.33505,0.27180,
1880.79764,5.62765,8.34671,1.36216,0.45876,0.07487,19.21569,0.18712,
1881.04765,5.87765,5.40506,1.36071,0.29708,0.07479,19.39489,0.42586,
1881.29765,6.12765,3.78116,1.35617,0.20781,0.07453,19.37397,0.33497,
1881.54766,6.37766,5.01147,1.35772,0.27545,0.07462,19.34439,0.27904,
1881.79766,6.62766,6.48470,1.36795,0.35641,0.07518,19.28546,0.24536,
1882.04766,6.87766,4.07476,1.36790,0.22396,0.07518,19.35404,0.34570,
1882.29767,7.12767,5.53551,1.36453,0.30426,0.07500,19.22367,0.20630,
1882.54767,7.37767,8.22324,1.36981,0.45198,0.07529,19.25924,0.20781,
1882.79767,7.62767,6.24476,1.36800,0.34323,0.07519,19.27496,0.23946,
1883.06434,7.89434,3.44127,1.50470,0.18913,0.08270,19.34963,0.37360,
1883.29768,8.12768,6.88750,1.37585,0.37858,0.07562,19.27185,0.23050,
1883.54768,8.37768,6.41935,1.38226,0.35283,0.07597,19.31917,0.28493,
1883.78916,8.61916,4.73429,1.44322,0.26020,0.07933,19.29344,0.27145,
1883.95393,8.78393,5.38893,2.85407,0.29617,0.15687,19.35797,0.59900,
1887.15188,11.98189,3.71740,3.52023,0.20430,0.19347,19.41310,,
1887.33938,12.16938,9.83503,2.00781,0.54055,0.11035,19.06525,0.22892,
1887.55814,12.38814,13.88795,1.45914,0.76332,0.08019,18.79930,0.12237,
1887.79772,12.62772,11.80681,1.39914,0.64894,0.07690,18.93965,0.13564,
1888.04772,12.87772,12.58838,1.40362,0.69188,0.07714,18.90404,0.12745,
1888.29773,13.12772,11.73157,1.40216,0.64480,0.07707,18.96133,0.13831,
1888.54773,13.37773,13.31674,1.40337,0.73193,0.07713,18.84032,0.12111,
1888.79773,13.62773,12.25288,1.40198,0.67344,0.07706,18.92999,0.13514,
