BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1877.87990,0.11990,0.76250,1.22025,0.03129,0.05006,20.12169,0.62432,
1878.12990,0.36990,2.03179,1.22592,0.08335,0.05030,19.93198,0.33663,
1878.37991,0.61991,1.45637,1.22819,0.05976,0.05039,19.97908,0.33894,
1878.62991,0.86991,-0.16187,1.22538,-0.00664,0.05028,20.14432,0.62164,
1878.87992,1.11992,-1.31893,1.22890,-0.05412,0.05042,20.19582,1.09650,
1879.12992,1.36992,0.72059,1.22429,0.02957,0.05023,20.07669,0.42670,
1879.37992,1.61992,-0.99078,1.22339,-0.04064,0.05019,20.11737,0.52252,
1879.62993,1.86993,-1.00336,1.22724,-0.04117,0.05035,20.18897,1.01570,
1879.87993,2.11993,0.59292,1.23308,0.02431,0.05059,20.07121,0.43395,
1880.12993,2.36993,0.88608,1.22832,0.03635,0.05039,20.01690,0.36889,
1880.37993,2.61993,-0.06467,1.23164,-0.00266,0.05054,20.20700,,
1880.62994,2.86994,1.67593,1.22920,0.06875,0.05043,19.96944,0.32555,
1880.87994,3.11994,0.61195,1.22796,0.02509,0.05038,20.02339,0.42022,
1881.12994,3.36994,1.99141,1.23168,0.08169,0.05053,19.88479,0.30483,
1881.37994,3.61994,3.00128,1.23936,0.12312,0.05084,19.92929,0.30628,
1881.61953,3.85953,6.35427,1.29656,0.26068,0.05320,19.66582,0.24928,
1881.87995,4.11995,3.59346,1.23741,0.14743,0.05077,19.89757,0.29284,
1882.12995,4.36995,8.00686,1.23856,0.32849,0.05081,19.46574,0.21384,
1882.37995,4.61995,5.33720,1.23979,0.21897,0.05086,19.70513,0.24145,
1882.62995,4.86995,8.12227,1.23068,0.33322,0.05049,19.48369,0.22572,
1882.86329,5.10329,7.84322,1.35934,0.32179,0.05577,19.42865,0.21117,
1883.12996,5.36996,7.18260,1.22474,0.29468,0.05025,19.49260,0.18603,
1883.37996,5.61996,9.90617,1.22657,0.40641,0.05032,19.21823,0.16874,
1883.62996,5.86996,11.21995,1.22915,0.46033,0.05043,19.10993,0.16643,
1883.86746,6.10746,4.47194,1.37479,0.18346,0.05640,19.67485,0.23687,
1886.73414,8.97414,24.45455,3.68119,1.00325,0.15104,18.17585,0.17009,
1886.88850,9.12850,7.16928,1.39971,0.29414,0.05743,19.57188,0.26899,
1887.12997,9.36997,8.67210,1.29594,0.35578,0.05317,19.36725,0.19478,
1887.37997,9.61997,14.41744,1.26759,0.59149,0.05200,18.76372,0.10338,
1887.62998,9.86998,14.66667,1.26533,0.60172,0.05191,18.76075,0.10420,
1887.87998,10.11998,18.22968,1.25294,0.74790,0.05140,18.53990,0.08742,
1888.12998,10.36998,18.10706,1.25328,0.74288,0.05142,18.50248,0.07822,
1888.37998,10.61998,21.58973,1.24639,0.88576,0.05113,18.32632,0.06805,
1888.62998,10.86998,21.93651,1.24401,0.89997,0.05104,18.31997,0.06972,
1888.87998,11.11998,25.05378,1.23736,1.02787,0.05077,18.14975,0.05571,
1889.12998,11.36998,22.30237,1.24424,0.91500,0.05105,18.29064,0.06599,
1889.37998,11.61998,23.63185,1.24290,0.96953,0.05099,18.21530,0.05990,
1889.62998,11.86998,24.24608,1.23713,0.99473,0.05075,18.18082,0.05703,
1889.87998,12.11998,24.14167,1.22911,0.99046,0.05043,18.18338,0.05646,
1890.12998,12.36998,23.67157,1.22999,0.97115,0.05047,18.21328,0.05914,
1890.37998,12.61998,25.73941,1.23573,1.05601,0.05069,18.11552,0.05338,
1890.62998,12.86998,25.22976,1.23557,1.03508,0.05069,18.13750,0.05467,
1890.87998,13.11998,25.45509,1.23065,1.04435,0.05049,18.13028,0.05425,
1891.12998,13.36998,23.90577,1.22363,0.98078,0.05020,18.20526,0.05854,
1891.36331,13.60331,25.56661,1.32745,1.04891,0.05446,18.13147,0.05965,
1891.62997,13.86997,21.54454,1.23376,0.88391,0.05062,18.34338,0.07121,
1891.87997,14.11997,24.09177,1.22988,0.98840,0.05046,18.19558,0.05889,
1892.12997,14.36997,24.13711,1.22214,0.99027,0.05014,18.18802,0.05678,
1892.64039,14.88039,23.57455,1.28296,0.96718,0.05264,18.21695,0.06135,
1892.86955,15.10955,24.26025,1.27775,0.99533,0.05243,18.19419,0.06126,
