BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1881.86017,0.13017,2.43421,1.45116,0.11319,0.06748,19.83827,0.37382,
1882.11017,0.38017,1.85514,1.45280,0.08625,0.06756,19.96327,0.54487,
1882.36017,0.63017,3.49691,1.45409,0.16260,0.06762,19.75396,0.33006,
1882.61017,0.88017,-0.20444,1.45612,-0.00949,0.06771,19.94434,0.38740,
1882.83934,1.10934,1.34748,1.59602,0.06265,0.07422,19.91087,0.51372,
1883.11018,1.38018,3.80505,1.45637,0.17693,0.06772,19.77298,0.35195,
1883.36018,1.63018,-0.54613,1.45792,-0.02539,0.06779,20.00109,0.72730,
1883.61018,1.88018,-0.07582,1.46041,-0.00352,0.06791,19.93112,0.48177,
1883.85734,2.12734,3.46995,1.55454,0.16135,0.07229,19.82625,0.43851,
1887.11020,5.38020,6.49762,1.55218,0.30212,0.07217,19.41827,0.20169,
1887.36020,5.63020,4.73451,1.51884,0.22015,0.07063,19.63433,0.28263,
1887.61020,5.88020,5.97517,1.50013,0.27784,0.06976,19.63513,0.28400,
1887.86020,6.13020,4.58203,1.48970,0.21307,0.06927,19.61924,0.27934,
1888.11020,6.38020,4.10837,1.48195,0.19103,0.06891,19.72787,0.29974,
1888.36020,6.63020,7.28785,1.47471,0.33888,0.06857,19.53250,0.25639,
1888.61020,6.88020,5.24988,1.47197,0.24412,0.06845,19.65266,0.31213,
1888.86020,7.13020,7.02884,1.47050,0.32683,0.06838,19.52359,0.25456,
1889.11020,7.38020,5.31873,1.46804,0.24732,0.06826,19.61032,0.27913,
1889.36020,7.63020,5.24698,1.46555,0.24397,0.06815,19.72055,0.32144,
1889.61020,7.88020,7.06218,1.46422,0.32839,0.06809,19.51158,0.24508,
1889.86020,8.13020,5.43749,1.46246,0.25283,0.06800,19.69554,0.29660,
1890.11020,8.38020,8.05185,1.46094,0.37442,0.06793,19.42569,0.23139,
1890.36020,8.63020,7.48391,1.46153,0.34802,0.06796,19.46364,0.24746,
1890.61020,8.88020,13.12139,1.45982,0.61014,0.06788,19.03333,0.18462,
1890.86020,9.13020,9.45544,1.45850,0.43967,0.06782,19.23271,0.19051,
1891.11020,9.38020,8.97544,1.45940,0.41734,0.06786,19.30332,0.20860,
1891.33937,9.60937,9.79499,1.59876,0.45547,0.07435,19.19310,0.19729,
1891.61020,9.88020,7.12803,1.45834,0.33144,0.06781,19.52029,0.26116,
1891.86020,10.13020,10.86263,1.45825,0.50510,0.06781,19.09245,0.16657,
1892.11020,10.38020,12.58124,1.45678,0.58503,0.06773,18.94392,0.15841,
1892.24561,10.51561,7.26630,5.03360,0.33790,0.23410,19.47950,0.75210,
1892.63103,10.90103,10.51418,1.59472,0.48890,0.07416,19.10778,0.17957,
1892.86019,11.13019,13.59728,1.45301,0.63228,0.06757,18.88135,0.12684,
1893.11019,11.38019,13.04937,1.45151,0.60678,0.06750,18.96917,0.16195,
1893.36019,11.63019,14.71573,1.45099,0.68429,0.06747,18.75563,0.12032,
1893.61019,11.88019,15.86824,1.44952,0.73787,0.06741,18.67687,0.11329,
1893.86018,12.13018,15.00138,1.44908,0.69755,0.06738,18.75656,0.13370,
1894.11018,12.38018,16.27219,1.44843,0.75667,0.06735,18.62646,0.10280,
1894.36018,12.63018,16.82290,1.44778,0.78226,0.06732,18.63922,0.12182,
1894.61017,12.88017,15.60639,1.44837,0.72570,0.06735,18.66657,0.10536,
1894.86017,13.13017,20.31512,1.44779,0.94465,0.06732,18.38186,0.08174,
1895.12059,13.39059,17.21120,1.39013,0.80031,0.06464,18.58328,0.09822,
1895.38100,13.65100,18.66236,1.44465,0.86780,0.06718,18.51076,0.09713,
1895.63100,13.90099,16.20561,1.44348,0.75355,0.06712,18.65348,0.11104,
1895.88099,14.15099,22.66088,1.44347,1.05374,0.06712,18.29563,0.08343,
1896.13099,14.40099,19.42930,1.44210,0.90346,0.06706,18.45336,0.09125,
1896.38098,14.65098,17.95159,1.44333,0.83475,0.06712,18.53724,0.09808,
1896.63098,14.90098,17.53449,1.44341,0.81535,0.06712,18.55444,0.09910,
1896.88098,15.15098,18.33952,1.44277,0.85278,0.06709,18.49224,0.09023,
1897.13097,15.40097,20.01616,1.44301,0.93075,0.06710,18.39372,0.08166,
1897.38096,15.65096,18.61475,1.43867,0.86557,0.06690,18.49416,0.09261,
1897.63096,15.90096,21.09695,1.43898,0.98100,0.06691,18.36143,0.08383,
1897.76637,16.03637,19.03080,4.98250,0.88490,0.23170,18.43420,0.28430,
