BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1889.96986,0.12986,3.63607,1.55097,0.03024,0.01291,19.47875,0.08690,0.00000
1890.21986,0.37986,0.73325,1.68457,0.00609,0.01401,19.53983,0.10116,0.00000
1890.45944,0.61944,4.38843,1.61216,0.03652,0.01342,19.43317,0.12820,0.00000
1890.70945,0.86945,6.62773,1.61261,0.05514,0.01342,19.33118,0.07900,0.00000
1890.95945,1.11945,5.84440,1.61032,0.04863,0.01340,19.34334,0.13948,0.00000
1891.20945,1.36945,6.37472,1.60983,0.05304,0.01339,19.29884,0.09540,0.00000
1891.45945,1.61945,5.85821,1.76514,0.04875,0.01469,19.29393,0.15021,0.00000
1891.70945,1.86945,4.69593,1.61193,0.03908,0.01341,19.40385,0.12097,0.00000
1891.95945,2.11945,5.50531,1.61407,0.04581,0.01343,19.38467,0.12241,0.00000
1892.16778,2.32778,8.47310,1.97634,0.07051,0.01644,19.25479,0.22809,0.00000
1892.55320,2.71320,5.17120,3.21938,0.04303,0.02679,19.40963,0.19220,0.00000
1892.70945,2.86945,11.84692,1.61219,0.09857,0.01341,18.92214,0.13759,0.00000
1892.95945,3.11945,13.28199,1.61217,0.11051,0.01342,18.86112,0.14598,0.00000
1893.20945,3.36945,14.13412,1.61236,0.11762,0.01341,18.82180,0.14773,0.00000
1893.45945,3.61945,14.73407,1.60785,0.12258,0.01338,18.74682,0.10441,0.00000
1893.70946,3.86946,15.93418,1.60836,0.13257,0.01338,18.67087,0.11150,0.00000
1893.95946,4.11946,17.99164,1.60888,0.14969,0.01339,18.59718,0.08803,0.00000
1894.20946,4.36946,18.60773,1.61002,0.15482,0.01339,18.52172,0.11413,0.00000
1894.45946,4.61946,25.84736,1.60861,0.21507,0.01338,18.12026,0.07116,0.00000
1894.70946,4.86946,26.26717,1.61125,0.21855,0.01341,18.11952,0.07486,0.00000
1894.95946,5.11946,25.35501,1.61336,0.21096,0.01342,18.13592,0.07153,0.00000
1895.20946,5.36946,31.92150,1.61380,0.26560,0.01343,17.90056,0.05962,0.00000
1895.45946,5.61946,34.66107,1.61433,0.28841,0.01343,17.80297,0.05322,0.00000
1895.70946,5.86946,36.38347,1.61175,0.30272,0.01341,17.74518,0.05021,0.00000
1895.95946,6.11946,37.67032,1.61109,0.31343,0.01341,17.71175,0.04892,0.00000
1896.20946,6.36946,44.32666,1.61400,0.36883,0.01343,17.52337,0.04030,0.00000
1896.45946,6.61946,42.59228,1.61404,0.35441,0.01343,17.56854,0.04218,0.00000
1896.70947,6.86947,48.73407,1.61117,0.40550,0.01340,17.41813,0.03640,0.00000
1896.95947,7.11947,47.75369,1.61059,0.39734,0.01340,17.44562,0.03768,0.00000
1897.20947,7.36947,55.35534,1.61174,0.46056,0.01341,17.27954,0.03203,0.00000
1897.45947,7.61947,57.84882,1.61121,0.48133,0.01340,17.23571,0.03096,0.00000
1897.67822,7.83822,63.25381,1.86323,0.52630,0.01550,17.13324,0.03228,0.00000
1900.74072,10.90072,86.01664,2.38566,0.71569,0.01986,16.80173,0.03057,107.00000
1900.96420,11.12420,88.50881,1.84649,0.73645,0.01536,16.76974,0.02297,107.00000
1901.20947,11.36947,95.87667,1.73387,0.79775,0.01443,16.68128,0.01978,107.00000
1901.45947,11.61947,103.51170,1.69866,0.86128,0.01413,16.59650,0.01789,107.00000
1901.70947,11.86947,97.60083,1.70645,0.81208,0.01420,16.66159,0.01910,107.00000
1901.95947,12.11947,92.20337,1.69617,0.76718,0.01412,16.72311,0.02008,107.00000
1902.20947,12.36947,97.70771,1.67488,0.81297,0.01394,16.65969,0.01871,107.00000
1902.45947,12.61947,95.41058,1.68603,0.79387,0.01403,16.68777,0.01941,107.00000
1902.70947,12.86947,97.68280,1.63886,0.81277,0.01363,16.65901,0.01825,107.00000
1902.95947,13.11947,102.43540,1.60365,0.85233,0.01335,16.60777,0.01706,107.00000
1903.20947,13.36947,102.14159,1.61174,0.84985,0.01341,16.61150,0.01722,107.00000
1903.45947,13.61947,104.12640,1.63206,0.86638,0.01358,16.58992,0.01708,107.00000
1903.70947,13.86947,105.08800,1.63827,0.87438,0.01363,16.58088,0.01703,107.00000
1903.95947,14.11947,106.47192,1.59895,0.88590,0.01331,16.56605,0.01637,107.00000
1904.20947,14.36947,108.59330,1.60652,0.90353,0.01337,16.54393,0.01609,107.00000
1904.45947,14.61947,114.74531,1.61510,0.95473,0.01344,16.48394,0.01530,107.00000
1904.70852,14.86852,111.96911,1.68314,0.93162,0.01401,16.51125,0.01637,107.00000
1904.95947,15.11947,117.11517,1.62388,0.97446,0.01351,16.46248,0.01510,107.00000
1905.20947,15.36947,113.80271,1.63975,0.94689,0.01365,16.49411,0.01571,107.00000
1905.45947,15.61947,116.45984,1.63453,0.96900,0.01360,16.46862,0.01529,107.00000
1905.70947,15.86947,115.73936,1.64207,0.96301,0.01367,16.47587,0.01548,107.00000
1905.95947,16.11947,112.16538,1.75109,0.93329,0.01457,16.50991,0.01703,107.00000
1906.12613,16.28613,108.72635,2.69376,0.90463,0.02243,16.54505,0.02710,107.00000
