BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1842.51606,-16.95394,7.4837,5.0092,0.5061,0.3388,19.4475,0.7267,
1842.53690,-16.93310,3.1910,5.2314,0.2158,0.3538,19.6273,,
1842.55773,-16.91227,3.0717,5.1446,0.2077,0.3479,19.6273,,
1842.57857,-16.89143,-5.2172,5.1425,-0.3529,0.3478,19.6273,,
1842.59940,-16.87060,2.2958,5.1052,0.1553,0.3453,19.6273,,
1842.62023,-16.84977,8.0036,5.1814,0.5413,0.3504,19.3746,0.7029,
1842.68273,-16.78727,-0.6014,5.2120,-0.0407,0.3525,19.6273,,
1842.74524,-16.72476,-3.3891,5.0972,-0.2292,0.3447,19.6273,,
1842.76607,-16.70393,5.9564,5.1842,0.4029,0.3506,19.6273,,
1842.78690,-16.68310,1.3194,5.2205,0.0892,0.3531,19.6273,,
1842.80774,-16.66226,-0.0247,5.0545,-0.0017,0.3419,19.6273,,
1842.82857,-16.64143,-7.2769,5.0685,-0.4922,0.3428,19.6273,,
1842.84940,-16.62060,-1.5867,5.1728,-0.1073,0.3499,19.6273,,
1842.87024,-16.59976,-9.3122,5.1947,-0.6298,0.3513,19.6273,,
1842.89107,-16.57893,8.6027,5.1486,0.5818,0.3482,19.2962,0.6498,
1842.91191,-16.55809,-4.3940,5.1657,-0.2972,0.3494,19.6273,,
1842.93274,-16.53726,9.1746,5.1342,0.6205,0.3472,19.2263,0.6076,
1842.95357,-16.51643,-1.6282,5.1935,-0.1101,0.3513,19.6273,,
1842.97441,-16.49559,-4.4661,5.1851,-0.3021,0.3507,19.6273,,
1842.99524,-16.47476,6.3442,5.2121,0.4291,0.3525,19.6269,0.8920,
1843.01607,-16.45393,3.4555,5.2171,0.2337,0.3529,19.6273,,
1843.03691,-16.43309,3.4983,5.1013,0.2366,0.3450,19.6273,,
1843.05774,-16.41226,4.2280,5.1467,0.2860,0.3481,19.6273,,
1843.07858,-16.39142,0.5343,5.2463,0.0361,0.3548,19.6273,,
1843.09941,-16.37059,-2.1707,5.1804,-0.1468,0.3504,19.6273,,
1843.12024,-16.34976,3.1797,5.1830,0.2151,0.3505,19.6273,,
1843.14108,-16.32892,5.5818,5.1389,0.3775,0.3476,19.6273,,
1843.16191,-16.30809,5.6464,5.2420,0.3819,0.3545,19.6273,,
1843.18275,-16.28725,3.5142,5.2389,0.2377,0.3543,19.6273,,
1843.20358,-16.26642,-1.2220,5.2943,-0.0826,0.3581,19.6273,,
1843.22441,-16.24559,-0.1503,5.3029,-0.0102,0.3587,19.6273,,
1843.24525,-16.22475,-3.9161,5.2769,-0.2649,0.3569,19.6273,,
1843.26608,-16.20392,-2.4000,5.1497,-0.1623,0.3483,19.6273,,
1843.28691,-16.18309,0.5205,5.0752,0.0352,0.3433,19.6273,,
1843.30775,-16.16225,8.8514,5.3205,0.5987,0.3598,19.2653,0.6526,
1843.32858,-16.14142,5.3500,5.3773,0.3618,0.3637,19.6273,,
1843.34942,-16.12058,4.4684,5.4111,0.3022,0.3660,19.6273,,
1843.37025,-16.09975,0.1352,5.2956,0.0091,0.3582,19.6273,,
1843.39108,-16.07892,1.1302,5.3135,0.0764,0.3594,19.6273,,
1843.41192,-16.05808,6.3412,5.3428,0.4289,0.3614,19.6273,,
1843.43275,-16.03725,3.0096,5.2936,0.2035,0.3580,19.6273,,
1843.45358,-16.01642,-8.7639,5.1850,-0.5927,0.3507,19.6273,,
1843.47442,-15.99558,5.3012,5.1452,0.3585,0.3480,19.6273,,
1843.49525,-15.97475,-3.7677,5.1889,-0.2548,0.3509,19.6273,,
1843.51609,-15.95391,3.9214,5.2783,0.2652,0.3570,19.6273,,
1843.53692,-15.93308,0.6257,5.0736,0.0423,0.3431,19.6273,,
1843.55775,-15.91225,-8.0672,5.1228,-0.5456,0.3465,19.6273,,
1843.57859,-15.89141,-2.2573,5.0594,-0.1527,0.3422,19.6273,,
1843.59942,-15.87058,2.9622,5.0032,0.2003,0.3384,19.6273,,
1843.62025,-15.84975,-6.6706,5.0428,-0.4512,0.3411,19.6273,,
1843.64109,-15.82891,6.4729,5.2602,0.4378,0.3558,19.6051,0.8823,
1843.66192,-15.80808,-5.8342,5.0103,-0.3946,0.3389,19.6273,,
1843.68276,-15.78724,0.3973,5.0914,0.0269,0.3444,19.6273,,
1843.70359,-15.76641,-0.0221,5.0406,-0.0015,0.3409,19.6273,,
1843.72442,-15.74558,1.1344,5.0521,0.0767,0.3417,19.6273,,
1843.74526,-15.72474,-8.1169,5.0267,-0.5490,0.3400,19.6273,,
1843.76609,-15.70391,2.5594,5.2611,0.1731,0.3558,19.6273,,
1843.80776,-15.66224,-0.7365,4.8235,-0.0498,0.3262,19.6273,,
1843.82859,-15.64141,1.8369,5.0503,0.1242,0.3416,19.6273,,
1843.84942,-15.62058,2.8672,5.1321,0.1939,0.3471,19.6273,,
1843.87026,-15.59974,-0.1316,5.1234,-0.0089,0.3465,19.6273,,
1843.89109,-15.57891,-2.7716,5.3348,-0.1875,0.3608,19.6273,,
