BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1889.52820,3.54820,10.98830,1.90445,0.32153,0.05572,19.09592,0.21617,
1889.80134,3.82134,11.05065,1.72870,0.32335,0.05059,19.15192,0.22704,
1890.04092,4.06092,5.41424,1.65542,0.15843,0.04844,19.55273,0.28368,
1890.29092,4.31092,10.59165,1.65536,0.30992,0.04844,19.14670,0.20750,
1890.54091,4.56091,13.58627,1.68743,0.39754,0.04937,18.88412,0.13671,
1890.79091,4.81091,12.87996,1.66314,0.37689,0.04866,18.94457,0.19194,
1891.04090,5.06090,13.73407,1.65362,0.40188,0.04839,18.85670,0.16138,
1891.29090,5.31090,13.89970,1.63198,0.40673,0.04776,18.81212,0.13254,
1891.55756,5.57756,15.37348,1.79549,0.44984,0.05254,18.80297,0.19016,
1891.79089,5.81089,18.63395,1.63489,0.54526,0.04784,18.50300,0.10700,
1892.04089,6.06089,16.77068,1.64906,0.49073,0.04825,18.64898,0.13712,
1892.20755,6.22755,18.50212,2.85331,0.54137,0.08349,18.46795,0.16890,
1892.59296,6.61296,20.07163,2.16556,0.58731,0.06336,18.41841,0.13133,
1892.79088,6.81088,20.23533,1.64862,0.59212,0.04824,18.42212,0.10200,
1893.04087,7.06087,21.18638,1.61887,0.61992,0.04737,18.33756,0.08789,
1893.29087,7.31087,21.04845,1.64576,0.61589,0.04816,18.35416,0.09276,
1893.54087,7.56087,22.17213,1.65091,0.64878,0.04831,18.28384,0.08432,
1893.79086,7.81086,24.21428,1.65251,0.70852,0.04836,18.19972,0.08039,
1894.04086,8.06086,22.47644,1.64702,0.65769,0.04820,18.28539,0.08642,
1894.29086,8.31086,27.05128,1.64790,0.79153,0.04822,18.06887,0.06948,
1894.54085,8.56085,25.04382,1.63257,0.73281,0.04777,18.16010,0.07596,
1894.79085,8.81085,27.04603,1.64726,0.79139,0.04820,18.06775,0.06895,
1895.04085,9.06085,26.48044,1.64299,0.77485,0.04808,18.09056,0.07020,
1895.29084,9.31084,29.31808,1.63713,0.85788,0.04790,17.99517,0.06605,
1895.54084,9.56084,28.65758,1.64973,0.83856,0.04827,18.01104,0.06625,
1895.79084,9.81084,28.63221,1.64888,0.83782,0.04825,18.00459,0.06499,
1896.04083,10.06083,32.91262,1.64072,0.96306,0.04801,17.85543,0.05679,
1896.29083,10.31083,30.80111,1.63442,0.90126,0.04783,17.92333,0.05963,
1896.54083,10.56083,33.98303,1.64495,0.99438,0.04814,17.81461,0.05423,
1896.79082,10.81082,30.43420,1.63154,0.89052,0.04774,17.94881,0.06220,
1897.04290,11.06290,35.49883,1.79988,1.03873,0.05266,17.77819,0.05898,
1897.29082,11.31082,31.09892,1.64661,0.90997,0.04818,17.90867,0.05883,
1897.54082,11.56082,32.55915,1.63491,0.95271,0.04784,17.86072,0.05599,
1897.71790,11.73790,31.34976,2.57044,0.91734,0.07521,17.90276,0.09167,
