BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1899.70001,-0.31999,-1.9148,7.1412,-0.0419,0.1564,19.8364,,
1899.74167,-0.27833,-2.5684,6.9869,-0.0563,0.1531,19.8364,,
1899.76251,-0.25749,-0.5258,6.9677,-0.0115,0.1526,19.8364,,
1899.78334,-0.23666,-3.4685,6.9116,-0.0760,0.1514,19.8364,,
1899.80418,-0.21582,-1.4593,6.8534,-0.0320,0.1501,19.8364,,
1899.82501,-0.19499,-10.0487,6.8191,-0.2201,0.1494,19.8364,,
1899.86668,-0.15332,8.0491,6.6114,0.1763,0.1448,19.3684,0.8918,
1899.88751,-0.13249,4.3837,6.5994,0.0960,0.1446,19.8364,,
1899.90834,-0.11166,-2.4108,6.5575,-0.0528,0.1436,19.8364,,
1899.92918,-0.09082,11.9816,6.5039,0.2625,0.1425,18.9365,0.5894,
1899.95001,-0.06999,4.8130,6.4183,0.1054,0.1406,19.8364,,
1899.99168,-0.02832,8.8155,6.3450,0.1931,0.1390,19.2697,0.7815,
1900.01251,-0.00749,-7.4812,6.2682,-0.1639,0.1373,19.8364,,
1900.03335,0.01335,-0.7302,6.2190,-0.0160,0.1362,19.8364,,
1900.05418,0.03418,0.9464,6.1896,0.0207,0.1356,19.8364,,
1900.07502,0.05502,-3.3881,6.1018,-0.0742,0.1337,19.8364,,
1900.09585,0.07585,-0.5287,6.0632,-0.0116,0.1328,19.8364,,
1900.11668,0.09668,-0.4943,6.0833,-0.0108,0.1333,19.8364,,
1900.13752,0.11752,-8.6697,6.0542,-0.1899,0.1326,19.8364,,
1900.15835,0.13835,2.3633,5.9729,0.0518,0.1308,19.8364,,
1900.17918,0.15918,-4.3341,5.9890,-0.0949,0.1312,19.8364,,
1900.20002,0.18002,1.0379,5.9645,0.0227,0.1307,19.8364,,
1900.22085,0.20085,-12.5335,6.0104,-0.2746,0.1317,19.8364,,
1900.24169,0.22169,-3.8470,5.9786,-0.0843,0.1310,19.8364,,
1900.26252,0.24252,-4.7288,5.9234,-0.1036,0.1298,19.8364,,
1900.28335,0.26335,5.8820,5.8730,0.1288,0.1287,19.7090,1.0841,
1900.30419,0.28419,-1.9062,5.8948,-0.0418,0.1291,19.8364,,
1900.32502,0.30502,8.8315,5.8732,0.1935,0.1287,19.2677,0.7221,
1900.34586,0.32586,-1.2021,5.8032,-0.0263,0.1271,19.8364,,
1900.36669,0.34669,11.6775,5.8091,0.2558,0.1273,18.9644,0.5401,
1900.38752,0.36752,1.3981,5.7196,0.0306,0.1253,19.8364,,
1900.42919,0.40919,0.1238,5.8500,0.0027,0.1281,19.8364,,
1900.45003,0.43003,6.2442,5.8069,0.1368,0.1272,19.6441,1.0097,
1900.47086,0.45086,1.1259,5.7694,0.0247,0.1264,19.8364,,
1900.49169,0.47169,0.1231,5.6397,0.0027,0.1235,19.8364,,
1900.53336,0.51336,4.4976,5.6663,0.0985,0.1241,19.8364,,
