BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1900.15835,0.13835,-2.23268,1.67333,-0.04892,0.03666,19.82660,1.08410,
1900.39678,0.37678,2.93509,1.93223,0.06430,0.04233,19.65496,0.45125,
1900.64795,0.62795,-0.66319,1.61732,-0.01452,0.03542,19.83640,,
1900.89795,0.87795,4.16127,1.57095,0.09115,0.03442,19.72042,0.42884,
1901.12713,1.10713,1.32936,1.68745,0.02911,0.03696,19.80627,0.84780,
1901.39702,1.37702,2.51512,1.60703,0.05511,0.03520,19.71915,0.48431,
1901.64798,1.62798,5.51029,1.50488,0.12071,0.03297,19.49338,0.25699,
1901.89798,1.87798,5.42116,1.47924,0.11877,0.03240,19.58628,0.28786,
1902.14799,2.12799,4.70477,1.49952,0.10307,0.03284,19.64765,0.31782,
1902.39799,2.37799,6.42763,1.46597,0.14082,0.03211,19.50790,0.24841,
1902.64800,2.62800,9.68503,1.44688,0.21215,0.03170,19.20390,0.17742,
1902.89801,2.87801,8.97036,1.44674,0.19651,0.03169,19.22792,0.18065,
1903.14801,3.12801,11.44703,1.44344,0.25076,0.03162,19.01946,0.15121,
1903.39802,3.37802,9.66530,1.42612,0.21173,0.03124,19.23636,0.16464,
1903.64803,3.62803,11.83559,1.42706,0.25928,0.03126,19.01300,0.14386,
1903.89803,3.87803,11.96520,1.42027,0.26211,0.03111,18.98685,0.14474,
1904.14804,4.12804,14.40019,1.41962,0.31545,0.03110,18.81258,0.13850,
1904.39805,4.37805,14.80037,1.40181,0.32421,0.03071,18.78448,0.11572,
1904.63139,4.61139,13.38688,1.53430,0.29325,0.03361,18.84734,0.12571,
1904.89806,4.87806,14.26406,1.41520,0.31247,0.03100,18.77217,0.11522,
1905.14807,5.12807,13.66046,1.40227,0.29925,0.03072,18.85179,0.12127,
1905.39807,5.37807,16.61255,1.42117,0.36392,0.03113,18.63914,0.10639,
1905.64808,5.62808,15.15981,1.41690,0.33207,0.03104,18.75961,0.13151,
1905.88559,5.86559,14.95392,1.52404,0.32757,0.03338,18.73611,0.12486,
1906.14809,6.12809,17.25462,1.38857,0.37798,0.03042,18.54547,0.08856,
1906.39810,6.37810,18.09987,1.39924,0.39649,0.03066,18.52058,0.09191,
1906.64811,6.62811,19.57347,1.39852,0.42876,0.03064,18.45123,0.09502,
1906.89811,6.87811,16.46941,1.38709,0.36075,0.03038,18.64358,0.11490,
1907.14812,7.12812,20.01359,1.39238,0.43841,0.03051,18.42680,0.08797,
1907.39812,7.37813,21.30454,1.38205,0.46670,0.03027,18.33608,0.07617,
1907.64813,7.62813,20.83001,1.37872,0.45629,0.03020,18.37164,0.07977,
1907.89814,7.87814,22.23416,1.38399,0.48705,0.03032,18.29598,0.07383,
