BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1900.86893,-7.51107,-5.9793,5.3402,-0.1995,0.1782,21.0491,,
1900.88977,-7.49023,4.7234,5.2979,0.1576,0.1767,19.9472,1.2178,
1900.91060,-7.46940,-8.6499,5.4126,-0.2886,0.1806,21.0491,,
1900.93143,-7.44857,-0.4529,5.2696,-0.0151,0.1758,21.0491,,
1900.95227,-7.42773,7.2214,5.2636,0.2409,0.1756,19.4863,0.7914,
1900.97310,-7.40690,1.9515,5.2889,0.0651,0.1764,20.9069,2.9425,
1900.99393,-7.38607,3.9514,5.3073,0.1318,0.1771,20.1409,1.4583,
1901.01477,-7.36523,-6.5066,5.1870,-0.2171,0.1730,21.0491,,
1901.03560,-7.34440,-3.8918,5.2446,-0.1298,0.1750,21.0491,,
1901.05643,-7.32357,8.8661,5.3178,0.2958,0.1774,19.2635,0.6512,
1901.07726,-7.30274,-2.4707,5.1233,-0.0824,0.1709,21.0491,,
1901.09810,-7.28190,-0.6349,5.0818,-0.0212,0.1695,21.0491,,
1901.11893,-7.26107,-3.0972,5.0711,-0.1033,0.1692,21.0491,,
1901.13976,-7.24024,23.4792,5.1838,0.7833,0.1729,18.2061,0.2397,
1901.16060,-7.21940,0.4176,5.1885,0.0139,0.1731,21.0491,,
1901.18143,-7.19857,4.3102,5.0072,0.1438,0.1671,20.0466,1.2613,
1901.20226,-7.17774,10.4601,4.9726,0.3490,0.1659,19.0840,0.5161,
1901.22310,-7.15690,7.7848,4.9268,0.2597,0.1644,19.4047,0.6871,
1901.24393,-7.13607,5.4033,5.0069,0.1803,0.1670,19.8012,1.0061,
1901.26476,-7.11524,0.1091,5.0570,0.0036,0.1687,21.0491,,
1901.28560,-7.09440,-7.2265,5.0255,-0.2411,0.1677,21.0491,,
1901.30643,-7.07357,-2.5007,5.0013,-0.0834,0.1669,21.0491,,
1901.32726,-7.05274,2.5113,4.9983,0.0838,0.1668,20.6331,2.1610,
1901.34810,-7.03190,-4.1044,4.9665,-0.1369,0.1657,21.0491,,
1901.36893,-7.01107,7.9867,4.9513,0.2665,0.1652,19.3769,0.6731,
1901.38976,-6.99024,-1.2692,4.9260,-0.0423,0.1643,21.0491,,
1901.41060,-6.96940,6.0089,4.8899,0.2005,0.1631,19.6858,0.8835,
1901.43143,-6.94857,-6.7541,4.8271,-0.2253,0.1610,21.0491,,
1901.45226,-6.92774,-1.3190,4.8145,-0.0440,0.1606,21.0491,,
1901.47310,-6.90690,-5.9848,4.7894,-0.1997,0.1598,21.0491,,
1901.49393,-6.88607,1.7651,4.7987,0.0589,0.1601,21.0159,2.9518,
1901.51476,-6.86524,7.6774,4.9050,0.2561,0.1636,19.4198,0.6937,
1901.53560,-6.84440,13.1570,4.7972,0.4389,0.1600,18.8349,0.3959,
1901.55643,-6.82357,2.9839,4.7939,0.0995,0.1599,20.4459,1.7443,
1901.57726,-6.80274,-6.3257,4.6978,-0.2110,0.1567,21.0491,,
1901.59810,-6.78190,-5.0261,4.7351,-0.1677,0.1580,21.0491,,
1901.61893,-6.76107,0.5434,4.7453,0.0181,0.1583,21.0491,,
1901.63976,-6.74024,8.7052,4.7401,0.2904,0.1581,19.2834,0.5912,
1901.66060,-6.71940,1.7917,4.6785,0.0598,0.1561,20.9996,2.8351,
1901.68143,-6.69857,-11.7194,4.6185,-0.3910,0.1541,21.0491,,
1901.70226,-6.67774,-6.5555,4.6732,-0.2187,0.1559,21.0491,,
1901.72310,-6.65690,-4.4322,4.6766,-0.1479,0.1560,21.0491,,
1901.74393,-6.63607,4.7978,4.6717,0.1601,0.1559,19.9302,1.0572,
1901.76476,-6.61524,-3.5833,4.7546,-0.1195,0.1586,21.0491,,
1901.78560,-6.59440,-2.5122,4.7076,-0.0838,0.1571,21.0491,,
1901.80643,-6.57357,1.6914,4.6867,0.0564,0.1564,21.0491,,
1901.82726,-6.55274,-1.1155,4.6757,-0.0372,0.1560,21.0491,,
1901.84810,-6.53190,-3.8783,4.6572,-0.1294,0.1554,21.0491,,
1901.86893,-6.51107,1.9306,4.6201,0.0644,0.1541,20.9186,2.5983,
1901.88976,-6.49024,1.4998,4.6219,0.0500,0.1542,21.0491,,
1901.91060,-6.46940,4.1438,4.6012,0.1382,0.1535,20.0893,1.2056,
1901.93143,-6.44857,6.1161,4.5598,0.2040,0.1521,19.6666,0.8095,
1901.95226,-6.42774,-8.5739,4.5044,-0.2860,0.1503,21.0491,,
1901.97310,-6.40690,2.0208,4.4731,0.0674,0.1492,20.8690,2.4033,
1901.99393,-6.38607,-0.0787,4.4575,-0.0026,0.1487,21.0491,,
1902.01476,-6.36524,-8.0075,4.4886,-0.2671,0.1497,21.0491,,
1902.03560,-6.34440,8.2870,4.4374,0.2765,0.1480,19.3368,0.5814,
1902.05643,-6.32357,-1.0942,4.4046,-0.0365,0.1469,21.0491,,
1902.07726,-6.30274,-5.6140,4.4656,-0.1873,0.1490,21.0491,,
1902.09810,-6.28190,4.6009,4.4483,0.1535,0.1484,19.9757,1.0497,
1902.11893,-6.26107,4.0363,4.4090,0.1347,0.1471,20.1179,1.1860,
1902.13976,-6.24024,0.0512,4.3942,0.0017,0.1466,21.0491,,
1902.16060,-6.21940,-1.2680,4.4246,-0.0423,0.1476,21.0491,,
1902.18143,-6.19857,9.4648,4.3193,0.3158,0.1441,19.1925,0.4955,
1902.20226,-6.17774,4.3063,4.3107,0.1437,0.1438,20.0475,1.0868,
1902.22309,-6.15691,3.9926,4.2694,0.1332,0.1424,20.1297,1.1610,
1902.24393,-6.13607,1.7083,4.3283,0.0570,0.1444,21.0491,,
1902.26476,-6.11524,-1.2311,4.3147,-0.0411,0.1439,21.0491,,
1902.28559,-6.09441,-5.1290,4.3032,-0.1711,0.1436,21.0491,,
1902.30643,-6.07357,0.1251,4.3409,0.0042,0.1448,21.0491,,
1902.32726,-6.05274,-1.1246,4.3350,-0.0375,0.1446,21.0491,,
1902.34809,-6.03191,-9.0548,4.3135,-0.3021,0.1439,21.0491,,
1902.36893,-6.01107,-0.6659,4.2811,-0.0222,0.1428,21.0491,,
1902.38976,-5.99024,-3.7000,4.2609,-0.1234,0.1422,21.0491,,
1902.41059,-5.96941,-1.0927,4.2113,-0.0365,0.1405,21.0491,,
1902.43143,-5.94857,-0.7297,4.2348,-0.0243,0.1413,21.0491,,
1902.45226,-5.92774,0.4263,4.1663,0.0142,0.1390,21.0491,,
1902.47309,-5.90691,6.1294,4.2534,0.2045,0.1419,19.6643,0.7534,
1902.49393,-5.88607,-3.7502,4.2097,-0.1251,0.1404,21.0491,,
1902.51476,-5.86524,4.7722,4.2887,0.1592,0.1431,19.9360,0.9757,
1902.53559,-5.84441,2.8701,4.3059,0.0958,0.1437,20.4881,1.6289,
1902.55643,-5.82357,3.7849,4.2895,0.1263,0.1431,20.1877,1.2305,
1902.57726,-5.80274,9.5035,4.2167,0.3171,0.1407,19.1881,0.4817,
1902.59809,-5.78191,3.7834,4.2792,0.1262,0.1428,20.1881,1.2280,
1902.61893,-5.76107,-1.9886,4.2825,-0.0663,0.1429,21.0491,,
1902.63976,-5.74024,-1.3604,4.2791,-0.0454,0.1428,21.0491,,
1902.66059,-5.71941,6.4695,4.2515,0.2158,0.1418,19.6056,0.7135,
1902.68143,-5.69857,2.2023,4.2799,0.0735,0.1428,20.7756,2.1100,
1902.70226,-5.67774,-4.2600,4.2264,-0.1421,0.1410,21.0491,,
1902.72309,-5.65691,1.1148,4.2577,0.0372,0.1420,21.0491,,
1902.74393,-5.63607,0.5236,4.2486,0.0175,0.1417,21.0491,,
1902.76476,-5.61524,3.5175,4.2264,0.1174,0.1410,20.2672,1.3045,
1902.78559,-5.59441,1.8893,4.2476,0.0630,0.1417,20.9420,2.4409,
1902.80643,-5.57357,-1.0839,4.2764,-0.0362,0.1427,21.0491,,
1902.82726,-5.55274,-10.9369,4.3099,-0.3649,0.1438,21.0491,,
1902.84809,-5.53191,-3.2160,4.2572,-0.1073,0.1420,21.0491,,
