BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1902.36886,-13.75114,-2.0069,4.1683,-0.0947,0.1967,20.7148,,
1902.38969,-13.73031,-2.3817,4.1720,-0.1124,0.1969,20.7148,,
1902.41052,-13.70948,-9.2039,4.1709,-0.4343,0.1968,20.7148,,
1902.43136,-13.68864,-3.1096,4.1703,-0.1467,0.1968,20.7148,,
1902.47302,-13.64698,-2.1730,4.1433,-0.1025,0.1955,20.7148,,
1902.49386,-13.62614,4.1183,4.1491,0.1943,0.1958,20.0960,1.0939,
1902.51469,-13.60531,-7.2495,4.1360,-0.3421,0.1952,20.7148,,
1902.53552,-13.58448,1.0254,4.1507,0.0484,0.1959,20.7148,,
1902.55636,-13.56364,2.2669,4.1708,0.1070,0.1968,20.7148,,
1902.57719,-13.54281,-3.2332,4.1846,-0.1526,0.1974,20.7148,,
1902.59802,-13.52198,-0.9351,4.1469,-0.0441,0.1957,20.7148,,
1902.61886,-13.50114,-3.2427,4.1245,-0.1530,0.1946,20.7148,,
1902.63969,-13.48031,3.6590,4.1157,0.1726,0.1942,20.2244,1.2213,
1902.66052,-13.45948,-6.5153,4.0781,-0.3074,0.1924,20.7148,,
1902.68136,-13.43864,-3.6452,4.1206,-0.1720,0.1944,20.7148,,
1902.70219,-13.41781,2.0621,4.0889,0.0973,0.1929,20.7148,,
1902.72302,-13.39698,6.9338,4.1315,0.3272,0.1949,19.5304,0.6469,
1902.74386,-13.37614,-0.1003,4.1190,-0.0047,0.1944,20.7148,,
1902.76469,-13.35531,-2.1630,4.0960,-0.1021,0.1933,20.7148,,
1902.78552,-13.33448,5.6136,4.0896,0.2649,0.1930,19.7597,0.7910,
1902.80636,-13.31364,1.0553,4.1255,0.0498,0.1947,20.7148,,
1902.82719,-13.29281,-3.6860,4.0909,-0.1739,0.1930,20.7148,,
1902.84802,-13.27198,-3.1556,4.0917,-0.1489,0.1931,20.7148,,
1902.86886,-13.25114,-2.7328,4.0994,-0.1289,0.1934,20.7148,,
1902.88969,-13.23031,0.8541,4.0644,0.0403,0.1918,20.7148,,
1902.91052,-13.20948,0.1428,4.0928,0.0067,0.1931,20.7148,,
1902.93136,-13.18864,5.6665,4.1027,0.2674,0.1936,19.7495,0.7861,
1902.95219,-13.16781,10.3934,4.0710,0.4904,0.1921,19.0909,0.4253,
1902.97302,-13.14698,-0.0388,4.1078,-0.0018,0.1938,20.7148,,
1902.99386,-13.12614,-5.6482,4.0731,-0.2665,0.1922,20.7148,,
1903.01469,-13.10531,-1.9775,4.0699,-0.0933,0.1920,20.7148,,
1903.03553,-13.08447,1.2885,4.0971,0.0608,0.1933,20.7148,,
1903.05636,-13.06364,-0.3444,4.0790,-0.0163,0.1925,20.7148,,
1903.07719,-13.04281,-3.7207,4.0769,-0.1756,0.1924,20.7148,,
1903.09803,-13.02197,-0.9815,4.0765,-0.0463,0.1923,20.7148,,
1903.11886,-13.00114,1.8425,4.0670,0.0869,0.1919,20.7148,,
1903.13969,-12.98031,-1.7643,4.0737,-0.0832,0.1922,20.7148,,
1903.16053,-12.95947,-0.1854,4.0641,-0.0088,0.1918,20.7148,,
1903.18136,-12.93864,-1.0087,4.0590,-0.0476,0.1915,20.7148,,
1903.20219,-12.91781,0.2821,4.1114,0.0133,0.1940,20.7148,,
1903.22303,-12.89697,4.0467,4.0531,0.1909,0.1912,20.1150,1.0874,
1903.24386,-12.87614,-0.4311,4.0240,-0.0203,0.1899,20.7148,,
1903.26469,-12.85531,-4.0188,4.0547,-0.1896,0.1913,20.7148,,
1903.28553,-12.83447,0.5195,4.0279,0.0245,0.1901,20.7148,,
1903.30636,-12.81364,5.9153,4.0432,0.2791,0.1908,19.7029,0.7421,
1903.32719,-12.79281,7.1839,4.0480,0.3390,0.1910,19.4919,0.6118,
1903.34803,-12.77197,-11.6314,4.0350,-0.5488,0.1904,20.7148,,
1903.36886,-12.75114,3.3350,4.0570,0.1574,0.1914,20.3251,1.3208,
1903.38969,-12.73031,-4.2892,4.0488,-0.2024,0.1910,20.7148,,
1903.41053,-12.70947,-0.9838,4.0033,-0.0464,0.1889,20.7148,,
1903.43136,-12.68864,-0.8535,4.0437,-0.0403,0.1908,20.7148,,
1903.45219,-12.66781,3.9932,4.0367,0.1884,0.1905,20.1295,1.0975,
1903.47303,-12.64697,0.4573,4.0235,0.0216,0.1898,20.7148,,
1903.49386,-12.62614,-2.5371,4.0499,-0.1197,0.1911,20.7148,,
1903.51469,-12.60531,3.7242,4.0511,0.1757,0.1911,20.2052,1.1810,
1903.53553,-12.58447,3.2234,4.0328,0.1521,0.1903,20.3620,1.3584,
1903.55636,-12.56364,-3.3720,4.0325,-0.1591,0.1903,20.7148,,
1903.57719,-12.54281,-3.9286,4.0279,-0.1854,0.1901,20.7148,,
1903.59803,-12.52197,3.1007,4.0118,0.1463,0.1893,20.4041,1.4047,
1903.61886,-12.50114,6.7184,4.0225,0.3170,0.1898,19.5646,0.6501,
1903.63969,-12.48031,0.1144,4.0084,0.0054,0.1891,20.7148,,
1903.66053,-12.45947,-1.1448,4.0332,-0.0540,0.1903,20.7148,,
1903.68136,-12.43864,-0.7587,4.0305,-0.0358,0.1902,20.7148,,
1903.70220,-12.41780,-1.3253,4.0354,-0.0625,0.1904,20.7148,,
1903.72303,-12.39697,5.8140,4.0480,0.2743,0.1910,19.7216,0.7559,
1903.74386,-12.37614,4.7793,4.0150,0.2255,0.1894,19.9344,0.9121,
1903.76470,-12.35530,4.7399,3.9882,0.2237,0.1882,19.9434,0.9136,
1903.78553,-12.33447,3.9866,4.0288,0.1881,0.1901,20.1313,1.0972,
1903.80636,-12.31364,-3.5688,4.0214,-0.1684,0.1897,20.7148,,
1903.82720,-12.29280,1.4569,4.0108,0.0687,0.1892,20.7148,,
