BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1917.95906,1.83906,4.23982,1.20991,0.20006,0.05709,20.14027,0.41230,
1918.20969,2.08969,6.47863,1.25513,0.30567,0.05923,19.72478,0.27118,
1918.46252,2.34252,7.20720,1.19194,0.34006,0.05624,19.56444,0.20807,
1918.71252,2.59252,7.53036,1.19062,0.35532,0.05618,19.54909,0.21182,
1918.96252,2.84252,7.65077,1.18136,0.36100,0.05574,19.54858,0.23560,
1919.21251,3.09251,8.95180,1.17282,0.42238,0.05534,19.37216,0.20692,
1919.46251,3.34251,10.82118,1.16558,0.51060,0.05500,19.14797,0.13019,
1919.71251,3.59251,9.03158,1.16231,0.42617,0.05484,19.32428,0.19465,
1919.96250,3.84250,11.32783,1.15907,0.53452,0.05469,19.04036,0.12625,
1920.21250,4.09250,10.67007,1.15120,0.50348,0.05432,19.16520,0.12728,
1920.48333,4.36333,11.90615,1.25352,0.56180,0.05915,18.96816,0.12145,
1920.71249,4.59249,12.06752,1.14590,0.56941,0.05407,18.96347,0.11319,
1920.87916,4.75916,13.89020,1.98252,0.65540,0.09354,18.77988,0.15648,
1921.21248,5.09248,14.28673,1.14913,0.67412,0.05422,18.77102,0.09352,
1921.46248,5.34248,12.83166,1.15036,0.60546,0.05428,18.88083,0.10290,
1921.71248,5.59248,14.64806,1.14939,0.69117,0.05423,18.76636,0.09869,
1921.96247,5.84247,15.22110,1.14987,0.71819,0.05426,18.72036,0.09371,
1922.21247,6.09247,16.35853,1.15070,0.77187,0.05429,18.63328,0.08384,
1922.46246,6.34246,17.29338,1.15023,0.81598,0.05427,18.56361,0.07796,
1922.71246,6.59246,15.06442,1.15045,0.71082,0.05429,18.71261,0.08984,
1922.96245,6.84245,18.00152,1.15188,0.84940,0.05435,18.50603,0.07183,
1923.21245,7.09245,18.05370,1.14914,0.85187,0.05422,18.54590,0.08553,
1923.46244,7.34244,18.30533,1.14500,0.86376,0.05402,18.48804,0.07001,
1923.71244,7.59244,16.47820,1.14128,0.77752,0.05385,18.61524,0.08010,
1923.96243,7.84243,17.69428,1.13997,0.83490,0.05379,18.53226,0.07398,
1924.21243,8.09243,19.11060,1.14569,0.90172,0.05406,18.44145,0.06753,
1924.46242,8.34242,18.97597,1.15183,0.89538,0.05435,18.46869,0.07292,
1924.71242,8.59242,19.74549,1.14714,0.93169,0.05413,18.41337,0.06669,
1924.96241,8.84241,19.02827,1.14685,0.89785,0.05411,18.45258,0.06877,
1925.21241,9.09241,19.89713,1.14013,0.93884,0.05380,18.40754,0.06607,
1925.46240,9.34240,19.62862,1.13867,0.92617,0.05373,18.43050,0.06851,
1925.69156,9.57156,19.81531,1.23679,0.93498,0.05835,18.40158,0.06980,
