BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1929.43248,-5.66752,-15.9697,5.9841,-2.3772,0.8908,19.5534,,
1929.45332,-5.64668,-5.7495,5.8505,-0.8559,0.8709,19.5534,,
1929.47415,-5.62585,13.5805,5.7898,2.0215,0.8618,18.8005,0.4629,
1929.49498,-5.60502,0.0937,5.7396,0.0139,0.8544,19.5534,,
1929.51582,-5.58418,2.6397,5.6605,0.3929,0.8426,19.5534,,
1929.53665,-5.56335,-17.5962,5.6381,-2.6193,0.8393,19.5534,,
1929.55748,-5.54252,5.3580,5.6116,0.7976,0.8353,19.5534,,
1929.57832,-5.52168,-3.6262,5.5782,-0.5398,0.8303,19.5534,,
1929.59915,-5.50085,-3.0018,5.5513,-0.4468,0.8263,19.5534,,
1929.61998,-5.48002,5.2184,5.4727,0.7768,0.8147,19.5534,,
1929.64082,-5.45918,-8.0208,5.4475,-1.1940,0.8109,19.5534,,
1929.66165,-5.43835,-6.9555,5.3891,-1.0354,0.8022,19.5534,,
1929.68248,-5.41752,-8.0586,5.3447,-1.1996,0.7956,19.5534,,
1929.70332,-5.39668,0.9513,5.2887,0.1416,0.7873,19.5534,,
1929.72415,-5.37585,-2.0472,5.2571,-0.3047,0.7825,19.5534,,
1929.74498,-5.35502,-8.3160,5.2321,-1.2379,0.7788,19.5534,,
1929.76582,-5.33418,-11.5954,5.1967,-1.7261,0.7736,19.5534,,
1929.78665,-5.31335,-4.1604,5.1435,-0.6193,0.7656,19.5534,,
1929.86999,-5.23001,2.5804,5.0371,0.3841,0.7498,19.5534,,
1929.89082,-5.20918,-9.5895,5.0091,-1.4275,0.7456,19.5534,,
1929.91165,-5.18835,-1.8441,5.0065,-0.2745,0.7452,19.5534,,
1929.93249,-5.16751,6.1978,4.9903,0.9226,0.7428,19.5534,,
1929.95332,-5.14668,-4.6462,4.9748,-0.6916,0.7405,19.5534,,
1929.97415,-5.12585,7.9260,4.9546,1.1798,0.7375,19.3852,0.6787,
1929.99499,-5.10501,-5.6878,4.9361,-0.8467,0.7348,19.5534,,
1930.01582,-5.08418,-12.4681,4.9021,-1.8559,0.7297,19.5534,,
1930.03665,-5.06335,-8.2871,4.8532,-1.2336,0.7224,19.5534,,
1930.05749,-5.04251,0.3443,4.8118,0.0513,0.7163,19.5534,,
1930.07832,-5.02168,-3.8426,4.7538,-0.5720,0.7076,19.5534,,
1930.09915,-5.00085,-5.6494,4.6889,-0.8409,0.6980,19.5534,,
1930.11999,-4.98001,-0.9644,4.6556,-0.1436,0.6930,19.5534,,
1930.14082,-4.95918,-2.4989,4.5918,-0.3720,0.6835,19.5534,,
1930.16165,-4.93835,-9.5801,4.4952,-1.4261,0.6691,19.5534,,
1930.22415,-4.87585,-11.4335,4.4918,-1.7019,0.6686,19.5534,,
1930.24499,-4.85501,-3.6482,4.4638,-0.5431,0.6645,19.5534,,
1930.26582,-4.83418,-12.8377,4.4215,-1.9110,0.6582,19.5534,,
1930.28666,-4.81334,-14.5301,4.3905,-2.1629,0.6536,19.5534,,
1930.30749,-4.79251,-6.6609,4.3651,-0.9915,0.6498,19.5534,,
1930.32832,-4.77168,-2.2826,4.3192,-0.3398,0.6429,19.5534,,
1930.41166,-4.68834,16.5848,4.2049,2.4688,0.6259,18.5835,0.2753,
1930.45332,-4.64668,5.9129,4.1416,0.8802,0.6165,19.5534,,
1930.51582,-4.58418,7.7846,4.0953,1.1588,0.6096,19.4047,0.5712,
1930.55749,-4.54251,12.5681,4.0682,1.8708,0.6056,18.8846,0.3514,
1930.57832,-4.52168,5.2071,4.0698,0.7751,0.6058,19.5534,,
1930.59916,-4.50084,17.5780,4.0579,2.6166,0.6040,18.5204,0.2506,
1930.66166,-4.43834,15.0301,4.0406,2.2373,0.6015,18.6904,0.2919,
1930.68249,-4.41751,14.2750,4.0306,2.1249,0.6000,18.7464,0.3066,
1930.70333,-4.39667,9.0030,4.0401,1.3402,0.6014,19.2468,0.4872,
1930.74499,-4.35501,17.5645,4.0366,2.6146,0.6009,18.5212,0.2495,
1930.76583,-4.33417,2.1064,4.0248,0.3136,0.5991,19.5534,,
1930.80749,-4.29251,-1.9814,4.0026,-0.2949,0.5958,19.5534,,
1930.82833,-4.27167,8.7762,3.9877,1.3064,0.5936,19.2745,0.4933,
1930.84916,-4.25084,12.9279,3.9754,1.9244,0.5918,18.8540,0.3339,
1930.86999,-4.23001,13.1210,3.9646,1.9531,0.5902,18.8379,0.3281,
1930.89083,-4.20917,5.4046,3.9502,0.8045,0.5880,19.5534,,
1930.91166,-4.18834,1.6702,3.9475,0.2486,0.5876,19.5534,,
1930.93249,-4.16751,-0.2770,3.9705,-0.0412,0.5910,19.5534,,
1930.95333,-4.14667,8.4826,3.9606,1.2627,0.5896,19.3115,0.5069,
1930.97416,-4.12584,8.5136,3.9715,1.2673,0.5912,19.3075,0.5065,
1930.99499,-4.10501,7.2989,3.9776,1.0865,0.5921,19.4747,0.5917,
1931.03666,-4.06334,8.2818,3.9873,1.2328,0.5935,19.3375,0.5227,
1931.05749,-4.04251,4.2754,3.9781,0.6364,0.5922,19.5534,,
1931.07833,-4.02167,16.1835,3.9661,2.4090,0.5904,18.6101,0.2661,
1931.09916,-4.00084,3.0749,3.9408,0.4577,0.5866,19.5534,,
1931.11999,-3.98001,2.7048,3.9058,0.4026,0.5814,19.5534,,
1931.14083,-3.95917,-7.7364,3.8656,-1.1516,0.5754,19.5534,,
1931.16166,-3.93834,2.7083,3.8398,0.4032,0.5716,19.5534,,
1931.18249,-3.91751,8.1644,3.7825,1.2153,0.5631,19.3530,0.5030,
1931.20333,-3.89667,-2.2447,3.7520,-0.3341,0.5585,19.5534,,
1931.22416,-3.87584,-2.2151,3.7387,-0.3297,0.5565,19.5534,,
1931.24499,-3.85501,-0.1154,3.7352,-0.0172,0.5560,19.5534,,
1931.26583,-3.83417,-1.5285,3.7100,-0.2275,0.5523,19.5534,,
1931.28666,-3.81334,0.5033,3.7069,0.0749,0.5518,19.5534,,
1931.30750,-3.79250,6.9821,3.6936,1.0393,0.5498,19.5228,0.5744,
1931.32833,-3.77167,-2.9216,3.6887,-0.4349,0.5491,19.5534,,
1931.34916,-3.75084,2.7152,3.6833,0.4042,0.5483,19.5534,,
1931.37000,-3.73000,-1.3698,3.6735,-0.2039,0.5468,19.5534,,
1931.39083,-3.70917,-0.9977,3.6584,-0.1485,0.5446,19.5534,,
1931.41166,-3.68834,1.6696,3.6397,0.2485,0.5418,19.5534,,
1931.43250,-3.66750,-5.1921,3.6294,-0.7729,0.5403,19.5534,,
1931.45333,-3.64667,-12.4864,3.6118,-1.8587,0.5376,19.5534,,
1931.47416,-3.62584,3.4545,3.6099,0.5142,0.5374,19.5534,,
1931.49500,-3.60500,-5.6429,3.6086,-0.8400,0.5372,19.5534,,
