BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1902.30776,-11.66224,-7.7600,4.7336,-0.1165,0.0711,20.1069,,
1902.37026,-11.59974,-7.8587,4.5693,-0.1180,0.0686,20.1069,,
1902.39109,-11.57891,-1.9702,4.6489,-0.0296,0.0698,20.1069,,
1902.41192,-11.55808,-8.4072,4.5727,-0.1263,0.0687,20.1069,,
1902.43276,-11.53724,-6.3200,4.5837,-0.0949,0.0688,20.1069,,
1902.45359,-11.51641,-10.0627,4.5861,-0.1511,0.0689,20.1069,,
1902.47442,-11.49558,-11.6465,4.5998,-0.1749,0.0691,20.1069,,
1902.49526,-11.47474,-10.6320,4.5850,-0.1597,0.0689,20.1069,,
1902.53693,-11.43307,-2.1325,4.7135,-0.0320,0.0708,20.1069,,
1902.57859,-11.39141,1.1117,4.5247,0.0167,0.0680,20.1069,,
1902.59943,-11.37057,-22.6387,4.5754,-0.3400,0.0687,20.1069,,
1902.62026,-11.34974,-14.4642,4.5606,-0.2172,0.0685,20.1069,,
1902.64109,-11.32891,-10.8197,4.4577,-0.1625,0.0669,20.1069,,
1902.68276,-11.28724,-5.2863,4.5404,-0.0794,0.0682,20.1069,,
1902.70359,-11.26641,-10.9430,4.4595,-0.1643,0.0670,20.1069,,
1902.72443,-11.24557,-2.9860,4.4739,-0.0448,0.0672,20.1069,,
1902.74526,-11.22474,1.3813,4.5086,0.0207,0.0677,20.1069,,
1902.76609,-11.20391,-3.8076,4.4920,-0.0572,0.0675,20.1069,,
1902.78693,-11.18307,-4.8276,4.4338,-0.0725,0.0666,20.1069,,
1902.80776,-11.16224,-6.8816,4.4304,-0.1034,0.0665,20.1069,,
1902.82859,-11.14141,-6.5487,4.4283,-0.0984,0.0665,20.1069,,
1902.84943,-11.12057,-0.2325,4.4561,-0.0035,0.0669,20.1069,,
1902.87026,-11.09974,-11.3985,4.3940,-0.1712,0.0660,20.1069,,
1902.89110,-11.07890,-7.9686,4.4183,-0.1197,0.0664,20.1069,,
1902.91193,-11.05807,-6.7474,4.4379,-0.1013,0.0667,20.1069,,
1902.93276,-11.03724,-2.4295,4.3426,-0.0365,0.0652,20.1069,,
1902.95360,-11.01640,-2.2099,4.4866,-0.0332,0.0674,20.1069,,
1902.97443,-10.99557,-6.0393,4.4655,-0.0907,0.0671,20.1069,,
1902.99526,-10.97474,-11.3759,4.4561,-0.1709,0.0669,20.1069,,
1903.01610,-10.95390,-4.1664,4.4861,-0.0626,0.0674,20.1069,,
1903.03693,-10.93307,1.0803,4.4285,0.0162,0.0665,20.1069,,
1903.05776,-10.91224,-10.2472,4.5101,-0.1539,0.0677,20.1069,,
1903.07860,-10.89140,-9.0059,4.4786,-0.1353,0.0673,20.1069,,
1903.09943,-10.87057,-2.7331,4.4779,-0.0410,0.0673,20.1069,,
1903.12026,-10.84974,-8.6162,4.4988,-0.1294,0.0676,20.1069,,
1903.14110,-10.82890,-1.5699,4.5243,-0.0236,0.0679,20.1069,,
1903.16193,-10.80807,-4.4855,4.3750,-0.0674,0.0657,20.1069,,
1903.18276,-10.78724,-8.4948,4.3564,-0.1276,0.0654,20.1069,,
1903.20360,-10.76640,-0.1892,4.4078,-0.0028,0.0662,20.1069,,
1903.22443,-10.74557,-6.3209,4.3518,-0.0949,0.0654,20.1069,,
1903.24526,-10.72474,-5.8102,4.3832,-0.0873,0.0658,20.1069,,
1903.26610,-10.70390,-4.0044,4.3174,-0.0601,0.0648,20.1069,,
1903.28693,-10.68307,-2.5673,4.3568,-0.0386,0.0654,20.1069,,
1903.30776,-10.66224,0.4625,4.3525,0.0069,0.0654,20.1069,,
1903.32860,-10.64140,-2.3267,4.2890,-0.0349,0.0644,20.1069,,
1903.34943,-10.62057,0.2199,4.3472,0.0033,0.0653,20.1069,,
1903.37026,-10.59974,-5.1537,4.4333,-0.0774,0.0666,20.1069,,
1903.39110,-10.57890,-3.3292,4.4207,-0.0500,0.0664,20.1069,,
1903.41193,-10.55807,3.7225,4.3774,0.0559,0.0657,20.1069,,
1903.43277,-10.53723,-4.1921,4.4065,-0.0630,0.0662,20.1069,,
1903.45360,-10.51640,5.5624,4.4137,0.0835,0.0663,19.7696,0.8615,
1903.47443,-10.49557,-1.9468,4.3389,-0.0292,0.0652,20.1069,,
