BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1917.71676,3.74676,18.98836,1.35119,0.28519,0.02029,18.44446,0.07929,
1917.96392,3.99391,22.81343,1.27150,0.34263,0.01910,18.25449,0.06339,
1918.21391,4.24391,25.88130,1.24816,0.38872,0.01874,18.10404,0.05288,
1918.46391,4.49391,24.14125,1.23670,0.36258,0.01857,18.19405,0.05873,
1918.71390,4.74390,27.83272,1.23370,0.41801,0.01853,18.02997,0.04940,
1918.96390,4.99390,30.15488,1.24486,0.45289,0.01870,17.94108,0.04567,
1919.21389,5.24389,31.81076,1.25141,0.47776,0.01880,17.88905,0.04426,
1919.46389,5.49389,34.13753,1.25502,0.51271,0.01885,17.80862,0.04082,
1919.71388,5.74388,35.39287,1.24962,0.53157,0.01877,17.76991,0.03934,
1919.96388,5.99388,36.95915,1.24137,0.55508,0.01865,17.72336,0.03747,
1920.21387,6.24387,38.74242,1.21642,0.58186,0.01827,17.66519,0.03438,
1920.48470,6.51470,40.12369,1.32727,0.60261,0.01994,17.62735,0.03624,
1920.71386,6.74386,44.43776,1.21916,0.66739,0.01831,17.51741,0.03013,
1920.88053,6.91053,43.91830,2.08794,0.65960,0.03136,17.52880,0.05194,
1921.21385,7.24385,47.51235,1.21315,0.71358,0.01822,17.44830,0.02829,
1921.46385,7.49385,49.48585,1.21532,0.74321,0.01825,17.40315,0.02711,
1921.71384,7.74384,48.14603,1.21818,0.72308,0.01830,17.42980,0.02771,
1921.96384,7.99383,51.59073,1.22674,0.77483,0.01842,17.35672,0.02619,
1922.21383,8.24383,51.50184,1.23477,0.77349,0.01854,17.35678,0.02628,
1922.46382,8.49382,53.92635,1.23578,0.80990,0.01856,17.30574,0.02507,
1922.71382,8.74382,56.39772,1.21170,0.84703,0.01820,17.25862,0.02359,
1922.96381,8.99381,56.70374,1.21522,0.85162,0.01825,17.25126,0.02342,
1923.21380,9.24380,56.39811,1.21572,0.84702,0.01826,17.25782,0.02361,
1923.46380,9.49380,59.15153,1.22266,0.88838,0.01836,17.20792,0.02274,
1923.71379,9.74379,60.53940,1.21600,0.90923,0.01827,17.18013,0.02196,
1923.96378,9.99378,60.06083,1.21205,0.90204,0.01821,17.19113,0.02223,
1924.21378,10.24378,60.60207,1.22368,0.91018,0.01838,17.17877,0.02205,
1924.46377,10.49377,60.86108,1.20903,0.91406,0.01816,17.17538,0.02177,
1924.71376,10.74376,62.28585,1.20396,0.93546,0.01808,17.14938,0.02114,
1924.96375,10.99376,65.03663,1.21306,0.97678,0.01822,17.10199,0.02037,
1925.21375,11.24375,62.88317,1.21649,0.94442,0.01827,17.13858,0.02114,
1925.46374,11.49374,64.75720,1.22466,0.97256,0.01839,17.10650,0.02065,
1925.71373,11.74373,65.77452,1.22989,0.98784,0.01848,17.08931,0.02039,
1925.96372,11.99372,66.04855,1.22631,0.99197,0.01841,17.08452,0.02023,
1926.09913,12.12913,63.64100,4.15400,0.95580,0.06240,17.12350,0.07090,
