BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1930.34614,-1.59386,-3.3824,5.2505,-0.2547,0.3954,19.4115,,
1930.36697,-1.57303,-10.7008,5.2058,-0.8059,0.3921,19.4115,,
1930.38781,-1.55219,-6.2014,5.1841,-0.4670,0.3904,19.4115,,
1930.45031,-1.48969,9.6977,5.1154,0.7303,0.3852,19.1661,0.5727,
1930.47114,-1.46886,0.6525,5.1657,0.0491,0.3890,19.4115,,
1930.51281,-1.42719,-4.2785,5.0779,-0.3222,0.3824,19.4115,,
1930.53364,-1.40636,-0.6734,5.0397,-0.0507,0.3795,19.4115,,
1930.55447,-1.38553,-7.4454,5.0616,-0.5607,0.3812,19.4115,,
1930.59614,-1.34386,-6.5783,5.0103,-0.4954,0.3773,19.4115,,
1930.65864,-1.28136,-0.7936,5.1086,-0.0598,0.3847,19.4115,,
1930.67947,-1.26053,-4.0237,5.0706,-0.3030,0.3819,19.4115,,
1930.70031,-1.23969,-1.6481,5.1174,-0.1241,0.3854,19.4115,,
1930.72114,-1.21886,-5.7469,5.1062,-0.4328,0.3846,19.4115,,
1930.74197,-1.19803,-1.5239,5.0904,-0.1148,0.3834,19.4115,,
1930.80447,-1.13553,-4.9220,5.1119,-0.3707,0.3850,19.4115,,
1930.82531,-1.11469,-16.4782,5.1014,-1.2410,0.3842,19.4115,,
1930.84614,-1.09386,-4.0698,4.9659,-0.3065,0.3740,19.4115,,
1930.86697,-1.07303,-7.8066,5.0194,-0.5879,0.3780,19.4115,,
1930.88781,-1.05219,-9.7117,5.0993,-0.7314,0.3840,19.4115,,
1930.92947,-1.01053,-12.5408,4.9823,-0.9445,0.3752,19.4115,,
1930.95031,-0.98969,-7.2155,5.2049,-0.5434,0.3920,19.4115,,
1930.97114,-0.96886,-5.5369,5.2007,-0.4170,0.3917,19.4115,,
1931.03364,-0.90636,-4.3935,5.0819,-0.3309,0.3827,19.4115,,
1931.05447,-0.88553,-6.2851,4.9655,-0.4733,0.3740,19.4115,,
1931.07531,-0.86469,-5.2275,4.9381,-0.3937,0.3719,19.4115,,
1931.09614,-0.84386,-7.1440,4.8583,-0.5380,0.3659,19.4115,,
1931.11697,-0.82303,-6.2777,4.9168,-0.4728,0.3703,19.4115,,
1931.13781,-0.80219,-6.4816,4.8655,-0.4881,0.3664,19.4115,,
1931.15864,-0.78136,-8.2580,4.8116,-0.6219,0.3624,19.4115,,
1931.17947,-0.76053,-1.2685,4.8163,-0.0955,0.3627,19.4115,,
1931.20031,-0.73969,-4.6820,4.7702,-0.3526,0.3593,19.4115,,
1931.22114,-0.71886,-2.0226,5.0005,-0.1523,0.3766,19.4115,,
1931.24197,-0.69803,1.4422,4.7337,0.1086,0.3565,19.4115,,
1931.26281,-0.67719,-8.8283,4.9337,-0.6649,0.3716,19.4115,,
1931.28364,-0.65636,-7.1831,4.9471,-0.5410,0.3726,19.4115,,
1931.30447,-0.63553,-0.2243,4.9412,-0.0169,0.3721,19.4115,,
1931.32531,-0.61469,1.8443,4.9495,0.1389,0.3728,19.4115,,
1931.34614,-0.59386,-9.1032,4.9238,-0.6856,0.3708,19.4115,,
1931.36697,-0.57303,-6.2293,4.8432,-0.4691,0.3647,19.4115,,
1931.38781,-0.55219,0.3366,4.6187,0.0254,0.3478,19.4115,,
1931.40864,-0.53136,0.4690,4.7783,0.0353,0.3599,19.4115,,
1931.42948,-0.51052,-0.2274,4.4372,-0.0171,0.3342,19.4115,,
1931.45031,-0.48969,-2.1600,4.6924,-0.1627,0.3534,19.4115,,
1931.47114,-0.46886,0.5500,4.4963,0.0414,0.3386,19.4115,,
1931.49198,-0.44802,-2.7409,4.4403,-0.2064,0.3344,19.4115,,
1931.51281,-0.42719,-5.0748,4.3931,-0.3822,0.3308,19.4115,,
1931.53364,-0.40636,-4.4906,4.7336,-0.3382,0.3565,19.4115,,
1931.55448,-0.38552,-5.3725,4.4088,-0.4046,0.3320,19.4115,,
1931.57531,-0.36469,-5.8748,4.6855,-0.4424,0.3529,19.4115,,
1931.59614,-0.34386,1.6349,4.3859,0.1231,0.3303,19.4115,,
1931.61698,-0.32302,0.1077,4.5811,0.0081,0.3450,19.4115,,
1931.63781,-0.30219,-3.5002,4.6934,-0.2636,0.3535,19.4115,,
1931.65864,-0.28136,-9.9551,4.7201,-0.7497,0.3555,19.4115,,
1931.67948,-0.26052,-0.4599,4.3920,-0.0346,0.3308,19.4115,,
1931.70031,-0.23969,2.1305,4.5715,0.1604,0.3443,19.4115,,
1931.72114,-0.21886,1.9973,4.5279,0.1504,0.3410,19.4115,,
1931.74198,-0.19802,-7.0063,4.3767,-0.5277,0.3296,19.4115,,
1931.76281,-0.17719,0.0886,4.4664,0.0067,0.3364,19.4115,,
1931.78364,-0.15636,-5.7356,4.5500,-0.4320,0.3427,19.4115,,
1931.80448,-0.13552,4.0047,4.4832,0.3016,0.3376,19.4115,,
1931.82531,-0.11469,-4.7157,4.4379,-0.3551,0.3342,19.4115,,
1931.84614,-0.09386,-1.7517,4.3759,-0.1319,0.3296,19.4115,,
1931.86698,-0.07302,0.2524,4.6758,0.0190,0.3521,19.4115,,
1931.88781,-0.05219,-1.0113,4.6789,-0.0762,0.3524,19.4115,,
1931.90864,-0.03136,4.6623,4.4511,0.3511,0.3352,19.4115,,
1931.92948,-0.01052,-5.1272,4.3916,-0.3861,0.3307,19.4115,,
1931.95031,0.01031,1.9705,4.4301,0.1484,0.3336,19.4115,,
1931.97114,0.03114,-0.6942,4.5095,-0.0523,0.3396,19.4115,,
1931.99198,0.05198,3.6178,4.4776,0.2725,0.3372,19.4115,,
