BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1932.06489,0.12489,2.16563,1.33595,0.16310,0.10061,19.37446,0.38151,
1932.31489,0.37489,0.80143,1.30997,0.06037,0.09866,19.41150,,
1932.56489,0.62489,0.77252,1.27935,0.05818,0.09635,19.40470,0.54900,
1932.81490,0.87490,-0.14259,1.29433,-0.01073,0.09748,19.40223,0.56660,
1933.06490,1.12490,3.47653,1.30182,0.26183,0.09804,19.40856,0.59780,
1933.31490,1.37490,0.18209,1.27999,0.01372,0.09639,19.39862,0.53800,
1933.56490,1.62490,-0.16049,1.25668,-0.01208,0.09465,19.41150,,
1933.81490,1.87490,1.91448,1.24984,0.14418,0.09413,19.40727,0.57680,
1934.05637,2.11637,1.93061,1.29048,0.14540,0.09719,19.37994,0.44440,
1934.31490,2.37490,-0.22359,1.25474,-0.01683,0.09450,19.40237,0.55000,
1934.56490,2.62490,-2.65753,1.26673,-0.20013,0.09540,19.41150,,
1934.81490,2.87490,-2.40555,1.26827,-0.18116,0.09551,19.41150,,
1935.06017,3.12017,-0.38365,1.32391,-0.02888,0.09971,19.40666,0.59270,
1935.31490,3.37490,-0.02733,1.22214,-0.00206,0.09204,19.41150,,
1935.56490,3.62490,1.97634,1.20058,0.14885,0.09042,19.39936,0.50670,
1935.82342,3.88342,0.71793,1.23367,0.05405,0.09291,19.38312,0.43890,
1936.04823,4.10823,2.85772,1.27535,0.21522,0.09604,19.41150,,
1936.31490,4.37490,-0.29297,1.15179,-0.02207,0.08675,19.41150,,
1936.56490,4.62490,1.58625,1.13411,0.11947,0.08541,19.36967,0.35940,
1936.81490,4.87490,1.39267,1.20282,0.10487,0.09059,19.41150,,
1937.06490,5.12490,2.20518,1.22840,0.16609,0.09251,19.35776,0.33484,
1937.31490,5.37490,-0.33132,1.20523,-0.02496,0.09077,19.41150,,
1937.56490,5.62490,4.28257,1.14114,0.32253,0.08594,19.41049,0.54130,
1937.81490,5.87490,2.28538,1.15758,0.17212,0.08717,19.40281,0.50860,
1938.06490,6.12490,4.22456,1.18621,0.31814,0.08934,19.36009,0.33790,
1938.31490,6.37490,3.07994,1.21396,0.23195,0.09142,19.39418,0.32307,
1938.56490,6.62490,3.26464,1.16117,0.24586,0.08745,19.41150,,
1938.81490,6.87490,4.48583,1.19140,0.33782,0.08973,19.34907,0.30540,
1939.06490,7.12490,4.50348,1.21244,0.33917,0.09131,19.39667,0.38779,
1939.31490,7.37490,6.77390,1.21231,0.51016,0.09130,19.28333,0.21982,
1939.56490,7.62490,5.98480,1.16442,0.45073,0.08769,19.32608,0.21125,
1939.81490,7.87490,6.85779,1.16043,0.51648,0.08739,19.28929,0.19340,
1940.06490,8.12490,7.96743,1.20384,0.60004,0.09066,19.20027,0.16273,
1940.29823,8.35824,5.71651,1.31806,0.43052,0.09927,19.26627,0.21222,
1940.57532,8.63532,7.16787,1.18095,0.53983,0.08894,19.28205,0.19186,
1940.76282,8.82282,7.21849,1.47637,0.54361,0.11119,19.37037,0.28771,
1945.13779,13.19779,11.25280,5.72130,0.84750,0.43090,19.00470,0.55200,
1945.32529,13.38529,9.06013,1.76747,0.68233,0.13311,19.16207,0.21934,
1945.61696,13.67696,9.94820,2.25734,0.74922,0.17000,18.92748,0.22463,
1945.83570,13.89570,8.56630,1.55605,0.64514,0.11719,19.18094,0.21288,
1946.08570,14.14570,12.67191,1.50646,0.95433,0.11345,18.91082,0.14280,
1946.33570,14.39570,13.79931,1.48055,1.03924,0.11150,18.80592,0.12419,
1946.58570,14.64570,15.03723,1.43155,1.13249,0.10781,18.70603,0.10952,
1946.83570,14.89570,16.80813,1.40794,1.26584,0.10603,18.60391,0.09891,
1947.08570,15.14570,13.15338,1.40895,0.99061,0.10611,18.84254,0.12147,
1947.34820,15.40819,14.99572,1.50019,1.12936,0.11298,18.76139,0.12917,
1947.47111,15.53111,12.64250,4.79780,0.95210,0.36130,18.87820,0.41200,
