BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1932.26590,-11.06410,10.3394,5.4181,0.2140,0.1122,19.0966,0.5690,
1932.28673,-11.04327,19.1056,5.1379,0.3955,0.1064,18.4299,0.2920,
1932.34923,-10.98077,14.6275,5.3931,0.3028,0.1116,18.7199,0.4003,
1932.37007,-10.95993,12.4790,5.4160,0.2583,0.1121,18.8923,0.4712,
1932.39090,-10.93910,22.7408,5.5539,0.4708,0.1150,18.2408,0.2652,
1932.41173,-10.91827,4.6577,5.5327,0.0964,0.1145,19.3700,,
1932.43257,-10.89743,10.8851,5.5421,0.2253,0.1147,19.0407,0.5528,
1932.45340,-10.87660,13.3335,5.5322,0.2760,0.1145,18.8204,0.4505,
1932.47424,-10.85576,16.8750,5.5452,0.3493,0.1148,18.5647,0.3568,
1932.49507,-10.83493,15.5954,5.5551,0.3229,0.1150,18.6503,0.3867,
1932.51590,-10.81410,9.7793,5.4397,0.2025,0.1126,19.1570,0.6039,
1932.53674,-10.79326,20.8691,5.4815,0.4320,0.1135,18.3340,0.2852,
1932.55757,-10.77243,15.3178,5.4622,0.3171,0.1131,18.6698,0.3872,
1932.57841,-10.75159,10.1447,5.5140,0.2100,0.1142,19.1172,0.5901,
1932.59924,-10.73076,12.4716,5.4508,0.2582,0.1128,18.8930,0.4745,
1932.62007,-10.70993,9.9557,5.4454,0.2061,0.1127,19.1376,0.5939,
1932.64091,-10.68909,13.0671,5.4307,0.2705,0.1124,18.8424,0.4512,
1932.66174,-10.66826,9.3161,5.4219,0.1929,0.1122,19.2097,0.6319,
1932.68258,-10.64742,13.3864,5.4643,0.2771,0.1131,18.8161,0.4432,
1932.70341,-10.62659,15.7271,5.4789,0.3256,0.1134,18.6412,0.3782,
1932.72424,-10.60576,26.0975,5.3857,0.5403,0.1115,18.0913,0.2241,
1932.74508,-10.58492,-0.2330,5.0120,-0.0048,0.1038,19.3700,,
1932.76591,-10.56409,15.1854,5.6062,0.3144,0.1161,18.6792,0.4008,
1932.78675,-10.54325,15.2772,5.5009,0.3163,0.1139,18.6727,0.3909,
1932.80758,-10.52242,16.4242,4.5436,0.3400,0.0941,18.5941,0.3004,
1932.82842,-10.50158,7.5163,5.4564,0.1556,0.1130,19.3700,,
1932.84925,-10.48075,7.6434,5.5207,0.1582,0.1143,19.3700,,
1932.87008,-10.45992,6.3146,5.5037,0.1307,0.1139,19.3700,,
1932.89092,-10.43908,13.7748,5.5082,0.2852,0.1140,18.7851,0.4342,
1932.91175,-10.41825,18.7139,5.4923,0.3874,0.1137,18.4524,0.3186,
1932.93259,-10.39741,23.2746,5.5000,0.4818,0.1139,18.2156,0.2566,
1932.95342,-10.37658,7.1263,5.4954,0.1475,0.1138,19.3700,,
1932.97425,-10.35575,16.4566,5.5075,0.3407,0.1140,18.5920,0.3634,
1932.99509,-10.33491,9.8732,5.5648,0.2044,0.1152,19.1467,0.6120,
1933.01592,-10.31408,20.6702,5.5072,0.4279,0.1140,18.3444,0.2893,
1933.03676,-10.29324,22.1390,5.5552,0.4583,0.1150,18.2699,0.2724,
1933.05759,-10.27241,10.7251,5.5108,0.2220,0.1141,19.0568,0.5579,
1933.07842,-10.25158,15.0706,5.5293,0.3120,0.1145,18.6875,0.3983,
1933.09926,-10.23074,11.7145,5.5397,0.2425,0.1147,18.9610,0.5134,
1933.12009,-10.20991,16.3739,5.4783,0.3390,0.1134,18.5974,0.3633,
1933.14093,-10.18907,16.5805,5.4919,0.3433,0.1137,18.5838,0.3596,
1933.16176,-10.16824,17.0308,5.5614,0.3526,0.1151,18.5547,0.3545,
1933.18259,-10.14741,20.8076,5.4778,0.4308,0.1134,18.3372,0.2858,
1933.20343,-10.12657,16.7361,5.5686,0.3465,0.1153,18.5737,0.3613,
1933.22426,-10.10574,-1.3349,5.7122,-0.0276,0.1183,19.3700,,
1933.24510,-10.08490,-4.5225,5.5096,-0.0936,0.1141,19.3700,,
1933.26593,-10.06407,10.4702,5.5007,0.2168,0.1139,19.0829,0.5704,
1933.28676,-10.04324,19.2655,5.4967,0.3988,0.1138,18.4209,0.3098,
1933.30760,-10.02240,18.3425,5.5016,0.3797,0.1139,18.4742,0.3257,
1933.32843,-10.00157,4.5265,5.5568,0.0937,0.1150,19.3700,,
1933.34927,-9.98073,1.8279,5.6155,0.0378,0.1163,19.3700,,
1933.37010,-9.95990,7.0315,5.6761,0.1456,0.1175,19.3700,,
1933.39093,-9.93907,4.8351,5.6931,0.1001,0.1179,19.3700,,
1933.41177,-9.91823,3.9547,5.6371,0.0819,0.1167,19.3700,,
1933.45344,-9.87656,13.2337,5.6107,0.2740,0.1162,18.8286,0.4603,
1933.47427,-9.85573,2.3128,5.6489,0.0479,0.1169,19.3700,,
1933.49510,-9.83490,8.8649,5.3843,0.1835,0.1115,19.2636,0.6595,
1933.51594,-9.81406,8.4572,5.5550,0.1751,0.1150,19.3147,0.7132,
1933.53677,-9.79323,15.5647,5.5591,0.3222,0.1151,18.6525,0.3878,
1933.55761,-9.77239,14.0966,5.5265,0.2918,0.1144,18.7600,0.4257,
1933.57844,-9.75156,12.4288,5.5770,0.2573,0.1155,18.8967,0.4872,
1933.59927,-9.73073,7.2020,5.5608,0.1491,0.1151,19.3700,,
1933.62011,-9.70989,-4.9913,5.5933,-0.1033,0.1158,19.3700,,
1933.64094,-9.68906,5.9935,5.5129,0.1241,0.1141,19.3700,,
1933.66178,-9.66822,15.4544,5.5530,0.3199,0.1150,18.6602,0.3901,
1933.68261,-9.64739,-1.5861,5.6161,-0.0328,0.1163,19.3700,,
1933.70345,-9.62655,4.1231,5.5295,0.0854,0.1145,19.3700,,
1933.72428,-9.60572,8.1736,5.4966,0.1692,0.1138,19.3518,0.7301,
1933.74511,-9.58489,13.4511,5.5194,0.2785,0.1143,18.8109,0.4455,
1933.76595,-9.56405,4.9718,5.4332,0.1029,0.1125,19.3700,,
1933.78678,-9.54322,7.1020,5.3914,0.1470,0.1116,19.3700,,
1933.80761,-9.52239,6.3348,5.3846,0.1311,0.1115,19.3700,,
1933.82845,-9.50155,12.9330,5.4213,0.2677,0.1122,18.8536,0.4551,
1933.84928,-9.48072,3.0191,5.4072,0.0625,0.1119,19.3700,,
1933.87012,-9.45988,1.4921,5.3391,0.0309,0.1105,19.3700,,
1933.89095,-9.43905,11.9368,5.3738,0.2471,0.1112,18.9406,0.4888,
1933.91178,-9.41822,11.0809,5.3958,0.2294,0.1117,19.0214,0.5287,
1933.93262,-9.39738,11.2998,5.4629,0.2339,0.1131,19.0001,0.5249,
1933.95345,-9.37655,-4.3327,5.3805,-0.0897,0.1114,19.3700,,
1933.97429,-9.35571,4.6535,5.4491,0.0963,0.1128,19.3700,,
1933.99512,-9.33488,13.4296,5.3704,0.2780,0.1112,18.8126,0.4342,
1934.01595,-9.31405,4.1021,5.4513,0.0849,0.1129,19.3700,,
1934.03679,-9.29321,9.7511,5.4365,0.2019,0.1125,19.1602,0.6053,
1934.05762,-9.27238,14.7982,5.4856,0.3064,0.1136,18.7073,0.4025,
1934.07846,-9.25154,18.5931,5.4115,0.3849,0.1120,18.4594,0.3160,
1934.09929,-9.23071,4.7677,5.4842,0.0987,0.1135,19.3700,,
1934.12012,-9.20988,13.8947,5.3844,0.2877,0.1115,18.7757,0.4207,
1934.14096,-9.18904,6.0923,5.4905,0.1261,0.1137,19.3700,,
1934.18263,-9.14737,11.0470,5.4407,0.2287,0.1126,19.0247,0.5347,
