BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1947.66801,4.33801,7.94604,2.11721,0.16450,0.04383,19.11750,0.25872,
1947.95894,4.62894,15.85813,1.95228,0.32830,0.04041,18.65550,0.14247,
1948.19332,4.86332,15.88679,1.62369,0.32887,0.03361,18.71744,0.14029,
1948.44332,5.11332,15.58985,1.57692,0.32275,0.03265,18.68593,0.11907,
1948.69332,5.36332,17.24490,1.51565,0.35700,0.03138,18.59603,0.11032,
1948.94332,5.61332,15.99187,1.56723,0.33108,0.03245,18.68282,0.12237,
1949.19333,5.86333,20.12374,1.53873,0.41661,0.03186,18.42311,0.09589,
1949.44333,6.11333,18.07742,1.56955,0.37424,0.03249,18.53508,0.10801,
1949.69333,6.36333,19.28750,1.57661,0.39929,0.03264,18.44500,0.09471,
1949.94807,6.61807,12.82073,1.70533,0.26542,0.03530,18.88439,0.15910,
1950.19333,6.86333,16.59019,1.57460,0.34346,0.03260,18.63481,0.11945,
1950.44334,7.11334,17.80165,1.51568,0.36853,0.03138,18.55603,0.09990,
1950.69334,7.36334,17.98577,1.52900,0.37236,0.03165,18.52123,0.09956,
1950.94334,7.61334,21.57653,1.56396,0.44669,0.03238,18.32516,0.08533,
1951.19334,7.86334,23.45918,1.60494,0.48564,0.03323,18.22927,0.07908,
1951.44334,8.11334,17.93794,1.61985,0.37137,0.03353,18.53577,0.10999,
1951.69334,8.36334,27.41261,1.59304,0.56750,0.03299,18.05616,0.06658,
1951.94334,8.61334,27.14928,1.57183,0.56206,0.03254,18.09426,0.07425,
1952.19335,8.86335,26.86508,1.59510,0.55617,0.03302,18.10132,0.07171,
1952.44335,9.11335,27.57606,1.59005,0.57088,0.03292,18.05071,0.06623,
1952.69335,9.36335,31.10803,1.58382,0.64401,0.03279,17.91778,0.05821,
1952.94335,9.61335,34.22169,1.61521,0.70845,0.03344,17.80799,0.05289,
1953.19335,9.86335,30.04619,1.57019,0.62202,0.03251,17.95108,0.05909,
1953.44335,10.11335,35.35997,1.58139,0.73203,0.03274,17.77342,0.05030,
1953.69335,10.36335,47.03487,1.59215,0.97372,0.03296,17.55252,0.04370,
1953.94335,10.61335,41.55881,1.58606,0.86033,0.03283,17.59540,0.04274,
1954.19335,10.86335,40.43283,1.58915,0.83704,0.03290,17.62429,0.04373,
1954.44335,11.11335,43.53287,1.60146,0.90123,0.03315,17.54239,0.04065,
1954.69335,11.36335,45.06295,1.61428,0.93290,0.03342,17.51006,0.04028,
1954.84960,11.51960,44.89810,3.17888,0.92947,0.06582,17.51330,0.07914,
