BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1949.94648,0.13648,1.12310,0.94840,0.09565,0.08078,20.43454,0.14301,0.00000
1950.20216,0.39216,1.60782,0.86036,0.13693,0.07328,20.25885,0.11917,0.00000
1950.45216,0.64216,1.46415,0.93235,0.12469,0.07941,20.32055,0.14541,0.00000
1950.69175,0.88175,4.54681,0.88321,0.38727,0.07522,19.92861,0.13847,0.00000
1950.94175,1.13175,1.25594,0.88222,0.10698,0.07514,20.34189,0.12919,0.00000
1951.19176,1.38176,2.70795,0.87399,0.23062,0.07444,20.19574,0.11304,0.00000
1951.44176,1.63176,6.65596,0.86878,0.56690,0.07400,19.64495,0.12088,0.00000
1951.69176,1.88176,2.93027,0.86246,0.24956,0.07346,20.17683,0.16081,0.00000
1951.94176,2.13176,5.22533,0.86001,0.44504,0.07324,19.90737,0.15142,0.00000
1952.19176,2.38176,5.14194,0.85884,0.43795,0.07315,19.84507,0.14061,0.00000
1952.44177,2.63177,3.69738,0.86007,0.31490,0.07325,20.06731,0.14496,0.00000
1952.69177,2.88177,4.09502,0.85777,0.34879,0.07305,20.08624,0.17588,0.00000
1952.94177,3.13177,6.00173,0.85853,0.51117,0.07312,19.82072,0.18122,0.00000
1953.19177,3.38177,5.31058,0.85983,0.45230,0.07323,19.87287,0.11846,0.00000
1953.44178,3.63178,7.03911,0.85824,0.59953,0.07310,19.62544,0.14212,0.00000
1953.69178,3.88178,5.34577,0.85742,0.45531,0.07302,19.82617,0.13509,0.00000
1953.94178,4.13178,6.95634,0.85706,0.59247,0.07299,19.63363,0.16550,0.00000
1954.19178,4.38178,6.18420,0.85587,0.52671,0.07289,19.82370,0.18276,0.00000
1954.44178,4.63178,7.76826,0.85536,0.66163,0.07285,19.48063,0.12505,0.00000
1954.69178,4.88178,6.89124,0.85487,0.58693,0.07281,19.66820,0.16778,0.00000
1954.84803,5.03803,6.62073,1.71039,0.56387,0.14567,19.67477,0.17300,0.00000
