BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1928.55560,-20.86440,7.5615,8.3323,1.4714,1.6214,19.4363,1.1964,
1928.59727,-20.82273,1.1581,8.3894,0.2254,1.6325,19.7896,,
1928.65977,-20.76023,1.2105,8.1510,0.2355,1.5861,19.7896,,
1928.70144,-20.71856,3.6705,8.0129,0.7142,1.5592,19.7896,,
1928.74310,-20.67690,-10.1820,7.7766,-1.9813,1.5132,19.7896,,
1928.76394,-20.65606,0.0633,7.7258,0.0123,1.5033,19.7896,,
1928.78477,-20.63523,6.5037,7.7143,1.2655,1.5011,19.5999,1.2878,
1928.82644,-20.59356,8.3926,7.6023,1.6331,1.4793,19.3231,0.9835,
1928.86811,-20.55189,2.2523,7.4732,0.4383,1.4542,19.7896,,
1928.88894,-20.53106,12.7849,7.4647,2.4878,1.4525,18.8661,0.6339,
1928.90977,-20.51023,-4.2610,7.4764,-0.8291,1.4548,19.7896,,
1928.93061,-20.48939,6.8456,7.5257,1.3321,1.4644,19.5443,1.1936,
1928.95144,-20.46856,2.8247,7.5045,0.5496,1.4603,19.7896,,
1928.97227,-20.44773,7.1107,7.5240,1.3836,1.4641,19.5030,1.1488,
1928.99311,-20.42689,3.1776,7.5577,0.6183,1.4706,19.7896,,
1929.01394,-20.40606,1.4877,7.3950,0.2895,1.4390,19.7896,,
1929.03477,-20.38523,5.3384,7.2659,1.0388,1.4138,19.7896,,
1929.05561,-20.36439,11.3466,7.1835,2.2079,1.3978,18.9956,0.6874,
1929.07644,-20.34356,5.2848,6.9831,1.0283,1.3588,19.7896,,
1929.09727,-20.32273,-0.5684,6.9233,-0.1106,1.3472,19.7896,,
1929.11811,-20.30189,-8.8499,6.7342,-1.7221,1.3104,19.7896,,
1929.13894,-20.28106,6.3663,6.6560,1.2388,1.2952,19.6231,1.1352,
1929.15977,-20.26023,-3.7163,6.6552,-0.7231,1.2950,19.7896,,
1929.18061,-20.23939,8.4279,6.4128,1.6400,1.2478,19.3185,0.8261,
1929.20144,-20.21856,4.6012,6.3591,0.8953,1.2374,19.7896,,
1929.22228,-20.19772,0.0699,6.4218,0.0136,1.2496,19.7896,,
1929.24311,-20.17689,17.2120,6.3045,3.3492,1.2268,18.5432,0.3977,
1929.26394,-20.15606,3.8124,6.2593,0.7418,1.2180,19.7896,,
1929.28478,-20.13522,11.4276,6.2606,2.2236,1.2182,18.9879,0.5948,
1929.30561,-20.11439,2.0563,6.2115,0.4001,1.2087,19.7896,,
1929.32644,-20.09356,14.9455,6.1644,2.9082,1.1995,18.6965,0.4478,
1929.34728,-20.07272,3.2124,6.0053,0.6251,1.1685,19.7896,,
1929.36811,-20.05189,-3.2101,6.0012,-0.6246,1.1678,19.7896,,
1929.38894,-20.03106,-1.2602,6.1138,-0.2452,1.1897,19.7896,,
1929.40978,-20.01022,-6.9113,5.9604,-1.3448,1.1598,19.7896,,
1929.43061,-19.98939,4.1277,5.6983,0.8032,1.1088,19.7896,,
1929.45144,-19.96856,-7.2377,5.5598,-1.4084,1.0819,19.7896,,
1929.47228,-19.94772,-2.4589,5.6001,-0.4785,1.0897,19.7896,,
1929.49311,-19.92689,1.1468,5.5556,0.2232,1.0810,19.7896,,
1929.51394,-19.90606,-6.7142,5.4016,-1.3065,1.0511,19.7896,,
1929.53478,-19.88522,-0.8126,5.4133,-0.1581,1.0534,19.7896,,
1929.55561,-19.86439,-1.6157,5.5506,-0.3144,1.0801,19.7896,,
1929.57644,-19.84356,18.4227,5.3396,3.5848,1.0390,18.4694,0.3147,
1929.59728,-19.82272,-3.1004,5.3321,-0.6033,1.0376,19.7896,,
1929.61811,-19.80189,-0.2899,5.3653,-0.0564,1.0440,19.7896,,
1929.63894,-19.78106,2.5743,5.4663,0.5009,1.0637,19.7896,,
1929.65978,-19.76022,-0.2702,5.5216,-0.0526,1.0744,19.7896,,
1929.68061,-19.73939,1.2072,5.5789,0.2349,1.0856,19.7896,,
1929.70145,-19.71855,6.4701,5.4810,1.2590,1.0665,19.6055,0.9198,
1929.72228,-19.69772,0.3574,5.5155,0.0696,1.0732,19.7896,,
1929.74311,-19.67689,-1.3046,5.5142,-0.2539,1.0730,19.7896,,
1929.76395,-19.65605,-1.4116,5.5631,-0.2747,1.0825,19.7896,,
1929.78478,-19.63522,3.4525,5.5057,0.6718,1.0713,19.7896,,
1929.86811,-19.55189,-12.2121,5.4560,-2.3763,1.0617,19.7896,,
1929.88895,-19.53105,-5.8762,5.4502,-1.1434,1.0605,19.7896,,
1929.90978,-19.51022,-5.6018,5.4306,-1.0900,1.0567,19.7896,,
1929.95145,-19.46855,-9.6005,5.5016,-1.8681,1.0705,19.7896,,
1929.97228,-19.44772,4.6408,5.3817,0.9030,1.0472,19.7896,,
1929.99312,-19.42688,-7.3187,5.3836,-1.4241,1.0476,19.7896,,
1930.01395,-19.40605,3.2141,5.4511,0.6254,1.0607,19.7896,,
1930.03478,-19.38522,2.8733,5.4364,0.5591,1.0578,19.7896,,
1930.05562,-19.36438,2.9910,5.3854,0.5820,1.0479,19.7896,,
1930.07645,-19.34355,7.7185,5.1992,1.5019,1.0117,19.4140,0.7314,
1930.09728,-19.32272,2.5173,5.3014,0.4898,1.0316,19.7896,,
1930.11812,-19.30188,-2.9141,5.1512,-0.5670,1.0023,19.7896,,
1930.13895,-19.28105,-3.5606,5.0947,-0.6929,0.9914,19.7896,,
1930.15978,-19.26022,-4.1429,5.2729,-0.8062,1.0260,19.7896,,
1930.18062,-19.23938,-4.0184,5.2183,-0.7819,1.0154,19.7896,,
1930.22228,-19.19772,13.9346,4.9480,2.7115,0.9628,18.7726,0.3855,
1930.24312,-19.17688,-3.1387,5.0117,-0.6107,0.9752,19.7896,,
1930.28478,-19.13522,2.8555,4.9008,0.5556,0.9536,19.7896,,
1930.30562,-19.11438,-6.1238,4.8805,-1.1916,0.9497,19.7896,,
1930.32645,-19.09355,0.2066,4.7664,0.0402,0.9275,19.7896,,
1930.34728,-19.07272,1.1033,4.7187,0.2147,0.9182,19.7896,,
1930.36812,-19.05188,4.3694,4.6846,0.8502,0.9116,19.7896,,
1930.38895,-19.03105,6.4007,4.6892,1.2455,0.9125,19.6172,0.7954,
