BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1949.54520,0.12520,-0.40377,1.14581,-0.07856,0.22296,19.74286,0.46970,
1949.78667,0.36667,2.96372,1.21696,0.57668,0.23680,19.70025,0.34017,
1950.04519,0.62519,2.37591,1.17401,0.46232,0.22844,19.67148,0.32885,
1950.29519,0.87519,0.52164,1.14112,0.10150,0.22205,19.78960,,
1950.55561,1.13561,2.59264,1.09327,0.50449,0.21273,19.66558,0.26977,
1950.81602,1.39602,3.23472,1.11739,0.62943,0.21743,19.61943,0.24862,
1951.06602,1.64602,4.52772,1.12017,0.88103,0.21797,19.59818,0.25331,
1951.31602,1.89602,4.40747,1.12706,0.85762,0.21931,19.66783,0.29174,
1951.56601,2.14601,2.95158,1.10953,0.57433,0.21590,19.66897,0.28374,
1951.81601,2.39601,5.56979,1.10660,1.08378,0.21533,19.57863,0.22126,
1952.06601,2.64601,3.10828,1.10257,0.60483,0.21455,19.64267,0.27624,
1952.31601,2.89601,2.82869,1.09626,0.55042,0.21332,19.72602,0.39335,
1952.56600,3.14600,3.87657,1.09265,0.75433,0.21261,19.72748,0.34855,
1952.81600,3.39600,5.19619,1.09319,1.01110,0.21272,19.59979,0.22842,
1953.06600,3.64600,3.10825,1.09293,0.60483,0.21267,19.63428,0.25897,
1953.31599,3.89599,2.64208,1.09333,0.51411,0.21275,19.68945,0.31132,
1953.56599,4.14599,2.95081,1.08875,0.57418,0.21185,19.71065,0.30566,
1953.81599,4.39599,6.33353,1.09893,1.23242,0.21383,19.43525,0.17314,
1954.06599,4.64599,6.40253,1.09631,1.24584,0.21333,19.51092,0.19996,
1954.31598,4.89598,6.21872,1.09472,1.21008,0.21302,19.55378,0.23366,
1954.56598,5.14598,5.44606,1.09019,1.05973,0.21213,19.55193,0.20571,
1954.78473,5.36473,5.16739,1.27535,1.00550,0.24816,19.47720,0.19658,
