BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1846.50490,0.12490,3.71258,1.69040,0.19270,0.08774,19.61747,0.36538,
1846.75490,0.37490,-1.01971,1.70521,-0.05293,0.08851,19.67186,0.46113,
1847.00490,0.62490,-0.05914,1.68629,-0.00307,0.08753,19.69167,0.42177,
1847.25490,0.87490,3.17587,1.69302,0.16486,0.08788,19.66394,0.43235,
1847.50490,1.12490,6.18008,1.70046,0.32078,0.08826,19.53780,0.31811,
1847.75491,1.37491,5.30573,1.70281,0.27541,0.08839,19.49741,0.29183,
1848.02157,1.64157,6.91047,1.87424,0.35870,0.09728,19.41973,0.28299,
1848.25491,1.87491,4.38050,1.69750,0.22737,0.08811,19.60579,0.34475,
1848.50207,2.12207,2.66826,1.74469,0.13849,0.09056,19.62007,0.39306,
1848.75491,2.37491,1.62845,1.67859,0.08452,0.08713,19.79713,0.74111,
1849.00491,2.62491,1.49331,1.71973,0.07750,0.08926,19.66207,0.43635,
1849.25491,2.87491,4.19746,1.69885,0.21787,0.08818,19.56709,0.35722,
1849.50491,3.12491,6.60646,1.69154,0.34292,0.08780,19.35819,0.24623,
1849.75491,3.37491,5.95787,1.70118,0.30927,0.08831,19.42881,0.27209,
1850.00491,3.62491,6.68813,1.69226,0.34716,0.08784,19.44053,0.26205,
1850.25491,3.87491,5.15923,1.70757,0.26779,0.08863,19.62991,0.39375,
1850.50491,4.12491,7.97704,1.70549,0.41407,0.08852,19.29478,0.23060,
1850.75491,4.37491,7.40283,1.72493,0.38426,0.08953,19.30788,0.19187,
1851.00491,4.62491,9.88638,1.72062,0.51317,0.08932,19.17916,0.22238,
1851.25491,4.87491,7.94956,1.73896,0.41265,0.09026,19.39755,0.26031,
1851.50491,5.12491,8.53652,1.72149,0.44310,0.08936,19.34472,0.25709,
1851.75491,5.37491,11.65277,1.70940,0.60487,0.08873,19.00145,0.17124,
1852.00491,5.62491,12.24970,1.69710,0.63584,0.08809,18.98727,0.17300,
1852.25491,5.87491,16.63879,1.69859,0.86367,0.08817,18.62077,0.12428,
1852.50490,6.12490,7.87013,1.69584,0.40850,0.08803,19.34933,0.24326,
1852.75490,6.37490,11.95347,1.70726,0.62046,0.08862,19.00950,0.18242,
1853.00490,6.62490,16.00826,1.70567,0.83093,0.08853,18.71647,0.15451,
1853.24657,6.86657,14.25792,1.84725,0.74010,0.09588,18.81811,0.17041,
1853.50490,7.12490,15.62637,1.69874,0.81112,0.08818,18.73907,0.15790,
1853.75490,7.37490,14.59242,1.70175,0.75746,0.08833,18.77301,0.14697,
1854.00490,7.62490,18.29851,1.69439,0.94983,0.08795,18.54781,0.12422,
1854.25489,7.87489,18.99202,1.70794,0.98581,0.08865,18.51070,0.10415,
1854.50489,8.12489,13.35157,1.69967,0.69303,0.08822,18.89107,0.16513,
1854.73290,8.35290,10.60682,1.96985,0.55057,0.10225,19.12136,0.23605,
1856.53613,10.15613,17.78312,1.85840,0.92305,0.09646,18.57067,0.13381,
1856.77571,10.39571,22.97832,1.79804,1.19274,0.09333,18.29421,0.10213,
1856.99909,10.61909,26.91693,2.16507,1.39717,0.11238,18.07848,0.09297,
1857.23751,10.85751,28.45633,2.60092,1.47708,0.13500,18.03238,0.10841,
1857.51737,11.13737,26.60904,2.04264,1.38120,0.10603,18.21616,0.09940,
1857.78044,11.40044,22.47426,1.94827,1.16657,0.10113,18.28993,0.10492,
1858.01737,11.63737,16.78450,1.99989,0.87123,0.10381,18.62508,0.14770,
1858.28233,11.90233,15.57601,1.91242,0.80850,0.09927,18.73412,0.17085,
1858.50602,12.12602,17.69397,2.07391,0.91844,0.10765,18.57888,0.16070,
1858.77569,12.39569,16.98722,1.79098,0.88176,0.09296,18.61601,0.13918,
1859.02569,12.64569,16.24745,1.77040,0.84334,0.09190,18.68180,0.15365,
1859.27569,12.89569,22.44946,1.74350,1.16529,0.09050,18.28358,0.09269,
1859.52569,13.14569,11.10178,1.71304,0.57624,0.08892,19.06510,0.19120,
1859.77568,13.39568,18.63806,1.71342,0.96744,0.08894,18.48498,0.10785,
1859.92151,13.54152,16.32420,4.22033,0.84735,0.21906,18.64545,0.31646,
