BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1959.20984,1.59984,3.76435,0.69674,0.07982,0.01478,19.06582,0.22022,
1959.45984,1.84984,7.69504,0.63782,0.16317,0.01353,18.27630,0.10408,
1959.70984,2.09984,7.50856,0.65073,0.15920,0.01379,18.36477,0.10987,
1959.97025,2.36025,9.60219,0.60546,0.20362,0.01284,18.01555,0.07427,
1960.23063,2.62063,9.83051,0.55031,0.20847,0.01167,17.98285,0.06541,
1960.48063,2.87063,11.20393,0.59334,0.23758,0.01258,17.83717,0.05998,
1960.73063,3.12063,12.53254,0.55655,0.26576,0.01181,17.70167,0.04886,
1960.98063,3.37063,13.09778,0.57784,0.27774,0.01225,17.66662,0.05018,
1961.23063,3.62063,14.19292,0.53608,0.30096,0.01137,17.57014,0.04232,
1961.48063,3.87063,15.04938,0.54545,0.31912,0.01156,17.51518,0.04136,
1961.73063,4.12063,15.96482,0.52054,0.33855,0.01104,17.44434,0.03612,
1961.98063,4.37063,17.69674,0.53733,0.37526,0.01139,17.32699,0.03396,
1962.23063,4.62063,19.83302,0.52815,0.42056,0.01120,17.20100,0.02935,
1962.48063,4.87063,22.36856,0.51978,0.47433,0.01102,17.07202,0.02587,
1962.73063,5.12063,24.24671,0.56257,0.51414,0.01193,16.98146,0.02538,
1962.98063,5.37063,25.42911,0.56587,0.53923,0.01200,16.93664,0.02463,
1963.23063,5.62063,26.83145,0.55655,0.56898,0.01180,16.87310,0.02288,
1963.48063,5.87063,27.75648,0.56172,0.58860,0.01191,16.83288,0.02205,
1963.73063,6.12063,28.64477,0.53484,0.60741,0.01134,16.80025,0.02030,
1963.98063,6.37063,30.04207,0.61438,0.63703,0.01303,16.75423,0.02246,
1964.23063,6.62063,29.96359,0.56979,0.63539,0.01208,16.75127,0.02086,
1964.48063,6.87063,31.29648,0.59539,0.66365,0.01263,16.70333,0.02088,
1964.73063,7.12063,32.02076,0.61749,0.67900,0.01309,16.67896,0.02104,
1964.98060,7.37060,32.39466,0.64079,0.68695,0.01359,16.66513,0.02160,
1965.23059,7.62059,33.77157,0.62015,0.71613,0.01315,16.62058,0.02010,
1965.48059,7.87059,33.57422,0.69717,0.71195,0.01478,16.62585,0.02266,
1965.73059,8.12059,34.82093,0.71388,0.73841,0.01514,16.58810,0.02253,
1965.98059,8.37059,35.19844,0.68308,0.74640,0.01448,16.57491,0.02116,
1966.23059,8.62059,35.72991,0.70813,0.75767,0.01502,16.55958,0.02166,
1966.48059,8.87059,35.77189,0.67663,0.75855,0.01435,16.55925,0.02066,
1966.73059,9.12059,37.85504,0.65068,0.80273,0.01380,16.49658,0.01882,
1966.98059,9.37059,38.11853,0.65403,0.80831,0.01387,16.49082,0.01891,
1967.23059,9.62059,38.62077,0.65005,0.81895,0.01379,16.47416,0.01836,
1967.48059,9.87059,39.59338,0.67094,0.83958,0.01423,16.44677,0.01844,
1967.73059,10.12059,40.48965,0.65298,0.85859,0.01384,16.42231,0.01753,
1967.98059,10.37059,40.73408,0.66428,0.86378,0.01409,16.41662,0.01774,
1968.20976,10.59976,42.09337,0.69318,0.89260,0.01469,16.38120,0.01807,
1969.31392,11.70392,46.11267,0.84145,0.97785,0.01783,16.28075,0.01978,
1969.48055,11.87055,46.65342,0.47598,0.98931,0.01009,16.26839,0.01110,
1969.73055,12.12055,45.72214,0.50964,0.96955,0.01081,16.29208,0.01218,
1969.98055,12.37055,45.85102,0.50012,0.97228,0.01061,16.28745,0.01190,
1970.23055,12.62055,47.32688,0.58533,1.00358,0.01241,16.25388,0.01353,
1970.41805,12.80805,45.73955,0.95847,0.96992,0.02032,16.29102,0.02291,
1973.06384,15.45384,47.50547,1.23222,1.00737,0.02613,16.25545,0.02889,
1973.13676,15.52676,41.11070,1.57742,0.87177,0.03346,16.40753,0.04182,
