BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1955.82532,-5.57468,-4.7750,2.3745,-0.1769,0.0880,18.9620,,
1955.84613,-5.55387,-3.3970,3.0023,-0.1259,0.1112,18.9620,,
1955.86700,-5.53300,-7.1774,3.0494,-0.2660,0.1130,18.9620,,
1955.88782,-5.51218,0.2303,2.2041,0.0085,0.0817,18.9620,,
1955.90863,-5.49137,-4.2561,2.7389,-0.1577,0.1015,18.9620,,
1955.92950,-5.47050,-1.1361,2.4229,-0.0421,0.0898,18.9620,,
1955.95032,-5.44968,-7.6954,2.4562,-0.2852,0.0910,18.9620,,
1955.97113,-5.42887,-2.0503,2.5134,-0.0760,0.0931,18.9620,,
1955.99200,-5.40800,-7.6339,2.3877,-0.2829,0.0885,18.9620,,
1956.01282,-5.38718,-13.4172,2.7325,-0.4972,0.1013,18.9620,,
1956.03363,-5.36637,-3.8956,2.3899,-0.1444,0.0886,18.9620,,
1956.05450,-5.34550,-8.3399,2.8081,-0.3090,0.1041,18.9620,,
1956.07532,-5.32468,-5.5730,2.5844,-0.2065,0.0958,18.9620,,
1956.09613,-5.30387,-11.1749,2.9149,-0.4141,0.1080,18.9620,,
1956.11700,-5.28300,-7.3239,2.3597,-0.2714,0.0874,18.9620,,
1956.13782,-5.26218,-4.5322,2.4699,-0.1679,0.0915,18.9620,,
1956.15863,-5.24137,-8.2896,2.1512,-0.3072,0.0797,18.9620,,
1956.17950,-5.22050,-2.1724,2.4304,-0.0805,0.0901,18.9620,,
1956.20032,-5.19968,-7.9400,2.4696,-0.2942,0.0915,18.9620,,
1956.22113,-5.17887,-5.7929,2.6944,-0.2147,0.0998,18.9620,,
1956.24200,-5.15800,-5.4374,2.3962,-0.2015,0.0888,18.9620,,
1956.26282,-5.13718,-5.8711,2.3872,-0.2176,0.0885,18.9620,,
1956.28363,-5.11637,-3.4242,2.2434,-0.1269,0.0831,18.9620,,
1956.30450,-5.09550,-4.4338,2.7564,-0.1643,0.1021,18.9620,,
1956.32532,-5.07468,-0.4596,2.6342,-0.0170,0.0976,18.9620,,
1956.34613,-5.05387,-4.4679,2.6428,-0.1656,0.0979,18.9620,,
1956.36700,-5.03300,-3.3217,2.6589,-0.1231,0.0985,18.9620,,
1956.38782,-5.01218,-4.5068,3.4993,-0.1670,0.1297,18.9620,,
1956.40863,-4.99137,-4.7955,2.5238,-0.1777,0.0935,18.9620,,
1956.42950,-4.97050,-4.9867,2.9148,-0.1848,0.1080,18.9620,,
1956.45032,-4.94968,-3.6236,2.6716,-0.1343,0.0990,18.9620,,
1956.47113,-4.92887,3.1061,3.1497,0.1151,0.1167,18.9620,,
1956.49200,-4.90800,-4.9547,2.7202,-0.1836,0.1008,18.9620,,
1956.51282,-4.88718,6.8096,2.7688,0.2523,0.1026,18.3572,0.4415,
