BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1959.87782,0.11782,-0.27662,1.74485,-0.01037,0.06536,19.87897,0.76500,
1960.13824,0.37824,-1.32996,1.65796,-0.04983,0.06211,19.82272,0.56262,
1960.39865,0.63865,3.12183,1.65460,0.11696,0.06199,19.77632,0.43426,
1960.64865,0.88865,2.53309,1.65789,0.09490,0.06210,19.72986,0.38107,
1960.89865,1.13865,2.36256,1.69491,0.08852,0.06349,19.77076,0.42057,
1961.14864,1.38864,3.27657,1.67254,0.12275,0.06266,19.60777,0.29409,
1961.39864,1.63864,5.23034,1.62711,0.19592,0.06096,19.60560,0.32727,
1961.64864,1.88864,8.91647,1.63686,0.33402,0.06132,19.30304,0.20722,
1961.89864,2.13864,5.28331,1.66450,0.19793,0.06236,19.53973,0.27049,
1962.14864,2.38864,5.76149,1.64724,0.21584,0.06171,19.52538,0.27528,
1962.39863,2.63863,4.71692,1.62197,0.17672,0.06076,19.65153,0.32929,
1962.64863,2.88863,5.30631,1.64361,0.19879,0.06158,19.62521,0.33695,
1962.89863,3.13863,5.13057,1.67768,0.19220,0.06285,19.53467,0.27892,
1963.14863,3.38863,3.69927,1.65534,0.13858,0.06201,19.75212,0.41979,
1963.39862,3.63863,7.43072,1.64308,0.27837,0.06156,19.39773,0.24464,
1963.64862,3.88862,7.48951,1.65077,0.28059,0.06184,19.43893,0.27451,
1963.89862,4.13862,8.78322,1.66969,0.32902,0.06255,19.26345,0.22138,
1964.14862,4.38862,7.31169,1.65607,0.27391,0.06204,19.33422,0.22606,
1964.39862,4.63862,9.74987,1.63803,0.36525,0.06136,19.22899,0.18244,
1964.64861,4.88861,9.09172,1.63532,0.34059,0.06126,19.29701,0.22388,
1964.89861,5.13861,12.39744,1.65565,0.46443,0.06203,18.94923,0.16099,
1965.14861,5.38861,12.71785,1.67481,0.47645,0.06274,18.88788,0.14889,
1965.39387,5.63387,12.64315,1.71473,0.47365,0.06424,18.99661,0.16901,
1965.64745,5.88745,15.08101,1.90799,0.56497,0.07148,18.76857,0.18139,
1965.89600,6.13600,16.01485,2.06199,0.59994,0.07725,18.63456,0.14484,
1966.12661,6.36661,13.98217,1.94620,0.52380,0.07291,18.87879,0.18796,
1966.38124,6.62124,14.26901,1.90540,0.53454,0.07139,18.76189,0.15124,
1966.64859,6.88859,16.23397,1.65722,0.60816,0.06208,18.62535,0.11718,
1966.91942,7.15942,19.10276,2.00530,0.71562,0.07512,18.46895,0.12621,
1967.15711,7.39711,17.84332,1.70240,0.66845,0.06378,18.54914,0.11799,
1967.39859,7.63859,16.89872,1.60987,0.63307,0.06031,18.59278,0.11137,
1967.64574,7.88574,19.83512,1.64828,0.74307,0.06175,18.41280,0.09683,
1967.89195,8.13195,16.81914,1.56807,0.63008,0.05874,18.59530,0.10929,
1968.15521,8.39521,14.80790,1.47754,0.55472,0.05536,18.75496,0.12540,
1968.29441,8.53440,16.40960,3.42558,0.61475,0.12834,18.60730,0.23437,
1969.39856,9.63856,17.34445,1.39159,0.64977,0.05213,18.56810,0.09549,
1969.64855,9.88855,18.96411,1.39077,0.71042,0.05210,18.46127,0.08543,
1969.89855,10.13855,19.49635,1.41201,0.73037,0.05290,18.42522,0.08228,
1970.14854,10.38854,18.64637,1.69205,0.69854,0.06339,18.51142,0.11518,
1970.39854,10.63854,19.20326,1.85800,0.71939,0.06961,18.46272,0.11405,
1970.64854,10.88853,15.46351,2.07292,0.57931,0.07765,18.68317,0.15665,
1970.89853,11.13853,17.28250,2.13380,0.64745,0.07994,18.59390,0.15772,
1971.14853,11.38853,17.63132,2.07158,0.66050,0.07761,18.62458,0.14856,
1971.39852,11.63852,23.91808,1.97877,0.89602,0.07413,18.23510,0.10655,
1971.64852,11.88852,25.79892,1.98333,0.96647,0.07429,18.14023,0.09425,
1971.89851,12.13851,26.47667,1.98766,0.99187,0.07446,18.08612,0.08420,
1972.14851,12.38851,24.77029,1.91368,0.92794,0.07169,18.17268,0.09001,
1972.39850,12.63850,25.39792,1.83271,0.95147,0.06865,18.13151,0.08088,
1972.64850,12.88850,24.56403,1.84627,0.92022,0.06917,18.17276,0.08537,
1972.89850,13.13850,26.33698,1.85297,0.98665,0.06942,18.11358,0.08529,
1973.14849,13.38849,25.95427,1.82087,0.97231,0.06821,18.11628,0.08102,
1973.39849,13.63849,20.65460,1.77060,0.77377,0.06633,18.36555,0.09875,
1973.64848,13.88848,23.68585,1.78300,0.88733,0.06680,18.22084,0.08822,
1973.89848,14.13848,24.10176,1.79301,0.90291,0.06717,18.21483,0.09038,
1974.14847,14.38847,19.54958,1.77055,0.73237,0.06632,18.45337,0.11355,
1974.39847,14.63847,21.38972,1.71910,0.80130,0.06440,18.35629,0.10054,
1974.64847,14.88846,22.93886,1.72505,0.85934,0.06462,18.27968,0.09461,
1974.89846,15.13846,20.12353,1.74141,0.75387,0.06524,18.40489,0.10148,
1975.14846,15.38846,24.70646,1.71069,0.92557,0.06409,18.18514,0.08246,
1975.39845,15.63845,26.90776,1.66294,1.00802,0.06230,18.07222,0.06972,
1975.64845,15.88845,25.18444,1.69828,0.94347,0.06362,18.17178,0.08380,
1975.89844,16.13844,25.43331,1.72858,0.95280,0.06476,18.13251,0.07651,
1976.14844,16.38844,30.11578,1.69765,1.12821,0.06360,17.95539,0.06467,
1976.39843,16.63844,29.59949,1.65028,1.10887,0.06182,17.95903,0.06139,
1976.64843,16.88843,28.26740,1.67169,1.05896,0.06262,18.00805,0.06488,
1976.89843,17.13842,26.93779,1.69684,1.00914,0.06357,18.06128,0.06922,
1977.16509,17.40509,26.41087,1.86062,0.98941,0.06971,18.09620,0.08041,
1977.39747,17.63747,26.35335,1.74384,0.98726,0.06533,18.09634,0.07501,
1977.64841,17.88841,27.78134,1.68426,1.04074,0.06310,18.04526,0.07030,
1977.89841,18.13841,29.42013,1.71590,1.10213,0.06428,17.97364,0.06544,
1978.14840,18.38840,27.21732,1.71352,1.01962,0.06419,18.05542,0.07010,
