BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1958.12744,0.12744,-0.56637,0.48913,-0.11611,0.10028,20.23050,0.86170,
1958.37744,0.37744,-0.57926,0.48113,-0.11875,0.09864,20.13307,0.50983,
1958.62744,0.62744,-0.60883,0.49261,-0.12483,0.10100,20.19697,0.80021,
1958.87744,0.87744,-0.64672,0.51321,-0.13258,0.10522,20.26770,,
1959.12744,1.12744,-0.09338,0.50942,-0.01915,0.10444,20.07115,0.51766,
1959.37745,1.37745,-0.34226,0.44990,-0.07017,0.09224,20.23860,0.81923,
1959.62748,1.62748,0.75193,0.47805,0.15417,0.09801,19.97797,0.47233,
1959.87748,1.87748,0.72273,0.46398,0.14817,0.09513,20.02987,0.49223,
1960.12748,2.12748,1.31480,0.44373,0.26955,0.09097,19.86054,0.33475,
1960.37748,2.37748,1.06307,0.44688,0.21796,0.09162,19.96950,0.34701,
1960.62748,2.62748,1.27248,0.47097,0.26088,0.09655,19.74087,0.28270,
1960.87748,2.87748,0.60867,0.45041,0.12478,0.09234,19.98594,0.34193,
1961.12748,3.12748,1.22681,0.45136,0.25153,0.09254,19.77037,0.27755,
1961.37748,3.37748,0.76652,0.42120,0.15714,0.08635,20.06517,0.39265,
1961.62748,3.62748,0.62933,0.45246,0.12903,0.09276,20.05297,0.44680,
1961.87748,3.87748,0.58513,0.41264,0.11996,0.08460,19.98719,0.38927,
1962.12752,4.12752,1.44251,0.42786,0.29572,0.08772,19.85186,0.30128,
1962.37752,4.37752,1.57820,0.42267,0.32356,0.08665,19.81960,0.30248,
1962.62752,4.62752,1.47652,0.44765,0.30269,0.09178,19.86499,0.30954,
1962.87752,4.87752,2.09922,0.41985,0.43039,0.08608,19.64433,0.23089,
1963.12752,5.12752,2.35565,0.43872,0.48295,0.08995,19.53733,0.23852,
1963.37752,5.37752,1.38848,0.42974,0.28465,0.08810,19.89387,0.24503,
1963.62752,5.62752,1.63247,0.41937,0.33468,0.08598,19.83864,0.27304,
1963.87752,5.87752,1.63007,0.43223,0.33418,0.08861,19.73337,0.24581,
1964.12752,6.12752,1.86721,0.43626,0.38282,0.08944,19.67398,0.26338,
1964.37752,6.37752,1.86476,0.41703,0.38230,0.08550,19.68527,0.23751,
1964.62755,6.62755,1.75823,0.44145,0.36048,0.09050,19.79637,0.31558,
1964.87756,6.87756,2.84719,0.41110,0.58372,0.08429,19.37458,0.18136,
1965.12756,7.12756,2.41663,0.44110,0.49546,0.09043,19.56850,0.25019,
1965.37093,7.37093,2.58225,0.44326,0.52940,0.09088,19.44683,0.19997,
1965.63173,7.63173,2.77360,0.48527,0.56865,0.09949,19.34472,0.19535,
1965.87409,7.87409,3.25902,0.50446,0.66817,0.10343,19.21206,0.19891,
1966.11904,8.11904,2.44034,0.45659,0.50033,0.09361,19.57793,0.26067,
1966.36714,8.36714,3.15084,0.56804,0.64597,0.11646,19.32871,0.21361,
1966.63798,8.63798,2.51278,0.44842,0.51515,0.09193,19.49273,0.22316,
1966.89724,8.89724,3.17377,0.46474,0.65068,0.09528,19.30094,0.20193,
1967.13419,9.13419,2.78568,0.46352,0.57111,0.09503,19.45360,0.23937,
1967.37760,9.37760,2.32940,0.41807,0.47757,0.08571,19.56157,0.21841,
1967.62287,9.62287,3.21441,0.42548,0.65902,0.08723,19.24328,0.15972,
1967.86908,9.86908,3.55981,0.39045,0.72982,0.08005,19.17195,0.12320,
1968.13234,10.13234,3.08463,0.39131,0.63240,0.08023,19.29554,0.14356,
1968.28385,10.28385,3.31490,0.82720,0.67960,0.16959,19.28110,0.24080,
1969.38802,11.38802,4.98535,0.42609,1.02208,0.08735,18.77753,0.11619,
