BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1955.80295,-10.96705,6.1491,3.7378,0.4270,0.2596,19.3013,,
1955.82378,-10.94622,9.0498,3.7352,0.6285,0.2594,19.2412,0.4481,
1955.84461,-10.92539,5.9328,3.7411,0.4120,0.2598,19.3013,,
1955.86545,-10.90455,4.4678,3.7388,0.3103,0.2597,19.3013,,
1955.88628,-10.88372,8.4046,3.7345,0.5837,0.2593,19.3013,,
1955.90711,-10.86289,2.3394,3.7371,0.1625,0.2595,19.3013,,
1955.92795,-10.84205,9.0303,3.7457,0.6271,0.2601,19.2435,0.4504,
1955.94878,-10.82122,11.4281,3.7408,0.7936,0.2598,18.9879,0.3554,
1955.96961,-10.80039,11.6288,3.7424,0.8076,0.2599,18.9690,0.3494,
1955.99045,-10.77955,7.4205,3.7418,0.5153,0.2599,19.3013,,
1956.01128,-10.75872,4.5058,3.7335,0.3129,0.2593,19.3013,,
1956.03211,-10.73789,0.7567,3.7296,0.0525,0.2590,19.3013,,
1956.05295,-10.71705,9.6656,3.7381,0.6712,0.2596,19.1697,0.4199,
1956.07378,-10.69622,1.1875,3.7342,0.0825,0.2593,19.3013,,
1956.09461,-10.67539,11.8707,3.7356,0.8244,0.2594,18.9466,0.3417,
1956.11545,-10.65455,11.6141,3.7383,0.8066,0.2596,18.9703,0.3495,
1956.13628,-10.63372,13.0423,3.7410,0.9057,0.2598,18.8444,0.3114,
1956.15712,-10.61288,4.6186,3.7384,0.3207,0.2596,19.3013,,
1956.17795,-10.59205,15.4106,3.7470,1.0702,0.2602,18.6633,0.2640,
1956.19878,-10.57122,10.9460,3.7474,0.7602,0.2602,19.0347,0.3717,
1956.21962,-10.55038,8.9130,3.7384,0.6190,0.2596,19.2577,0.4554,
1956.24045,-10.52955,6.7692,3.7425,0.4701,0.2599,19.3013,,
1956.26128,-10.50872,10.8555,3.7461,0.7539,0.2602,19.0437,0.3747,
1956.28212,-10.48788,5.5261,3.7863,0.3838,0.2629,19.3013,,
1956.30295,-10.46705,5.6111,3.8424,0.3897,0.2668,19.3013,,
1956.32378,-10.44622,3.6533,3.9313,0.2537,0.2730,19.3013,,
1956.34462,-10.42538,0.9215,4.0086,0.0640,0.2784,19.3013,,
1956.36545,-10.40455,-2.3893,4.1180,-0.1659,0.2860,19.3013,,
1956.38629,-10.38371,5.3496,4.2312,0.3715,0.2938,19.3013,,
1956.40712,-10.36288,-1.2778,4.3351,-0.0887,0.3011,19.3013,,
1956.42795,-10.34205,-0.5915,4.4838,-0.0411,0.3114,19.3013,,
1956.44879,-10.32121,3.5532,4.5649,0.2468,0.3170,19.3013,,
1956.46962,-10.30038,7.5093,4.6962,0.5215,0.3261,19.3013,,
1956.49045,-10.27955,5.8860,4.8023,0.4088,0.3335,19.3013,,
1956.51129,-10.25871,14.9963,4.8976,1.0414,0.3401,18.6928,0.3546,
1956.53212,-10.23788,12.0647,5.0345,0.8379,0.3496,18.9290,0.4531,
1956.55295,-10.21705,6.5537,5.0716,0.4551,0.3522,19.3013,,
1956.57379,-10.19621,-2.6899,5.1411,-0.1868,0.3570,19.3013,,
1956.59462,-10.17538,-5.9572,5.2505,-0.4137,0.3646,19.3013,,
1956.61545,-10.15455,2.0285,5.3094,0.1409,0.3687,19.3013,,
1956.63629,-10.13371,16.4833,5.4085,1.1447,0.3756,18.5902,0.3562,
1956.65712,-10.11288,0.2899,5.5185,0.0201,0.3832,19.3013,,
1956.67795,-10.09205,9.6949,5.5915,0.6733,0.3883,19.1664,0.6262,
1956.69879,-10.07121,17.6650,5.7117,1.2268,0.3967,18.5150,0.3511,
1956.71962,-10.05038,10.5258,5.8093,0.7310,0.4034,19.0772,0.5992,
1956.74046,-10.02954,12.7634,5.8587,0.8864,0.4069,18.8679,0.4984,
1956.78212,-9.98788,-0.7332,6.0866,-0.0509,0.4227,19.3013,,
1956.80296,-9.96704,-15.9053,6.1791,-1.1046,0.4291,19.3013,,
1956.82379,-9.94621,1.0708,6.2827,0.0744,0.4363,19.3013,,
1956.86546,-9.90454,1.8820,6.4702,0.1307,0.4493,19.3013,,
1956.92796,-9.84204,-8.9767,6.6112,-0.6234,0.4591,19.3013,,
1956.94879,-9.82121,-15.7904,6.6833,-1.0966,0.4641,19.3013,,
1957.03213,-9.73787,-0.5727,6.6201,-0.0398,0.4597,19.3013,,
1957.07379,-9.69621,5.3974,6.6012,0.3748,0.4584,19.3013,,
1957.09463,-9.67537,0.6512,6.5896,0.0452,0.4576,19.3013,,
1957.13629,-9.63371,8.4918,6.5791,0.5897,0.4569,19.3013,,
1957.19879,-9.57121,-9.2639,6.4271,-0.6434,0.4463,19.3013,,
1957.21963,-9.55037,-0.8059,6.4519,-0.0560,0.4481,19.3013,,
1957.24046,-9.52954,-12.9401,6.4550,-0.8987,0.4483,19.3013,,
1957.26129,-9.50871,6.5701,6.3866,0.4563,0.4435,19.3013,,
1957.34463,-9.42537,1.9768,6.0807,0.1373,0.4223,19.3013,,
1957.42796,-9.34204,1.9060,5.9061,0.1324,0.4102,19.3013,,
1957.44880,-9.32120,-6.7597,5.8428,-0.4694,0.4058,19.3013,,
1957.46963,-9.30037,-1.4500,5.8727,-0.1007,0.4078,19.3013,,
1957.49046,-9.27954,-13.3018,5.7889,-0.9238,0.4020,19.3013,,
1957.51130,-9.25870,0.9503,5.8281,0.0660,0.4047,19.3013,,
1957.53213,-9.23787,-3.3853,5.8634,-0.2351,0.4072,19.3013,,
1957.55297,-9.21703,-13.2675,5.8882,-0.9214,0.4089,19.3013,,
1957.57380,-9.19620,-6.0486,5.8821,-0.4201,0.4085,19.3013,,
1957.59463,-9.17537,1.7552,5.9075,0.1219,0.4103,19.3013,,
1957.61547,-9.15453,-2.5075,5.8729,-0.1741,0.4079,19.3013,,
1957.63630,-9.13370,1.8985,5.8939,0.1318,0.4093,19.3013,,
1957.69880,-9.07120,-8.6169,5.9188,-0.5984,0.4110,19.3013,,
1957.71963,-9.05037,-13.1935,5.9132,-0.9162,0.4107,19.3013,,
1957.78214,-8.98786,-15.1608,5.8565,-1.0529,0.4067,19.3013,,
1957.86547,-8.90453,-5.8421,5.9035,-0.4057,0.4100,19.3013,,
1957.88630,-8.88370,-5.9763,5.9239,-0.4150,0.4114,19.3013,,
1957.94880,-8.82120,-3.3451,5.9598,-0.2323,0.4139,19.3013,,
1958.28214,-8.48786,6.3703,5.4280,0.4424,0.3770,19.3013,,
1958.30298,-8.46702,3.7736,5.3623,0.2621,0.3724,19.3013,,
1958.32381,-8.44619,-0.2691,5.3768,-0.0187,0.3734,19.3013,,
1958.34464,-8.42536,6.6590,5.3951,0.4624,0.3747,19.3013,,
1958.36548,-8.40452,4.1498,5.3443,0.2882,0.3711,19.3013,,
1958.38631,-8.38369,12.8353,5.2738,0.8914,0.3662,18.8618,0.4461,
1958.40714,-8.36286,2.8955,5.1848,0.2011,0.3601,19.3013,,
1958.42798,-8.34202,-1.7592,5.1392,-0.1222,0.3569,19.3013,,
1958.44881,-8.32119,10.4660,5.0785,0.7268,0.3527,19.0833,0.5268,
1958.46964,-8.30036,16.2159,5.1433,1.1261,0.3572,18.6079,0.3444,
1958.49048,-8.27952,8.5399,5.1264,0.5931,0.3560,19.3013,,
1958.51131,-8.25869,13.0970,5.0172,0.9095,0.3484,18.8399,0.4159,
1958.53214,-8.23786,16.4959,5.0373,1.1456,0.3498,18.5894,0.3315,
1958.55298,-8.21702,11.5005,4.9962,0.7987,0.3470,18.9810,0.4717,
1958.57381,-8.19619,5.9168,5.0561,0.4109,0.3511,19.3013,,
1958.59464,-8.17536,5.2073,5.0903,0.3616,0.3535,19.3013,,
1958.61548,-8.15452,5.9094,5.0647,0.4104,0.3517,19.3013,,
1958.63631,-8.13369,10.8425,5.1535,0.7530,0.3579,19.0450,0.5161,
1958.65715,-8.11285,8.0023,5.1615,0.5557,0.3585,19.3013,,
1958.67798,-8.09202,10.0723,5.0903,0.6995,0.3535,19.1250,0.5487,
1958.69881,-8.07119,13.2766,5.1163,0.9220,0.3553,18.8251,0.4184,
1958.71965,-8.05035,14.1304,5.1379,0.9813,0.3568,18.7574,0.3948,
1958.74048,-8.02952,1.2087,5.0257,0.0839,0.3490,19.3013,,
1958.76131,-8.00869,2.6607,5.0153,0.1848,0.3483,19.3013,,
1958.78215,-7.98785,8.8391,5.0353,0.6138,0.3497,19.2668,0.6185,
1958.80298,-7.96702,11.9741,5.0564,0.8316,0.3512,18.9372,0.4585,
1958.82381,-7.94619,6.2050,5.0790,0.4309,0.3527,19.3013,,
1958.84465,-7.92535,3.8824,5.0876,0.2696,0.3533,19.3013,,
1958.86548,-7.90452,13.7307,5.0799,0.9536,0.3528,18.7886,0.4017,
1958.88632,-7.88368,9.4290,5.1261,0.6548,0.3560,19.1966,0.5903,
1958.90715,-7.86285,11.7832,5.1716,0.8183,0.3592,18.9546,0.4765,
1958.92798,-7.84202,9.5731,5.1643,0.6648,0.3586,19.1802,0.5857,
1958.94882,-7.82118,10.6478,5.1801,0.7395,0.3597,19.0647,0.5282,
1958.96965,-7.80035,9.3821,5.1847,0.6516,0.3601,19.2021,0.6000,
1958.99048,-7.77952,11.6976,5.1414,0.8124,0.3571,18.9626,0.4772,
1959.01132,-7.75868,1.4374,5.1191,0.0998,0.3555,19.3013,,
1959.03215,-7.73785,5.8396,5.1171,0.4055,0.3554,19.3013,,
1959.05298,-7.71702,2.8446,5.0581,0.1975,0.3513,19.3013,,
1959.07382,-7.69618,8.4755,5.0182,0.5886,0.3485,19.3013,,
1959.09465,-7.67535,1.2457,5.0180,0.0865,0.3485,19.3013,,
1959.11548,-7.65452,4.4296,4.9259,0.3076,0.3421,19.3013,,
1959.13632,-7.63368,13.9221,4.9347,0.9668,0.3427,18.7735,0.3848,
1959.15715,-7.61285,6.3281,4.9488,0.4395,0.3437,19.3013,,
1959.17799,-7.59201,-4.4352,4.8870,-0.3080,0.3394,19.3013,,
1959.19882,-7.57118,-2.0626,4.8884,-0.1432,0.3395,19.3013,,
1959.21965,-7.55035,-7.5356,4.8725,-0.5233,0.3384,19.3013,,
1959.24049,-7.52951,3.0024,4.8411,0.2085,0.3362,19.3013,,
1959.26132,-7.50868,-8.2249,4.8180,-0.5712,0.3346,19.3013,,
1959.28215,-7.48785,-4.3186,4.8358,-0.2999,0.3358,19.3013,,
1959.30299,-7.46701,8.6930,4.8056,0.6037,0.3337,19.2849,0.6002,
1959.32382,-7.44618,13.7720,4.7630,0.9564,0.3308,18.7853,0.3755,
1959.34465,-7.42535,9.8879,4.7021,0.6867,0.3265,19.1450,0.5163,
1959.36549,-7.40451,6.8321,4.6390,0.4745,0.3222,19.3013,,
1959.38632,-7.38368,1.8557,4.5908,0.1289,0.3188,19.3013,,
1959.40716,-7.36284,-2.2769,4.5806,-0.1581,0.3181,19.3013,,
1959.42799,-7.34201,-7.8359,4.5916,-0.5442,0.3189,19.3013,,
1959.44882,-7.32118,-5.0392,4.5537,-0.3500,0.3162,19.3013,,
1959.46966,-7.30034,-2.7841,4.5333,-0.1933,0.3148,19.3013,,
1959.49049,-7.27951,10.6854,4.5421,0.7421,0.3154,19.0608,0.4615,
1959.51132,-7.25868,-7.2080,4.5065,-0.5006,0.3130,19.3013,,
1959.53216,-7.23784,6.4787,4.5272,0.4499,0.3144,19.3013,,
1959.55299,-7.21701,5.7064,4.5406,0.3963,0.3153,19.3013,,
1959.57382,-7.19618,4.0152,4.5744,0.2788,0.3177,19.3013,,
1959.59466,-7.17534,-3.7604,4.5610,-0.2611,0.3167,19.3013,,
1959.61549,-7.15451,2.1851,4.6132,0.1517,0.3204,19.3013,,
1959.63632,-7.13368,3.0477,4.6147,0.2117,0.3205,19.3013,,
1959.65716,-7.11284,3.8873,4.6290,0.2700,0.3215,19.3013,,
1959.67799,-7.09201,-11.4630,4.6225,-0.7961,0.3210,19.3013,,
1959.69883,-7.07117,2.3587,4.6325,0.1638,0.3217,19.3013,,
1959.71966,-7.05034,-3.5327,4.6121,-0.2453,0.3203,19.3013,,
1959.74049,-7.02951,-0.9453,4.6016,-0.0656,0.3196,19.3013,,
1959.76133,-7.00867,-2.9784,4.5833,-0.2068,0.3183,19.3013,,
1959.78216,-6.98784,-4.8411,4.5797,-0.3362,0.3180,19.3013,,
1959.80299,-6.96701,-12.3475,4.5803,-0.8575,0.3181,19.3013,,
1959.82383,-6.94617,-2.5829,4.5769,-0.1794,0.3179,19.3013,,
1959.84466,-6.92534,3.9495,4.5813,0.2743,0.3182,19.3013,,
1959.86549,-6.90451,-0.4729,4.5945,-0.0328,0.3191,19.3013,,
1959.88633,-6.88367,-4.8621,4.5998,-0.3377,0.3194,19.3013,,
1959.90716,-6.86284,7.8154,4.5964,0.5428,0.3192,19.3013,,
1959.92800,-6.84200,-0.3633,4.6804,-0.0252,0.3250,19.3013,,
