BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1955.80634,-15.72366,3.3185,4.3894,0.0999,0.1321,19.7604,,
1955.82718,-15.70282,8.0252,4.5603,0.2415,0.1373,19.3717,0.6170,
1955.84801,-15.68199,3.1575,4.6787,0.0950,0.1408,19.7604,,
1955.86884,-15.66116,5.9885,4.6175,0.1802,0.1390,19.6895,0.8372,
1955.88968,-15.64032,5.0585,4.6441,0.1522,0.1398,19.7604,,
1955.91051,-15.61949,0.7046,4.3003,0.0212,0.1294,19.7604,,
1955.93134,-15.59866,5.3152,4.2164,0.1600,0.1269,19.7604,,
1955.95218,-15.57782,2.5048,4.7308,0.0754,0.1424,19.7604,,
1955.97301,-15.55699,13.6144,4.6806,0.4098,0.1409,18.7978,0.3733,
1955.99384,-15.53616,8.3460,4.8463,0.2512,0.1459,19.3291,0.6305,
1956.01468,-15.51532,3.1363,4.8544,0.0944,0.1461,19.7604,,
1956.03551,-15.49449,-1.7554,4.7132,-0.0528,0.1419,19.7604,,
1956.05634,-15.47366,-0.6342,4.7472,-0.0191,0.1429,19.7604,,
1956.07718,-15.45282,11.2753,4.8240,0.3394,0.1452,19.0025,0.4645,
1956.09801,-15.43199,2.7737,4.7992,0.0835,0.1444,19.7604,,
1956.11884,-15.41116,7.1813,4.9051,0.2161,0.1476,19.4923,0.7416,
1956.13968,-15.39032,8.8118,4.7747,0.2652,0.1437,19.2701,0.5883,
1956.16051,-15.36949,7.6394,4.7339,0.2299,0.1425,19.4252,0.6728,
1956.18134,-15.34866,3.7128,4.8642,0.1117,0.1464,19.7604,,
1956.20218,-15.32782,7.0215,4.7809,0.2113,0.1439,19.5167,0.7393,
1956.22301,-15.30699,7.5954,4.5863,0.2286,0.1380,19.4314,0.6556,
1956.24384,-15.28616,5.1841,4.9253,0.1560,0.1482,19.7604,,
1956.26468,-15.26532,3.7601,4.8512,0.1132,0.1460,19.7604,,
1956.28551,-15.24449,5.5684,4.7322,0.1676,0.1424,19.7604,,
1956.30634,-15.22366,4.4660,4.8652,0.1344,0.1464,19.7604,,
1956.32718,-15.20282,0.0545,4.7176,0.0016,0.1420,19.7604,,
1956.34801,-15.18199,5.1212,4.8266,0.1541,0.1453,19.7604,,
1956.36885,-15.16115,5.7404,4.9400,0.1728,0.1487,19.7354,0.9343,
1956.38968,-15.14032,7.0850,5.0506,0.2132,0.1520,19.5070,0.7740,
1956.41051,-15.11949,3.4159,5.1983,0.1028,0.1565,19.7604,,
1956.43135,-15.09865,6.4060,5.3522,0.1928,0.1611,19.6163,0.9071,
1956.45218,-15.07782,5.2106,5.2139,0.1568,0.1569,19.7604,,
1956.47301,-15.05699,5.5739,5.6748,0.1678,0.1708,19.7604,,
1956.49385,-15.03615,9.5382,5.4274,0.2871,0.1634,19.1841,0.6178,
1956.51468,-15.01532,0.3322,5.5581,0.0100,0.1673,19.7604,,
1956.53551,-14.99449,-1.4893,5.7083,-0.0448,0.1718,19.7604,,
1956.55635,-14.97365,5.7752,5.9851,0.1738,0.1801,19.7289,1.1252,
1956.57718,-14.95282,3.1274,6.1166,0.0941,0.1841,19.7604,,
1956.59801,-14.93199,-5.4924,6.5193,-0.1653,0.1962,19.7604,,
1956.61885,-14.91115,1.5757,6.6787,0.0474,0.2010,19.7604,,
1956.63968,-14.89032,-0.6014,6.7812,-0.0181,0.2041,19.7604,,
1956.66051,-14.86949,5.9397,6.8064,0.1788,0.2049,19.6984,1.2442,
1956.68135,-14.84865,-4.8932,6.9933,-0.1473,0.2105,19.7604,,
1956.70218,-14.82782,-6.1404,7.0821,-0.1848,0.2132,19.7604,,
1956.72301,-14.80699,-1.0510,7.2282,-0.0316,0.2175,19.7604,,
1956.74385,-14.78615,1.4493,7.3670,0.0436,0.2217,19.7604,,
1956.76468,-14.76532,-3.7239,7.4549,-0.1121,0.2244,19.7604,,
1956.78552,-14.74448,11.2620,7.6282,0.3390,0.2296,19.0038,0.7354,
1956.80635,-14.72365,0.1470,7.8846,0.0044,0.2373,19.7604,,
1956.82718,-14.70282,-0.9827,7.9807,-0.0296,0.2402,19.7604,,
1956.84802,-14.68198,-11.1411,7.9709,-0.3353,0.2399,19.7604,,
1956.86885,-14.66115,5.1381,8.3975,0.1546,0.2527,19.7604,,
1956.88968,-14.64032,6.4938,8.4972,0.1954,0.2557,19.6016,1.4207,
1956.91052,-14.61948,1.4904,8.5245,0.0449,0.2566,19.7604,,
1956.93135,-14.59865,-3.2586,8.6614,-0.0981,0.2607,19.7604,,
1956.95218,-14.57782,6.4391,8.4924,0.1938,0.2556,19.6107,1.4320,
1956.97302,-14.55698,-5.8324,9.5846,-0.1755,0.2885,19.7604,,
1956.99385,-14.53615,-5.7241,9.5744,-0.1723,0.2882,19.7604,,
1957.01468,-14.51532,-4.6730,9.4012,-0.1406,0.2830,19.7604,,
1957.03552,-14.49448,-12.2374,9.4387,-0.3683,0.2841,19.7604,,
1957.05635,-14.47365,5.6206,9.5930,0.1692,0.2887,19.7583,1.8531,
1957.07718,-14.45282,3.1696,9.4665,0.0954,0.2849,19.7604,,
1957.09802,-14.43198,-7.4323,9.5747,-0.2237,0.2882,19.7604,,
1957.11885,-14.41115,9.3640,8.6124,0.2818,0.2592,19.2041,0.9986,
1957.13968,-14.39032,-11.4641,8.6813,-0.3450,0.2613,19.7604,,
1957.16052,-14.36948,2.1750,9.6987,0.0655,0.2919,19.7604,,
1957.18135,-14.34865,-8.3563,9.8355,-0.2515,0.2960,19.7604,,
1957.20218,-14.32782,6.9210,9.8484,0.2083,0.2964,19.5324,1.5450,
1957.22302,-14.30698,3.6640,9.6980,0.1103,0.2919,19.7604,,
1957.24385,-14.28615,7.3348,9.6160,0.2208,0.2894,19.4693,1.4234,
1957.26469,-14.26531,-11.7089,9.6612,-0.3524,0.2908,19.7604,,
1957.28552,-14.24448,4.1590,9.6431,0.1252,0.2902,19.7604,,
1957.30635,-14.22365,-1.3421,9.4994,-0.0404,0.2859,19.7604,,
1957.32719,-14.20281,-5.1665,9.2486,-0.1555,0.2784,19.7604,,
