BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1963.77497,0.12497,-0.29094,1.31996,-0.02349,0.10654,19.92790,1.03380,
1964.02498,0.37498,-0.50610,1.31397,-0.04085,0.10606,19.84934,0.41390,
1964.27498,0.62498,2.37415,1.38627,0.19163,0.11189,19.79867,0.44004,
1964.52498,0.87498,-0.39055,1.32411,-0.03152,0.10687,19.87666,0.54567,
1964.77498,1.12498,-3.75006,1.36269,-0.30267,0.10999,19.92900,,
1965.02499,1.37499,-2.37307,1.31213,-0.19153,0.10590,19.92900,,
1965.27499,1.62499,1.42613,1.29054,0.11512,0.10416,19.90397,0.62732,
1965.52026,1.87026,2.03076,1.46272,0.16390,0.11806,19.84178,0.50523,
1965.76836,2.11836,2.68655,1.44897,0.21685,0.11695,19.85328,0.56328,
1966.03352,2.38352,1.35035,1.54295,0.10899,0.12454,19.89525,0.71396,
1966.26921,2.61921,1.39667,1.68702,0.11272,0.13616,19.74739,0.37760,
1966.53541,2.88541,2.38388,1.48610,0.19241,0.11994,19.88222,0.63660,
1966.75995,3.10995,5.00349,1.55067,0.40386,0.12516,19.68793,0.32689,
1967.02216,3.37216,7.92737,1.46191,0.63986,0.11800,19.40983,0.22135,
1967.27500,3.62500,10.61646,1.42206,0.85690,0.11478,19.13822,0.16569,
1967.52500,3.87500,5.54268,1.35352,0.44737,0.10924,19.61029,0.24900,
1967.77500,4.12500,4.27863,1.34445,0.34534,0.10851,19.66746,0.29913,
1968.02501,4.37501,4.26185,1.36659,0.34398,0.11031,19.62171,0.30450,
1968.23334,4.58334,0.84489,1.62720,0.06819,0.13134,19.79499,0.53398,
1969.33751,5.68751,2.51637,1.45351,0.20310,0.11731,19.84180,0.45853,
1969.52501,5.87501,1.93820,1.00403,0.15643,0.08104,19.86769,0.37003,
1969.77500,6.12500,2.20815,1.05274,0.17823,0.08497,19.86663,0.42760,
1970.02500,6.37500,2.19378,1.08193,0.17707,0.08733,19.80309,0.32545,
1970.24375,6.59375,13.81650,1.56190,1.11519,0.12606,18.85969,0.13350,
1971.81666,8.16666,11.36783,2.95064,0.91752,0.23815,19.07470,0.35800,
1972.02500,8.37500,10.30691,1.96229,0.83192,0.15838,19.19000,0.21788,
1972.27499,8.62499,5.41692,1.75760,0.43722,0.14186,19.62827,0.34442,
1972.52499,8.87499,9.44463,1.62618,0.76232,0.13125,19.24821,0.20426,
1972.77499,9.12499,9.95772,1.65502,0.80373,0.13358,19.19263,0.20954,
1973.02499,9.37499,9.78310,1.61400,0.78963,0.13027,19.20946,0.20347,
1973.27499,9.62499,6.19888,1.53096,0.50034,0.12357,19.55699,0.28151,
1973.52499,9.87499,11.65919,1.44364,0.94107,0.11652,19.03754,0.15473,
1973.77499,10.12499,11.50020,1.49292,0.92822,0.12050,18.98589,0.14343,
1974.02499,10.37499,12.24432,1.48780,0.98827,0.12009,18.96776,0.14410,
1974.27499,10.62499,11.79483,1.44444,0.95200,0.11658,18.99028,0.15234,
1974.52499,10.87499,10.52287,1.38401,0.84934,0.11171,19.11896,0.16340,
1974.77499,11.12499,10.67754,1.38421,0.86182,0.11172,19.11872,0.16539,
1975.02498,11.37498,12.07504,1.40104,0.97463,0.11308,18.97211,0.14179,
1975.27498,11.62498,11.69066,1.39897,0.94361,0.11292,19.01134,0.14946,
1975.52498,11.87498,14.40621,1.36911,1.16278,0.11050,18.79097,0.11797,
1975.77498,12.12498,17.40202,1.44377,1.40457,0.11653,18.55268,0.09636,
1976.02498,12.37498,17.19917,1.42309,1.38820,0.11486,18.59564,0.10235,
1976.27498,12.62498,15.50493,1.42963,1.25145,0.11539,18.69522,0.11284,
1976.52498,12.87498,12.39220,1.37760,1.00020,0.11119,18.98478,0.15772,
1976.77497,13.12497,12.91773,1.35603,1.04265,0.10946,18.90632,0.12959,
1977.01664,13.36664,12.69668,1.45290,1.02480,0.11727,18.93119,0.13155,
1977.27497,13.62497,13.23599,1.25608,1.06833,0.10138,18.90592,0.12296,
1977.52497,13.87497,9.06148,1.23745,0.73138,0.09988,19.29350,0.17146,
1977.71247,14.06247,13.64157,1.81783,1.10105,0.14673,18.82220,0.15651,
