BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1965.29128,0.13128,0.37250,1.45075,0.02343,0.09126,19.53483,0.44278,
1965.53781,0.37781,2.22781,1.63161,0.14012,0.10264,19.58409,0.79140,
1965.78087,0.62087,2.89517,1.60964,0.18212,0.10126,19.50047,0.40293,
1966.05171,0.89171,0.20366,1.65443,0.01281,0.10408,19.58430,,
1966.29245,1.13245,-1.79154,1.66200,-0.11269,0.10455,19.58430,,
1966.55380,1.39380,4.24725,1.56725,0.26716,0.09859,19.38540,0.29091,
1966.78320,1.62320,0.86574,1.64936,0.05447,0.10376,19.53509,0.54410,
1967.04755,1.88755,2.63225,1.52619,0.16559,0.09601,19.56360,0.51254,
1967.29131,2.13131,1.43664,1.40862,0.09037,0.08861,19.53531,0.43911,
1967.54131,2.38131,7.91699,1.43430,0.49804,0.09023,19.30351,0.22656,
1967.80173,2.64173,3.32818,1.44315,0.20936,0.09079,19.54264,0.45358,
1968.04548,2.88548,4.63045,1.50494,0.29129,0.09467,19.43365,0.29387,
1968.23924,3.07924,0.52419,1.76105,0.03297,0.11079,19.49180,0.42630,
1969.34342,4.18342,7.08554,1.80203,0.44573,0.11336,19.34320,0.28208,
1969.54134,4.38134,7.29583,1.37647,0.45897,0.08659,19.32398,0.21687,
1969.79134,4.63134,7.63112,1.36569,0.48007,0.08591,19.30347,0.20908,
1970.04134,4.88134,9.02325,1.40750,0.56763,0.08854,19.14787,0.15773,
1970.29135,5.13135,1.92370,1.57977,0.12101,0.09938,19.57230,0.59197,
1970.54135,5.38135,5.96818,1.65203,0.37544,0.10392,19.42631,0.31121,
1970.79135,5.63135,7.14465,1.76827,0.44946,0.11124,19.35291,0.28943,
1971.04135,5.88135,10.66652,1.77238,0.67102,0.11150,19.10451,0.20101,
1971.29136,6.13136,8.17675,1.66193,0.51439,0.10455,19.27592,0.22871,
1971.54136,6.38136,7.65955,1.58873,0.48184,0.09994,19.23390,0.22393,
1971.79136,6.63136,8.53182,1.52126,0.53673,0.09570,19.23599,0.21550,
1972.04136,6.88136,8.67075,1.50625,0.54544,0.09475,19.26828,0.20266,
1972.29137,7.13137,11.73340,1.50003,0.73813,0.09436,19.00652,0.15656,
1972.54137,7.38137,10.76620,1.46713,0.67728,0.09229,19.05505,0.16301,
1972.79137,7.63137,13.54974,1.46946,0.85238,0.09244,18.85301,0.13358,
1973.04138,7.88138,9.40201,1.42798,0.59147,0.08983,19.15430,0.17079,
1973.29138,8.13138,12.80929,1.43147,0.80580,0.09005,18.92178,0.14121,
1973.54138,8.38138,8.89713,1.43718,0.55968,0.09041,19.19256,0.18732,
1973.79138,8.63138,11.92645,1.49536,0.75027,0.09407,19.01113,0.16821,
1974.04139,8.88139,9.80104,1.50319,0.61657,0.09456,19.14177,0.17781,
1974.29139,9.13139,7.82831,1.50087,0.49248,0.09442,19.28669,0.22443,
1974.54139,9.38139,8.71563,1.47670,0.54827,0.09290,19.24085,0.19400,
1974.79139,9.63140,7.64945,1.48620,0.48121,0.09349,19.27874,0.20073,
1975.04140,9.88140,8.68709,1.47857,0.54648,0.09301,19.22677,0.19259,
1975.29140,10.13140,11.06226,1.46832,0.69591,0.09237,19.06391,0.16308,
1975.54140,10.38140,12.26218,1.43895,0.77139,0.09052,18.95906,0.14009,
1975.79141,10.63141,16.05389,1.46848,1.00992,0.09238,18.66487,0.11125,
1976.04141,10.88141,12.84657,1.45785,0.80816,0.09171,18.92959,0.14636,
1976.29141,11.13141,14.30678,1.47842,0.90000,0.09300,18.77948,0.12285,
1976.54142,11.38142,15.51902,1.44843,0.97626,0.09111,18.67868,0.10829,
1976.79142,11.63142,13.79680,1.41558,0.86793,0.08905,18.85091,0.12866,
1977.03726,11.87726,14.31415,1.54739,0.90049,0.09734,18.78055,0.13152,
1977.28101,12.12101,9.45470,1.47426,0.59478,0.09274,19.16924,0.17213,
1977.54143,12.38143,11.81647,1.35940,0.74335,0.08552,18.96707,0.13672,
1977.79143,12.63143,14.17742,1.38583,0.89186,0.08718,18.79247,0.11245,
1978.04144,12.88144,12.53725,1.40470,0.78870,0.08837,18.96501,0.14596,
1978.29144,13.13144,11.79764,1.39888,0.74216,0.08800,18.98233,0.13754,
1978.54144,13.38144,14.14656,1.40750,0.88992,0.08854,18.81225,0.11926,
1978.79145,13.63145,14.36923,1.51238,0.90395,0.09514,18.80805,0.13818,
1979.04145,13.88145,14.13896,1.56609,0.88947,0.09852,18.83774,0.13372,
1979.29145,14.13145,15.06846,1.49273,0.94792,0.09391,18.73049,0.12028,
1979.54146,14.38146,14.80816,1.50811,0.93155,0.09487,18.75177,0.12522,
1979.79146,14.63146,15.32517,1.53136,0.96406,0.09633,18.69836,0.11786,
1980.04146,14.88146,12.12588,1.54281,0.76281,0.09706,18.99401,0.16545,
1980.29147,15.13147,16.44224,1.56004,1.03433,0.09814,18.63724,0.11522,
1980.54147,15.38147,18.74884,1.50573,1.17945,0.09473,18.48314,0.09721,
1980.77064,15.61064,15.48943,1.60115,0.97440,0.10072,18.71314,0.13302,
