BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1955.82300,-10.58700,0.9095,1.3979,0.2083,0.3201,19.9883,,
1955.84381,-10.56619,1.6961,1.3592,0.3884,0.3112,19.8663,0.8701,
1955.86469,-10.54531,2.6781,1.5096,0.6133,0.3457,19.3704,0.6120,
1955.88550,-10.52450,2.7380,1.6033,0.6270,0.3671,19.3464,0.6358,
1955.90631,-10.50369,1.6590,1.5713,0.3799,0.3598,19.8904,1.0283,
1955.92719,-10.48281,2.4756,1.5888,0.5669,0.3638,19.4558,0.6968,
1955.94800,-10.46200,5.7525,1.3527,1.3173,0.3098,18.5404,0.2553,
1955.96881,-10.44119,1.3781,1.4093,0.3156,0.3227,19.9883,,
1955.98969,-10.42031,2.5152,1.3265,0.5760,0.3038,19.4386,0.5726,
1956.01050,-10.39950,1.2056,1.3777,0.2761,0.3155,19.9883,,
1956.03131,-10.37869,1.9448,1.5176,0.4453,0.3475,19.7178,0.8472,
1956.05219,-10.35781,1.5736,1.5853,0.3603,0.3630,19.9477,1.0938,
1956.07300,-10.33700,2.8810,1.3943,0.6597,0.3193,19.2911,0.5255,
1956.09381,-10.31619,1.5373,1.3412,0.3520,0.3071,19.9731,0.9472,
1956.11469,-10.29531,2.5604,1.5602,0.5863,0.3573,19.4192,0.6616,
1956.13550,-10.27450,1.5919,1.5888,0.3645,0.3638,19.9352,1.0836,
1956.17719,-10.23281,2.7981,1.3600,0.6407,0.3114,19.3229,0.5277,
1956.19800,-10.21200,4.3214,1.4655,0.9895,0.3356,18.8509,0.3682,
1956.21881,-10.19119,1.5488,1.5498,0.3547,0.3549,19.9650,1.0864,
1956.23969,-10.17031,2.2087,1.5507,0.5058,0.3551,19.5797,0.7623,
1956.26050,-10.14950,0.6746,1.6057,0.1545,0.3677,19.9883,,
1956.28131,-10.12869,1.1506,1.5074,0.2635,0.3452,19.9883,,
1956.30219,-10.10781,2.1394,1.6417,0.4899,0.3759,19.6143,0.8332,
1956.32300,-10.08700,1.2566,1.4784,0.2878,0.3385,19.9883,,
1956.34381,-10.06619,0.2587,1.5015,0.0592,0.3438,19.9883,,
1956.36469,-10.04531,-0.7335,1.6502,-0.1680,0.3779,19.9883,,
1956.38550,-10.02450,3.4340,1.4659,0.7864,0.3357,19.1005,0.4635,
1956.40631,-10.00369,-0.3837,1.3713,-0.0879,0.3140,19.9883,,
1956.42719,-9.98281,0.5103,1.5903,0.1169,0.3642,19.9883,,
1956.44800,-9.96200,3.1690,1.4768,0.7257,0.3382,19.1877,0.5060,
1956.46881,-9.94119,1.7682,1.7602,0.4049,0.4031,19.8211,1.0808,
1956.48969,-9.92031,0.2430,1.6505,0.0557,0.3779,19.9883,,
1956.51050,-9.89950,-0.5382,1.8072,-0.1233,0.4138,19.9883,,
1956.53131,-9.87869,-0.1114,1.7370,-0.0255,0.3978,19.9883,,
1956.55219,-9.85781,-0.6441,1.6969,-0.1475,0.3886,19.9883,,
1956.57300,-9.83700,-1.8051,1.9406,-0.4134,0.4444,19.9883,,
1956.59387,-9.81613,-0.7248,1.9210,-0.1660,0.4399,19.9883,,
1956.61469,-9.79531,1.9181,1.6846,0.4392,0.3858,19.7328,0.9536,
1956.63556,-9.77444,-2.0272,1.8853,-0.4642,0.4317,19.9883,,
1956.65637,-9.75363,1.2060,1.8454,0.2762,0.4226,19.9883,,
1956.67719,-9.73281,-1.1009,1.8394,-0.2521,0.4212,19.9883,,
1957.38556,-9.02444,2.8104,2.1171,0.6435,0.4848,19.3181,0.8179,
1957.40637,-9.00363,2.0214,2.0288,0.4629,0.4646,19.6758,1.0897,
1957.42719,-8.98281,1.2003,1.7289,0.2749,0.3959,19.9883,,
1957.44806,-8.96194,2.4807,1.5562,0.5681,0.3563,19.4536,0.6811,
1957.46887,-8.94113,1.8897,1.7827,0.4327,0.4082,19.7490,1.0243,
1957.48969,-8.92031,-2.2845,1.8233,-0.5231,0.4175,19.9883,,
1957.51056,-8.89944,2.4694,1.7490,0.5655,0.4005,19.4585,0.7690,
1957.53137,-8.87863,2.0516,1.9716,0.4698,0.4515,19.6597,1.0434,
1957.55219,-8.85781,2.3550,1.5957,0.5393,0.3654,19.5100,0.7357,
1957.57306,-8.83694,2.7198,1.9060,0.6228,0.4364,19.3536,0.7608,
1957.59387,-8.81613,0.1275,1.8409,0.0292,0.4216,19.9883,,
1957.61469,-8.79531,2.5017,1.9759,0.5729,0.4525,19.4444,0.8576,
1957.63556,-8.77444,-2.1128,1.8538,-0.4838,0.4245,19.9883,,
1957.65637,-8.75363,1.8480,1.8225,0.4232,0.4173,19.7732,1.0707,
1957.67719,-8.73281,0.9973,1.9403,0.2284,0.4443,19.9883,,
1957.69806,-8.71194,1.3834,2.1377,0.3168,0.4895,19.9883,,
1957.71887,-8.69113,2.0758,1.9980,0.4753,0.4575,19.6470,1.0450,
1957.73969,-8.67031,1.0316,1.8124,0.2362,0.4150,19.9883,,
1957.76056,-8.64944,1.0289,2.0348,0.2356,0.4660,19.9883,,
1957.78137,-8.62863,2.7492,2.0273,0.6295,0.4642,19.3420,0.8006,
1957.80219,-8.60781,2.4500,1.8398,0.5610,0.4213,19.4671,0.8153,
1957.82306,-8.58694,1.1017,1.8479,0.2523,0.4232,19.9883,,
1957.84387,-8.56613,0.8814,1.8686,0.2018,0.4279,19.9883,,
1957.86469,-8.54531,2.3124,1.8439,0.5295,0.4222,19.5299,0.8658,
1957.88556,-8.52444,0.4337,1.8019,0.0993,0.4126,19.9883,,
1957.90637,-8.50363,-0.2719,1.6960,-0.0623,0.3884,19.9883,,
1957.92719,-8.48281,0.5313,1.6933,0.1217,0.3878,19.9883,,
1957.94806,-8.46194,3.5713,1.9762,0.8178,0.4525,19.0579,0.6008,
1957.96887,-8.44113,0.3361,1.9227,0.0770,0.4403,19.9883,,
1957.98969,-8.42031,1.2156,1.5977,0.2783,0.3659,19.9883,,
1958.01056,-8.39944,1.7493,1.7934,0.4006,0.4107,19.8329,1.1132,
1958.03137,-8.37863,0.1567,1.6751,0.0359,0.3836,19.9883,,
1958.05219,-8.35781,-0.4853,1.8946,-0.1111,0.4338,19.9883,,
1958.07306,-8.33694,0.3864,1.8677,0.0885,0.4277,19.9883,,
1958.09387,-8.31613,-1.6986,1.6680,-0.3890,0.3819,19.9883,,
1958.11469,-8.29531,2.2246,1.8698,0.5094,0.4282,19.5719,0.9126,
1958.13556,-8.27444,-0.9818,1.8268,-0.2248,0.4183,19.9883,,
1958.15637,-8.25363,2.3270,1.7584,0.5329,0.4027,19.5230,0.8204,
1958.17719,-8.23281,3.7777,1.7986,0.8651,0.4119,18.9969,0.5169,
1958.19806,-8.21194,0.3641,1.7468,0.0834,0.4000,19.9883,,
1958.21887,-8.19113,3.5435,1.6635,0.8114,0.3809,19.0664,0.5097,
1958.23969,-8.17031,-0.4140,1.5101,-0.0948,0.3458,19.9883,,
1958.26056,-8.14944,2.6637,1.6878,0.6100,0.3865,19.3763,0.6880,
1958.28137,-8.12863,2.9265,2.0344,0.6701,0.4659,19.2741,0.7548,
1958.30219,-8.10781,-1.4275,1.8062,-0.3269,0.4136,19.9883,,
1958.32306,-8.08694,-0.2645,1.8030,-0.0606,0.4129,19.9883,,
1958.34387,-8.06613,-0.7274,1.7686,-0.1666,0.4050,19.9883,,
1958.36469,-8.04531,-1.7758,1.6456,-0.4066,0.3768,19.9883,,
1958.38556,-8.02444,0.1884,1.9492,0.0431,0.4463,19.9883,,
1958.40637,-8.00363,-3.4160,1.8418,-0.7822,0.4218,19.9883,,
1958.42719,-7.98281,2.3163,1.6932,0.5304,0.3877,19.5280,0.7937,
1958.44806,-7.96194,1.9220,1.5493,0.4401,0.3548,19.7306,0.8752,
1958.46887,-7.94113,-0.3709,1.9607,-0.0849,0.4490,19.9883,,
1958.48969,-7.92031,-0.1995,1.9394,-0.0457,0.4441,19.9883,,
1958.51056,-7.89944,-0.0861,1.4026,-0.0197,0.3212,19.9883,,
1958.53137,-7.87863,1.6004,1.6806,0.3665,0.3848,19.9294,1.1401,
1958.55219,-7.85781,1.6742,1.9216,0.3834,0.4400,19.8805,1.2462,
1958.57306,-7.83694,0.2816,1.5417,0.0645,0.3530,19.9883,,
1958.59387,-7.81613,-1.7656,1.6260,-0.4043,0.3723,19.9883,,
1958.61469,-7.79531,-1.3046,1.7178,-0.2987,0.3934,19.9883,,
1958.63556,-7.77444,-1.8880,1.4148,-0.4323,0.3240,19.9883,,
1958.65637,-7.75363,0.3246,1.5650,0.0743,0.3584,19.9883,,
1958.67719,-7.73281,1.4697,1.7665,0.3366,0.4045,19.9883,,
1958.69806,-7.71194,2.1264,1.5058,0.4869,0.3448,19.6209,0.7689,
1958.71887,-7.69113,0.2509,1.7296,0.0575,0.3961,19.9883,,
1958.73969,-7.67031,-2.3539,1.7784,-0.5390,0.4072,19.9883,,
1958.76056,-7.64944,-1.0482,1.8118,-0.2400,0.4149,19.9883,,
1958.78137,-7.62863,-2.7314,1.5756,-0.6255,0.3608,19.9883,,
1958.80219,-7.60781,3.4028,1.6751,0.7792,0.3836,19.1104,0.5345,
1958.82306,-7.58694,-0.9052,1.7046,-0.2073,0.3903,19.9883,,
1958.84387,-7.56613,1.5459,1.7995,0.3540,0.4121,19.9670,1.2638,
1958.86469,-7.54531,-0.6510,1.8384,-0.1491,0.4210,19.9883,,
1958.88556,-7.52444,-2.2623,1.8521,-0.5180,0.4241,19.9883,,
1958.90637,-7.50363,-1.9344,1.6442,-0.4430,0.3765,19.9883,,
1958.92719,-7.48281,0.1056,1.7839,0.0242,0.4085,19.9883,,
1958.94806,-7.46194,0.4979,1.9544,0.1140,0.4475,19.9883,,
1958.96887,-7.44113,1.9485,1.6307,0.4462,0.3734,19.7157,0.9087,
1958.98969,-7.42031,2.1826,1.7584,0.4998,0.4026,19.5926,0.8747,
1959.01056,-7.39944,-0.9816,1.7889,-0.2248,0.4096,19.9883,,
1959.03137,-7.37863,0.4850,1.7269,0.1111,0.3954,19.9883,,
1959.05219,-7.35781,0.3056,1.7069,0.0700,0.3909,19.9883,,
1959.07306,-7.33694,-1.2829,1.7494,-0.2938,0.4006,19.9883,,
1959.09387,-7.31613,3.4222,1.4439,0.7836,0.3306,19.1042,0.4581,
1959.11469,-7.29531,-4.4071,1.7785,-1.0092,0.4073,19.9883,,
1959.13556,-7.27444,-2.4348,1.4048,-0.5575,0.3217,19.9883,,
1959.15637,-7.25363,-2.4453,1.7327,-0.5600,0.3968,19.9883,,
1959.17719,-7.23281,-2.3680,1.5442,-0.5423,0.3536,19.9883,,
1959.19806,-7.21194,-1.1614,1.7496,-0.2659,0.4006,19.9883,,
1959.21887,-7.19113,0.2822,1.5832,0.0646,0.3625,19.9883,,
1959.23969,-7.17031,-2.4680,1.5133,-0.5652,0.3465,19.9883,,
1959.26056,-7.14944,0.8878,1.5926,0.2033,0.3647,19.9883,,
1959.28137,-7.12863,0.5282,1.5966,0.1210,0.3656,19.9883,,
1959.30219,-7.10781,2.1619,1.8873,0.4951,0.4322,19.6029,0.9478,
1959.32306,-7.08694,-1.7970,1.5867,-0.4115,0.3633,19.9883,,
1959.34387,-7.06613,1.7888,1.6110,0.4096,0.3689,19.8086,0.9778,
1959.36469,-7.04531,-0.4897,1.8393,-0.1121,0.4212,19.9883,,
1959.38556,-7.02444,-3.1120,1.5558,-0.7126,0.3563,19.9883,,
1959.40637,-7.00363,0.6916,1.5947,0.1584,0.3652,19.9883,,
1959.42719,-6.98281,-1.9311,1.7028,-0.4422,0.3899,19.9883,,
1959.44806,-6.96194,-0.7061,1.6189,-0.1617,0.3707,19.9883,,
1959.46887,-6.94113,-0.1248,1.5245,-0.0286,0.3491,19.9883,,
1959.48969,-6.92031,4.5700,1.7219,1.0465,0.3943,18.7902,0.4091,
1959.51056,-6.89944,0.0367,1.8292,0.0084,0.4189,19.9883,,
1959.53137,-6.87863,0.3320,1.6200,0.0760,0.3710,19.9883,,
1959.55219,-6.85781,-0.1509,1.6128,-0.0346,0.3693,19.9883,,
1959.57306,-6.83694,0.8817,1.4530,0.2019,0.3327,19.9883,,
1959.59387,-6.81613,0.1762,1.7461,0.0403,0.3998,19.9883,,
1959.61469,-6.79531,-1.5628,1.5735,-0.3579,0.3603,19.9883,,
1959.63556,-6.77444,-0.1428,1.7432,-0.0327,0.3992,19.9883,,
1959.65637,-6.75363,-1.3555,1.6725,-0.3104,0.3830,19.9883,,
1959.67719,-6.73281,-0.7560,1.5352,-0.1731,0.3515,19.9883,,
1959.69806,-6.71194,1.8040,1.9915,0.4131,0.4560,19.7994,1.1986,
1959.71887,-6.69113,-0.7430,1.5345,-0.1701,0.3514,19.9883,,
1959.73969,-6.67031,-2.9109,1.7005,-0.6666,0.3894,19.9883,,
1959.76056,-6.64944,-1.3511,1.7427,-0.3094,0.3991,19.9883,,
1959.78137,-6.62863,0.1411,1.8840,0.0323,0.4314,19.9883,,
1959.80219,-6.60781,-1.1447,1.5307,-0.2621,0.3505,19.9883,,
1959.82306,-6.58694,-0.0346,1.9724,-0.0079,0.4517,19.9883,,
1959.84387,-6.56613,-0.5520,1.7582,-0.1264,0.4026,19.9883,,
