BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1955.82721,-16.97279,-0.7989,1.4722,-0.3318,0.6114,19.1677,,
1955.84802,-16.95198,1.4438,1.3893,0.5996,0.5769,19.1677,,
1955.86884,-16.93116,-2.2963,1.4596,-0.9536,0.6061,19.1677,,
1955.88971,-16.91029,0.1607,1.3338,0.0667,0.5539,19.1677,,
1955.91052,-16.88948,0.2115,1.6855,0.0878,0.7000,19.1677,,
1955.93134,-16.86866,0.6770,1.7836,0.2811,0.7407,19.1677,,
1955.95221,-16.84779,-0.3491,1.2897,-0.1450,0.5356,19.1677,,
1955.97302,-16.82698,0.8754,1.8773,0.3635,0.7796,19.1677,,
1955.99384,-16.80616,-0.0626,1.8509,-0.0260,0.7686,19.1677,,
1956.01471,-16.78529,-1.2188,1.6989,-0.5061,0.7055,19.1677,,
1956.03552,-16.76448,0.7346,1.5583,0.3051,0.6471,19.1677,,
1956.05634,-16.74366,-3.1348,1.4502,-1.3018,0.6022,19.1677,,
1956.07721,-16.72279,1.6232,1.5298,0.6741,0.6353,19.1677,,
1956.09802,-16.70198,0.7886,1.6152,0.3275,0.6708,19.1677,,
1956.11884,-16.68116,-3.6725,1.6732,-1.5251,0.6948,19.1677,,
1956.13971,-16.66029,-0.5951,1.5031,-0.2471,0.6242,19.1677,,
1956.16052,-16.63948,1.4620,1.4960,0.6071,0.6212,19.1677,,
1956.18134,-16.61866,0.4045,1.5862,0.1680,0.6587,19.1677,,
1956.20221,-16.59779,-2.9747,1.9319,-1.2353,0.8023,19.1677,,
1956.22302,-16.57698,1.2428,1.3315,0.5161,0.5529,19.1677,,
1956.24384,-16.55616,0.9541,1.5984,0.3962,0.6638,19.1677,,
1956.26471,-16.53529,3.9710,1.6555,1.6491,0.6875,18.9427,0.4526,
1956.28552,-16.51448,-0.6371,1.6237,-0.2646,0.6743,19.1677,,
1956.30640,-16.49360,1.1349,1.4622,0.4713,0.6072,19.1677,,
1956.32721,-16.47279,3.8592,1.6965,1.6026,0.7045,18.9738,0.4773,
1956.34808,-16.45192,1.9597,1.5808,0.8138,0.6564,19.1677,,
1956.36890,-16.43110,1.0519,1.4076,0.4368,0.5845,19.1677,,
1956.38971,-16.41029,-3.2318,1.5773,-1.3421,0.6550,19.1677,,
1956.41058,-16.38942,-2.2857,1.3852,-0.9492,0.5752,19.1677,,
1956.43140,-16.36860,2.5981,1.7655,1.0789,0.7332,19.1677,,
1956.45221,-16.34779,1.9353,1.6198,0.8037,0.6727,19.1677,,
1956.47308,-16.32692,-1.2583,1.5898,-0.5225,0.6602,19.1677,,
1956.49390,-16.30610,-2.9738,1.8957,-1.2350,0.7872,19.1677,,
1956.51471,-16.28529,-0.0623,1.6463,-0.0259,0.6837,19.1677,,
1956.53558,-16.26442,-1.0133,1.9079,-0.4208,0.7923,19.1677,,
1956.55640,-16.24360,1.5876,1.6564,0.6593,0.6879,19.1677,,
1956.57721,-16.22279,-2.2133,2.0913,-0.9191,0.8685,19.1677,,
1956.59808,-16.20192,-1.3230,1.9970,-0.5494,0.8293,19.1677,,
1956.61890,-16.18110,-0.8727,2.1410,-0.3624,0.8891,19.1677,,
1959.24396,-13.55604,0.6486,2.0774,0.2693,0.8627,19.1677,,
1959.26477,-13.53523,2.4421,1.7720,1.0141,0.7359,19.1677,,
1959.28558,-13.51442,-1.1103,1.7557,-0.4611,0.7291,19.1677,,
1959.30646,-13.49354,0.2996,1.8118,0.1244,0.7524,19.1677,,
1959.32727,-13.47273,-1.0134,1.7677,-0.4208,0.7341,19.1677,,
1959.34808,-13.45192,0.5048,1.9978,0.2096,0.8296,19.1677,,
1959.36896,-13.43104,1.4220,1.8447,0.5905,0.7660,19.1677,,
1959.38977,-13.41023,1.2245,1.6155,0.5085,0.6709,19.1677,,
1959.41058,-13.38942,-1.6830,1.9882,-0.6989,0.8256,19.1677,,
1959.43146,-13.36854,-3.6170,1.8010,-1.5021,0.7479,19.1677,,
1959.45227,-13.34773,0.4082,2.0259,0.1695,0.8413,19.1677,,
1959.47308,-13.32692,0.8346,2.1297,0.3466,0.8844,19.1677,,
1959.49396,-13.30604,-0.0477,1.8957,-0.0198,0.7872,19.1677,,
1959.51477,-13.28523,-0.9509,1.9325,-0.3949,0.8025,19.1677,,
1959.53558,-13.26442,-0.8188,1.5864,-0.3400,0.6588,19.1677,,
