BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1967.64709,0.11709,3.37722,1.42326,0.25767,0.10859,19.12131,0.04351,0.00000
1967.89709,0.36709,6.89077,1.35382,0.52573,0.10329,19.07958,0.07591,0.00000
1968.14709,0.61709,7.09232,1.29428,0.54112,0.09875,19.08939,0.07290,0.00000
1968.29292,0.76293,9.79525,3.12354,0.74735,0.23834,19.04145,0.20680,0.00000
1969.39710,1.86710,9.35189,1.27492,0.71353,0.09727,19.02962,0.07321,0.00000
1969.64710,2.11710,10.08734,1.27979,0.76963,0.09765,18.98072,0.06550,0.00000
1969.89710,2.36710,8.05420,1.37543,0.61452,0.10494,19.01587,0.05171,0.00000
1975.40752,7.87752,10.91566,2.01945,0.83283,0.15408,18.90397,0.09600,0.00000
1975.64710,8.11710,14.49366,1.92484,1.10583,0.14686,18.73483,0.13992,0.00000
1975.89710,8.36710,12.75353,1.95267,0.97305,0.14898,18.83185,0.13128,0.00000
1976.14710,8.61710,4.86238,1.93193,0.37097,0.14740,19.07139,0.08911,0.00000
1976.39710,8.86710,9.09037,1.78766,0.69356,0.13639,18.97863,0.05709,0.00000
1976.64710,9.11710,5.71066,1.77670,0.43569,0.13556,19.06798,0.06043,0.00000
1976.89710,9.36710,5.11926,1.84644,0.39057,0.14088,19.11992,0.07980,0.00000
1977.15373,9.62373,8.69956,1.84878,0.66375,0.14106,18.98302,0.13151,0.00000
1977.39710,9.86710,8.09862,1.64289,0.61790,0.12535,19.05548,0.08465,0.00000
1977.64710,10.11710,10.09413,1.62383,0.77013,0.12389,18.96575,0.11973,0.00000
1977.89710,10.36710,11.61124,1.66953,0.88591,0.12738,18.92248,0.10529,0.00000
1978.14710,10.61710,9.36128,1.60471,0.71423,0.12243,19.00926,0.09017,0.00000
1978.39710,10.86710,6.72502,1.58636,0.51311,0.12103,19.10459,0.06258,0.00000
1978.64710,11.11710,7.58866,1.57480,0.57898,0.12015,19.07782,0.02987,0.00000
1978.89710,11.36710,8.60084,1.57476,0.65621,0.12015,19.08142,0.08769,0.00000
1979.14710,11.61710,7.07365,1.59957,0.53968,0.12204,19.04103,0.06655,0.00000
1979.39710,11.86710,11.48772,1.59677,0.87648,0.12183,18.85365,0.08972,0.00000
1979.64710,12.11710,7.74320,1.55597,0.59079,0.11871,19.04271,0.06209,0.00000
1979.89711,12.36711,9.88692,1.57026,0.75434,0.11981,18.88802,0.07982,0.00000
1980.14711,12.61711,10.22288,1.62462,0.77996,0.12395,18.93217,0.08944,0.00000
1980.39711,12.86711,7.34805,1.56874,0.56063,0.11969,19.04022,0.07963,0.00000
1980.64711,13.11711,6.63299,1.54124,0.50607,0.11759,19.11403,0.06457,0.00000
1980.89711,13.36711,9.13517,1.52760,0.69698,0.11655,19.04991,0.10249,0.00000
1981.14711,13.61711,5.78493,1.52758,0.44137,0.11655,19.09137,0.03340,0.00000
1981.39711,13.86711,9.15972,1.49679,0.69885,0.11420,18.95066,0.08398,0.00000
1981.64711,14.11711,13.55361,1.40685,1.03410,0.10734,18.76653,0.08784,0.00000
1981.89711,14.36711,21.12013,1.33002,1.61138,0.10148,18.35937,0.07783,0.00000
1982.14711,14.61711,22.31592,1.26467,1.70263,0.09649,18.26923,0.06288,0.00000
1983.71586,16.18586,5.94152,1.45069,0.45330,0.11068,19.01534,1.90199,4.75400
1983.89711,16.36711,7.39957,1.13750,0.56456,0.08679,18.97391,1.12156,4.75400
1984.14711,16.61711,9.98636,1.44200,0.76194,0.11002,18.82894,0.79721,4.75400
1984.39710,16.86710,10.04252,1.76066,0.76621,0.13433,18.59981,1.04892,4.75400
1984.64710,17.11710,10.39632,2.12318,0.79322,0.16199,18.55303,0.97444,4.75400
1984.89710,17.36710,7.73616,2.45064,0.59024,0.18697,18.61213,1.18868,4.75400
1985.14710,17.61710,43.07227,2.47201,3.28627,0.18861,17.81502,0.79388,4.75400
1985.39710,17.86710,-3.32062,2.26401,-0.25335,0.17273,18.70487,1.12147,4.75400
1985.64710,18.11710,-4.50099,2.36832,-0.34340,0.18069,18.68087,1.12154,4.75400
1985.89710,18.36710,33.73362,2.45172,2.57376,0.18706,17.95555,0.69190,4.75400
1986.14710,18.61710,10.26128,2.30368,0.78289,0.17576,18.62648,1.12156,4.75400
1986.40562,18.87562,3.66170,2.18283,0.27938,0.16655,18.63729,1.14441,4.75400
1986.64710,19.11710,3.93293,2.15328,0.30007,0.16429,18.69698,1.05033,4.75400
1986.89710,19.36710,19.87463,2.26438,1.51638,0.17277,18.45142,0.88935,4.75400
1987.14710,19.61710,18.35988,2.09098,1.40080,0.15953,18.49600,0.88945,4.75400
1987.39710,19.86710,10.23296,1.95251,0.78074,0.14897,18.79516,0.97373,4.75400
1987.61585,20.08585,8.64581,2.28968,0.65964,0.17469,18.78787,1.18473,4.75400
