BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
1930.43269,-20.12731,-1.7081,5.2869,-0.5073,1.5702,19.6645,,
1930.45353,-20.10647,-3.8928,5.2179,-1.1562,1.5497,19.6645,,
1930.47436,-20.08564,-1.5572,5.0912,-0.4625,1.5121,19.6645,,
1930.49520,-20.06480,2.9975,5.2173,0.8903,1.5496,19.6645,,
1930.51603,-20.04397,-3.9968,5.3187,-1.1871,1.5797,19.6645,,
1930.53686,-20.02314,-3.1315,5.3179,-0.9301,1.5795,19.6645,,
1930.55770,-20.00230,-9.7531,5.3394,-2.8967,1.5858,19.6645,,
1930.57853,-19.98147,-4.6353,5.1998,-1.3767,1.5444,19.6645,,
1930.59936,-19.96064,-1.2703,5.3001,-0.3773,1.5742,19.6645,,
1930.66187,-19.89813,-5.4595,5.2205,-1.6215,1.5505,19.6645,,
1930.68270,-19.87730,-5.4975,5.4257,-1.6328,1.6115,19.6645,,
1930.72437,-19.83563,1.2411,5.3777,0.3686,1.5972,19.6645,,
1930.74520,-19.81480,4.7950,4.9370,1.4241,1.4663,19.6645,,
1930.76604,-19.79396,2.4318,5.4048,0.7223,1.6053,19.6645,,
1930.80770,-19.75230,6.2826,5.5072,1.8660,1.6357,19.6375,0.9517,
1930.82854,-19.73146,-2.7834,5.5158,-0.8267,1.6382,19.6645,,
1930.84937,-19.71063,11.0481,5.3740,3.2813,1.5961,19.0246,0.5281,
1930.87021,-19.68979,7.7658,5.5322,2.3065,1.6431,19.4073,0.7735,
1930.89104,-19.66896,-1.6254,5.4358,-0.4827,1.6144,19.6645,,
1930.91187,-19.64813,-1.0004,5.4536,-0.2971,1.6197,19.6645,,
1930.93271,-19.62729,-7.3569,5.4927,-2.1850,1.6314,19.6645,,
1930.95354,-19.60646,-10.1136,5.4574,-3.0038,1.6209,19.6645,,
1930.97438,-19.58562,5.0946,5.5451,1.5131,1.6469,19.6645,,
1930.99521,-19.56479,-5.0154,5.5197,-1.4896,1.6394,19.6645,,
1931.03688,-19.52312,7.6886,5.4612,2.2836,1.6220,19.4182,0.7712,
1931.05771,-19.50229,8.8801,5.6053,2.6374,1.6648,19.2618,0.6853,
1931.07855,-19.48145,11.6747,5.5281,3.4674,1.6419,18.9647,0.5141,
1931.09938,-19.46062,9.7009,5.5893,2.8812,1.6600,19.1658,0.6256,
1931.12021,-19.43979,2.5626,5.4784,0.7611,1.6271,19.6645,,
1931.14105,-19.41895,-2.9514,5.5033,-0.8766,1.6345,19.6645,,
1931.16188,-19.39812,8.0110,5.2945,2.3793,1.5725,19.3736,0.7176,
1931.18271,-19.37729,-2.6075,5.3028,-0.7744,1.5750,19.6645,,
1931.20355,-19.35645,-15.1087,5.3496,-4.4874,1.5889,19.6645,,
1931.22438,-19.33562,-6.3060,5.3034,-1.8729,1.5751,19.6645,,
1931.24522,-19.31478,-7.6084,5.2583,-2.2597,1.5617,19.6645,,
1931.26605,-19.29395,-0.4990,5.3138,-0.1482,1.5782,19.6645,,
1931.28688,-19.27312,-6.5400,5.3666,-1.9424,1.5939,19.6645,,
1931.30772,-19.25228,-9.5154,5.2053,-2.8261,1.5460,19.6645,,
1931.32855,-19.23145,-9.8577,5.2434,-2.9278,1.5573,19.6645,,
1931.34939,-19.21061,-6.5647,5.1907,-1.9497,1.5417,19.6645,,
1931.37022,-19.18978,-9.4958,5.1540,-2.8203,1.5308,19.6645,,
1931.39105,-19.16895,-2.7360,4.9850,-0.8126,1.4806,19.6645,,
1931.41189,-19.14811,-2.8647,5.1602,-0.8508,1.5326,19.6645,,
1931.43272,-19.12728,-0.5591,5.0169,-0.1660,1.4901,19.6645,,
1931.45356,-19.10644,-1.8133,4.7151,-0.5386,1.4004,19.6645,,
1931.47439,-19.08561,1.9764,4.9066,0.5870,1.4573,19.6645,,
1931.49522,-19.06478,4.3412,4.9928,1.2894,1.4829,19.6645,,
1931.51606,-19.04394,-0.7031,4.9434,-0.2088,1.4682,19.6645,,
1931.53689,-19.02311,-8.8705,4.9036,-2.6346,1.4564,19.6645,,
1931.55773,-19.00227,6.8808,4.6550,2.0436,1.3826,19.5387,0.7345,
1931.57856,-18.98144,-5.8707,4.8469,-1.7436,1.4396,19.6645,,
1931.59939,-18.96061,-2.4005,4.8166,-0.7130,1.4305,19.6645,,
